trade_date,indiv_d_ts_code,indiv_d_trade_date,indiv_d_pre_close,indiv_d_open,indiv_d_high,indiv_d_low,indiv_d_close,indiv_d_change,indiv_d_pct_chg,indiv_d_vol,indiv_d_amount,indiv_adj_d_adj_factor,indiv_ind_ts_code,indiv_ind_close,indiv_ind_open,indiv_ind_high,indiv_ind_low,indiv_ind_pre_close,indiv_ind_change,indiv_ind_pct_chg,indiv_ind_vol,indiv_ind_amount,indiv_din_total_mv,indiv_din_float_mv,indiv_din_total_share,indiv_din_float_share,indiv_din_free_share,indiv_din_turnover_rate,indiv_din_turnover_rate_f,indiv_din_pe,indiv_din_pe_ttm,indiv_din_pb,indiv_techin_open,indiv_techin_high,indiv_techin_low,indiv_techin_close,indiv_techin_pre_close,indiv_techin_change,indiv_techin_pct_change,indiv_techin_vol,indiv_techin_amount,indiv_techin_asi_bfq,indiv_techin_asit_bfq,indiv_techin_atr_bfq,indiv_techin_bbi_bfq,indiv_techin_bias1_bfq,indiv_techin_bias2_bfq,indiv_techin_bias3_bfq,indiv_techin_boll_lower_bfq,indiv_techin_boll_mid_bfq,indiv_techin_boll_upper_bfq,indiv_techin_brar_ar_bfq,indiv_techin_brar_br_bfq,indiv_techin_cci_bfq,indiv_techin_cr_bfq,indiv_techin_dfma_dif_bfq,indiv_techin_dfma_difma_bfq,indiv_techin_dmi_adx_bfq,indiv_techin_dmi_adxr_bfq,indiv_techin_dmi_mdi_bfq,indiv_techin_dmi_pdi_bfq,indiv_techin_downdays,indiv_techin_updays,indiv_techin_dpo_bfq,indiv_techin_madpo_bfq,indiv_techin_ema_bfq_10,indiv_techin_ema_bfq_20,indiv_techin_ema_bfq_250,indiv_techin_ema_bfq_30,indiv_techin_ema_bfq_5,indiv_techin_ema_bfq_60,indiv_techin_ema_bfq_90,indiv_techin_emv_bfq,indiv_techin_maemv_bfq,indiv_techin_expma_12_bfq,indiv_techin_expma_50_bfq,indiv_techin_kdj_bfq,indiv_techin_kdj_d_bfq,indiv_techin_kdj_k_bfq,indiv_techin_ktn_down_bfq,indiv_techin_ktn_mid_bfq,indiv_techin_ktn_upper_bfq,indiv_techin_lowdays,indiv_techin_topdays,indiv_techin_ma_bfq_10,indiv_techin_ma_bfq_20,indiv_techin_ma_bfq_250,indiv_techin_ma_bfq_30,indiv_techin_ma_bfq_5,indiv_techin_ma_bfq_60,indiv_techin_ma_bfq_90,indiv_techin_macd_bfq,indiv_techin_macd_dea_bfq,indiv_techin_macd_dif_bfq,indiv_techin_mass_bfq,indiv_techin_ma_mass_bfq,indiv_techin_mfi_bfq,indiv_techin_mtm_bfq,indiv_techin_mtmma_bfq,indiv_techin_obv_bfq,indiv_techin_psy_bfq,indiv_techin_psyma_bfq,indiv_techin_roc_bfq,indiv_techin_maroc_bfq,indiv_techin_rsi_bfq_12,indiv_techin_rsi_bfq_24,indiv_techin_rsi_bfq_6,indiv_techin_taq_down_bfq,indiv_techin_taq_mid_bfq,indiv_techin_taq_up_bfq,indiv_techin_trix_bfq,indiv_techin_trma_bfq,indiv_techin_vr_bfq,indiv_techin_wr_bfq,indiv_techin_wr1_bfq,indiv_techin_xsii_td1_bfq,indiv_techin_xsii_td2_bfq,indiv_techin_xsii_td3_bfq,indiv_techin_xsii_td4_bfq,macro_shibor_on,macro_shibor_1w,macro_shibor_2w,macro_shibor_1m,macro_shibor_3m,macro_shibor_6m,macro_shibor_9m,macro_shibor_1y,macro_gdp_gdp,macro_gdp_gdp_yoy,macro_gdp_pi,macro_gdp_pi_yoy,macro_gdp_si,macro_gdp_si_yoy,macro_gdp_ti,macro_gdp_ti_yoy,macro_cpi_nt_val,macro_cpi_nt_yoy,macro_cpi_nt_mom,macro_cpi_nt_accu,macro_cpi_town_val,macro_cpi_town_yoy,macro_cpi_town_mom,macro_cpi_town_accu,macro_cpi_cnt_val,macro_cpi_cnt_yoy,macro_cpi_cnt_mom,macro_cpi_cnt_accu,macro_ppi_ppi_yoy,macro_ppi_ppi_mp_yoy,macro_ppi_ppi_mp_qm_yoy,macro_ppi_ppi_mp_rm_yoy,macro_ppi_ppi_mp_p_yoy,macro_ppi_ppi_cg_yoy,macro_ppi_ppi_cg_f_yoy,macro_ppi_ppi_cg_c_yoy,macro_ppi_ppi_cg_adu_yoy,macro_ppi_ppi_cg_dcg_yoy,macro_ppi_ppi_mom,macro_ppi_ppi_mp_mom,macro_ppi_ppi_mp_qm_mom,macro_ppi_ppi_mp_rm_mom,macro_ppi_ppi_mp_p_mom,macro_ppi_ppi_cg_mom,macro_ppi_ppi_cg_f_mom,macro_ppi_ppi_cg_c_mom,macro_ppi_ppi_cg_adu_mom,macro_ppi_ppi_cg_dcg_mom,macro_ppi_ppi_accu,macro_ppi_ppi_mp_accu,macro_ppi_ppi_mp_qm_accu,macro_ppi_ppi_mp_rm_accu,macro_ppi_ppi_mp_p_accu,macro_ppi_ppi_cg_accu,macro_ppi_ppi_cg_f_accu,macro_ppi_ppi_cg_c_accu,macro_ppi_ppi_cg_adu_accu,macro_ppi_ppi_cg_dcg_accu,macro_m_m0,macro_m_m0_yoy,macro_m_m0_mom,macro_m_m1,macro_m_m1_yoy,macro_m_m1_mom,macro_m_m2,macro_m_m2_yoy,macro_m_m2_mom,macro_sf_inc_month,macro_sf_inc_cumval,macro_sf_stk_endval,macro_ust_y5,macro_ust_y7,macro_ust_y10,macro_ust_y20,macro_ust_y30,macro_im_spx_macro_im_ts_code,macro_im_spx_macro_im_open,macro_im_spx_macro_im_close,macro_im_spx_macro_im_high,macro_im_spx_macro_im_low,macro_im_spx_macro_im_pre_close,macro_im_spx_macro_im_change,macro_im_spx_macro_im_pct_chg,macro_im_spx_macro_im_swing,macro_im_spx_macro_im_vol,macro_im_hsi_macro_im_ts_code,macro_im_hsi_macro_im_open,macro_im_hsi_macro_im_close,macro_im_hsi_macro_im_high,macro_im_hsi_macro_im_low,macro_im_hsi_macro_im_pre_close,macro_im_hsi_macro_im_change,macro_im_hsi_macro_im_pct_chg,macro_im_hsi_macro_im_swing,macro_im_hsi_macro_im_vol
2023-09-25,510300.SH,20230925,3.817,3.806,3.809,3.782,3.789,-0.028,-0.7336,7009056.51,2656946.227,1.182,000300.SH,3714.6037,3738.0622,3738.0622,3711.2049,3738.9327,-24.329,-0.6507,92596479.0,155793827.362,48777468894500.0,37383129501512.0,4065975404433.0,3055105881766.0,1103876747386.0,0.3,0.84,11.66,11.62,1.3,3738.0622,3738.0622,3711.2049,3714.6037,3738.9327,-24.329,-0.6507,92596479.0,155793827.36,-6420.57202,-8464.97615,41.14133,3726.08142,0.035,-0.339,-0.926,3669.583,3755.105,3840.628,67.24421,113.34965,-40.18494,70.59407,-103.79657,-87.02101,35.47545,33.52516,33.97665,12.22082,1.0,0.0,-62.00969,-81.14191,3725.00406,3747.67521,3964.03251,3768.39496,3715.72964,3813.24772,3844.21324,-0.19658,-0.11268,3729.46571,3800.38745,55.37934,27.45302,36.7618,3673.23163,3748.57879,3823.92595,1.0,0.0,3721.94245,3755.10509,3910.34768,3758.38974,3710.43462,3832.41956,3842.27617,0.109,-31.121,-31.066,24.37716,24.39427,30.60255,-43.8711,-86.10785,4456848.56257,25.0,23.611,-1.16726,-2.25789,43.334,43.529,45.474,3664.7661,3759.5133,3854.2605,-0.12532,-0.14204,70.44646,54.827,34.123,3783.69568,3635.31546,4136.77703,3595.51648,1.694,2.005,2.812,2.229,2.282,2.32,2.374,2.416,593034.2,5.5,30416.2,3.7,230681.5,4.3,331936.5,6.4,100.1,0.1,0.3,100.5,100.2,0.2,0.2,100.5,99.8,-0.2,0.4,100.3,-3.0,-3.7,-9.9,-4.0,-3.1,-0.2,-0.2,1.0,0.6,-1.2,0.2,0.3,0.9,1.4,-0.2,0.1,0.6,-0.2,-0.3,-0.1,-3.2,-4.2,-8.1,-5.2,-3.4,0.3,0.9,1.5,0.6,-0.8,106515.36,9.5,0.36,679588.35,2.2,0.35,2869343.25,10.6,0.54,31279.0,252152.0,368.61,2.37,2.26,2.18,2.22,2.28,SPX,4310.62,4337.44,4338.51,4302.7,4320.06,17.38,0.4,0.83,1858119.0,HSI,18046.89,17729.29,18046.89,17722.49,18057.45,-328.16,-1.82,1.8,1552391.0
2023-09-26,510300.SH,20230926,3.789,3.786,3.797,3.766,3.768,-0.021,-0.5542,8629084.81,3257834.057,1.182,000300.SH,3692.8928,3711.7106,3723.8481,3692.6172,3714.6037,-21.7109,-0.5845,78044525.0,137808437.775,48484836187831.0,37191093638215.0,4065975404433.0,3055105942246.0,1103876807866.0,0.26,0.71,11.59,11.55,1.3,3711.7106,3723.8481,3692.6172,3692.8928,3714.6037,-21.7109,-0.5845,78044525.0,137808437.78,-5402.12757,-8054.13068,39.28781,3724.13824,-0.394,-0.817,-1.501,3662.218,3750.244,3838.271,70.10292,121.33827,-83.77815,74.07729,-107.32684,-91.11076,38.64012,35.36816,32.98331,12.18066,2.0,0.0,-79.42405,-79.85532,3719.16565,3742.45784,3961.87203,3763.52385,3708.11736,3809.30166,3840.88751,-0.19963,-0.15228,3723.83911,3796.17197,46.5443,30.18035,35.635,3666.59134,3744.24932,3821.9073,2.0,0.0,3715.17125,3750.2444,3909.38852,3753.26831,3704.91276,3828.98422,3839.48009,-0.899,-31.233,-31.683,24.17892,24.36932,31.03976,-47.0999,-87.69837,4449044.11007,25.0,22.222,-1.25936,-2.30154,40.386,42.08,39.345,3664.7661,3759.5133,3854.2605,-0.12525,-0.13823,71.35729,72.968,62.821,3780.35424,3632.10506,4134.32117,3593.38195,1.741,1.969,3.035,2.26,2.294,2.335,2.386,2.432,593034.2,5.5,30416.2,3.7,230681.5,4.3,331936.5,6.4,100.1,0.1,0.3,100.5,100.2,0.2,0.2,100.5,99.8,-0.2,0.4,100.3,-3.0,-3.7,-9.9,-4.0,-3.1,-0.2,-0.2,1.0,0.6,-1.2,0.2,0.3,0.9,1.4,-0.2,0.1,0.6,-0.2,-0.3,-0.1,-3.2,-4.2,-8.1,-5.2,-3.4,0.3,0.9,1.5,0.6,-0.8,106515.36,9.5,0.36,679588.35,2.2,0.35,2869343.25,10.6,0.54,31279.0,252152.0,368.61,2.42,2.3,2.23,2.26,2.33,SPX,4312.88,4273.53,4313.01,4265.98,4337.44,-63.91,-1.47,1.08,2129442.0,HSI,17661.85,17466.9,17718.18,17379.44,17729.29,-262.39,-1.48,1.91,1909387.0
2023-09-27,510300.SH,20230927,3.768,3.767,3.805,3.766,3.778,0.01,0.2654,10780539.58,4074752.971,1.182,000300.SH,3700.495,3694.9607,3731.1405,3694.3938,3692.8928,7.6022,0.2059,91629210.0,164790435.266,48464136275239.0,37193202586122.0,4065975895645.0,3055106433458.0,1103876807866.0,0.3,0.83,11.59,11.54,1.3,3694.9607,3731.1405,3694.3938,3700.495,3692.8928,7.6022,0.2059,91629210.0,164790435.27,-5396.73455,-7614.64791,39.52709,3717.60458,-0.099,-0.464,-1.273,3657.112,3745.844,3834.575,76.91497,126.40346,-59.36323,71.68518,-107.93505,-95.00707,39.36058,34.91982,27.647,13.93469,0.0,1.0,-67.73772,-76.74798,3715.77098,3738.46138,3959.78935,3759.45747,3705.57657,3805.73423,3837.80196,-0.14113,-0.18533,3720.24771,3792.41994,48.17254,32.75066,37.89129,3665.49486,3740.86142,3816.22798,0.0,1.0,3711.55562,3745.84366,3908.4785,3749.34035,3703.8738,3826.17905,3836.49306,0.056,-31.226,-31.198,23.97118,24.29935,38.4737,-67.042,-87.04052,4458207.03107,25.0,22.222,-1.77946,-2.28606,41.896,42.776,42.596,3664.7661,3759.5133,3854.2605,-0.12452,-0.1343,69.5622,57.596,52.772,3779.92057,3631.68839,4132.4914,3591.79159,1.706,1.848,3.112,2.278,2.303,2.353,2.399,2.44,593034.2,5.5,30416.2,3.7,230681.5,4.3,331936.5,6.4,100.1,0.1,0.3,100.5,100.2,0.2,0.2,100.5,99.8,-0.2,0.4,100.3,-3.0,-3.7,-9.9,-4.0,-3.1,-0.2,-0.2,1.0,0.6,-1.2,0.2,0.3,0.9,1.4,-0.2,0.1,0.6,-0.2,-0.3,-0.1,-3.2,-4.2,-8.1,-5.2,-3.4,0.3,0.9,1.5,0.6,-0.8,106515.36,9.5,0.36,679588.35,2.2,0.35,2869343.25,10.6,0.54,31279.0,252152.0,368.61,2.44,2.33,2.27,2.29,2.35,SPX,4282.63,4274.51,4292.07,4238.63,4273.53,0.98,0.02,1.25,2299297.0,HSI,17472.11,17611.87,17655.31,17472.11,17466.9,144.97,0.83,1.05,1571624.0
2023-09-28,510300.SH,20230928,3.778,3.785,3.791,3.756,3.764,-0.014,-0.3706,11206123.53,4221645.459,1.182,000300.SH,3689.5172,3711.2117,3716.0569,3685.3001,3700.495,-10.9778,-0.2967,85221719.0,153500421.344,48383018869255.0,37110968027600.0,4065977698765.0,3055108012553.0,1103878878173.0,0.28,0.77,11.57,11.52,1.29,3711.2117,3716.0569,3685.3001,3689.5172,3700.495,-10.9778,-0.2967,85221719.0,153500421.34,-4376.27867,-7067.75018,39.4653,3712.41231,-0.323,-0.601,-1.545,3650.541,3742.056,3833.571,80.82426,141.54654,-95.18379,74.76106,-109.65055,-98.97581,39.67363,33.54654,23.49726,14.00642,1.0,0.0,-73.83587,-73.48443,3710.99757,3733.80003,3957.63579,3754.9452,3700.22345,3801.92383,3834.54296,-0.09167,-0.17298,3715.51994,3788.38453,40.72098,33.88928,36.16651,3661.46363,3736.68015,3811.89667,4.0,0.0,3707.15657,3742.05613,3907.50522,3744.6209,3707.28828,3823.62509,3834.00782,-0.18,-31.249,-31.339,23.84019,24.20352,38.08732,-71.0876,-75.01147,4449684.85917,25.0,23.611,-1.89032,-1.98077,40.288,42.015,38.976,3664.7661,3759.5133,3854.2605,-0.12406,-0.13041,70.08227,70.625,67.283,3782.70524,3634.36385,4130.17354,3589.777,2.155,2.195,3.231,2.285,2.302,2.356,2.402,2.446,593034.2,5.5,30416.2,3.7,230681.5,4.3,331936.5,6.4,100.1,0.1,0.3,100.5,100.2,0.2,0.2,100.5,99.8,-0.2,0.4,100.3,-3.0,-3.7,-9.9,-4.0,-3.1,-0.2,-0.2,1.0,0.6,-1.2,0.2,0.3,0.9,1.4,-0.2,0.1,0.6,-0.2,-0.3,-0.1,-3.2,-4.2,-8.1,-5.2,-3.4,0.3,0.9,1.5,0.6,-0.8,106515.36,9.5,0.36,679588.35,2.2,0.35,2869343.25,10.6,0.54,31279.0,252152.0,368.61,2.35,2.26,2.2,2.23,2.29,SPX,4269.65,4299.7,4317.27,4264.38,4274.51,25.19,0.59,1.24,2235764.0,HSI,17472.11,17611.87,17655.31,17472.11,17466.9,144.97,0.83,1.05,1571624.0
2023-10-09,510300.SH,20231009,3.764,3.757,3.768,3.713,3.754,-0.01,-0.2657,8752130.72,3273783.14,1.182,000300.SH,3684.7272,3678.929,3694.1713,3641.9966,3689.5172,-4.79,-0.1298,102148058.0,178072374.748,48359837518474.0,37053493431609.0,4068033457887.0,3057175036253.0,1106183639412.0,0.33,0.92,11.56,11.51,1.29,3678.929,3694.1713,3641.9966,3684.7272,3689.5172,-4.79,-0.1298,102148058.0,178072374.75,-4423.89993,-6449.52507,39.91089,3709.8273,-0.508,-0.614,-1.598,3644.905,3736.718,3828.531,74.02467,120.70453,-172.16762,59.56726,-109.31183,-102.31738,43.44065,36.24848,31.74417,7.41856,2.0,0.0,-74.86451,-66.66183,3706.22114,3729.12642,3955.46122,3750.41501,3695.05803,3798.08132,3831.2503,-0.21992,-0.18046,3710.78259,3784.31954,44.84118,35.45383,38.58295,3654.9529,3730.67554,3806.39818,5.0,0.0,3704.75163,3736.71793,3906.62919,3741.31168,3696.44718,3821.27556,3832.07042,-0.36,-31.294,-31.474,23.77029,24.09319,29.78121,-51.9241,-59.02005,4439470.05337,25.0,25.0,-1.38959,-1.56725,39.566,41.678,37.316,3641.9966,3748.12855,3854.2605,-0.1238,-0.12685,58.75838,56.584,56.584,3773.65643,3625.66991,4127.14695,3587.14642,1.73,1.801,1.802,2.236,2.3,2.357,2.402,2.447,913027.0,5.2,56374.0,4.0,353659.0,4.4,502993.0,6.0,100.0,0.0,0.2,100.4,100.1,0.1,0.2,100.5,99.7,-0.3,0.3,100.3,-2.5,-3.0,-7.4,-2.8,-2.8,-0.3,-0.3,0.8,0.7,-1.2,0.4,0.5,1.8,1.3,0.1,0.1,0.2,0.2,0.1,0.0,-3.1,-4.1,-8.0,-4.9,-3.4,0.3,0.7,1.5,0.6,-0.8,109253.22,10.7,2.57,678443.65,2.1,-0.17,2896659.11,10.3,0.95,41326.0,293478.0,372.5,2.58,2.51,2.47,2.49,2.54,SPX,4289.02,4335.66,4341.73,4283.79,4308.5,27.16,0.63,1.34,1991525.0,HSI,17500.37,17517.4,17633.19,17447.76,17485.98,31.42,0.18,1.06,1221298.0
2023-10-10,510300.SH,20231010,3.754,3.766,3.778,3.724,3.727,-0.027,-0.7192,9279323.76,3475885.457,1.182,000300.SH,3657.1259,3696.2542,3701.2562,3655.589,3684.7272,-27.6013,-0.7491,99163730.0,161938958.925,47995136615968.0,36782582433484.0,4068256530052.0,3057452508806.0,1106410167252.0,0.32,0.9,11.47,11.43,1.28,3696.2542,3701.2562,3655.589,3657.1259,3684.7272,-27.6013,-0.7491,99163730.0,161938958.93,-4746.91029,-6056.54864,39.05579,3698.81549,-0.888,-1.189,-2.191,3644.608,3727.127,3809.645,66.63274,121.40408,-154.81212,50.98404,-113.40844,-105.08944,45.05095,38.40317,30.25797,8.34748,3.0,0.0,-102.37361,-76.70757,3697.29473,3722.26923,3953.08404,3744.39635,3682.41399,3793.45983,3827.42339,-0.20256,-0.18378,3702.52772,3779.33156,24.70208,33.91787,30.84594,3649.45088,3725.02298,3800.59508,224.0,0.0,3697.69312,3727.12664,3905.78032,3738.89738,3684.95162,3818.15555,3829.92182,-3.406,-31.719,-33.423,23.56735,23.95085,23.06987,-76.3818,-59.56775,4429553.68037,25.0,25.0,-2.04585,-1.58864,35.556,39.758,28.825,3641.9966,3740.78725,3839.5779,-0.12593,-0.12416,58.96858,84.628,84.251,3763.08018,3615.50841,4123.73877,3584.18416,1.827,1.861,1.9,2.237,2.302,2.36,2.408,2.452,913027.0,5.2,56374.0,4.0,353659.0,4.4,502993.0,6.0,100.0,0.0,0.2,100.4,100.1,0.1,0.2,100.5,99.7,-0.3,0.3,100.3,-2.5,-3.0,-7.4,-2.8,-2.8,-0.3,-0.3,0.8,0.7,-1.2,0.4,0.5,1.8,1.3,0.1,0.1,0.2,0.2,0.1,0.0,-3.1,-4.1,-8.0,-4.9,-3.4,0.3,0.7,1.5,0.6,-0.8,109253.22,10.7,2.57,678443.65,2.1,-0.17,2896659.11,10.3,0.95,41326.0,293478.0,372.5,2.44,2.38,2.34,2.38,2.43,SPX,4339.75,4358.24,4385.46,4339.64,4335.66,22.58,0.52,1.06,2160881.0,HSI,17726.63,17664.73,17916.62,17638.01,17517.4,147.33,0.84,1.59,1596847.0
2023-10-11,510300.SH,20231011,3.727,3.745,3.762,3.727,3.735,0.008,0.2146,8934987.08,3346389.864,1.182,000300.SH,3667.5483,3674.7514,3689.5347,3658.355,3657.1259,10.4224,0.285,102091587.0,187667554.127,48098222251377.0,36847669120978.0,4068256697407.0,3057452676161.0,1106389334607.0,0.33,0.92,11.5,11.45,1.28,3674.7514,3689.5347,3658.355,3667.5483,3657.1259,10.4224,0.285,102091587.0,187667554.13,-4677.21029,-5798.00696,38.94533,3692.25557,-0.394,-0.815,-1.779,3644.997,3719.488,3793.979,89.13689,90.6381,-124.52657,54.71246,-113.75248,-107.19571,45.19128,40.33337,24.48091,8.61592,0.0,1.0,-90.06496,-81.38345,3691.88629,3717.05771,3950.80886,3739.43841,3677.45876,3789.33158,3823.90966,-0.15072,-0.18333,3697.14627,3774.9479,22.95098,32.35117,29.21778,3642.90499,3719.95533,3797.00567,0.0,1.0,3692.39774,3719.48819,3905.02643,3735.87475,3679.88272,3814.78992,3827.88401,-3.228,-32.123,-33.737,23.39511,23.78717,30.52734,-41.2283,-59.12728,4439762.83907,33.333,26.389,-1.11164,-1.57937,38.138,40.832,35.477,3641.9966,3729.76025,3817.5239,-0.1279,-0.12246,53.26869,74.039,71.337,3756.99769,3609.66444,4121.12494,3581.91233,1.864,1.895,1.965,2.236,2.304,2.364,2.416,2.457,913027.0,5.2,56374.0,4.0,353659.0,4.4,502993.0,6.0,100.0,0.0,0.2,100.4,100.1,0.1,0.2,100.5,99.7,-0.3,0.3,100.3,-2.5,-3.0,-7.4,-2.8,-2.8,-0.3,-0.3,0.8,0.7,-1.2,0.4,0.5,1.8,1.3,0.1,0.1,0.2,0.2,0.1,0.0,-3.1,-4.1,-8.0,-4.9,-3.4,0.3,0.7,1.5,0.6,-0.8,109253.22,10.7,2.57,678443.65,2.1,-0.17,2896659.11,10.3,0.95,41326.0,293478.0,372.5,2.39,2.31,2.26,2.29,2.34,SPX,4366.59,4376.95,4378.64,4345.34,4358.24,18.71,0.43,0.76,2115648.0,HSI,17956.83,17893.1,18022.45,17889.71,17664.73,228.37,1.29,0.75,2029134.0
2023-10-12,510300.SH,20231012,3.735,3.77,3.785,3.752,3.771,0.036,0.9639,9335215.69,3516113.484,1.182,000300.SH,3702.3824,3697.9337,3711.4985,3682.8418,3667.5483,34.8341,0.9498,114363225.0,194598219.817,48659634750290.0,37232421995157.0,4068256027407.0,3057449274003.0,1106276369300.0,0.37,1.03,11.63,11.59,1.3,3697.9337,3711.4985,3682.8418,3702.3824,3667.5483,34.8341,0.9498,114363225.0,194598219.82,-3469.36784,-5385.04923,39.67172,3692.22398,0.509,0.184,-0.777,3652.569,3714.006,3775.443,76.79763,89.85374,-7.37329,66.96946,-109.99061,-108.13791,42.69223,40.66617,23.60011,12.41246,0.0,2.0,-55.68365,-77.42672,3693.79467,3715.66006,3948.82936,3737.0477,3685.76664,3786.48079,3821.23873,-0.10709,-0.17088,3697.95183,3772.10219,50.03487,34.87741,39.9299,3635.18534,3717.95078,3800.71622,0.0,6.0,3692.067,3714.00589,3904.48925,3736.06637,3680.2602,3812.43901,3826.42224,2.084,-31.862,-30.82,23.28179,23.63765,38.92921,-25.3286,-55.49873,4451199.16157,33.333,27.778,-0.67947,-1.48272,46.024,44.296,53.07,3641.9966,3722.1119,3802.2272,-0.12583,-0.12156,51.0028,38.646,32.26,3755.59931,3608.3209,4120.51355,3581.38094,1.81,1.889,2.057,2.234,2.305,2.368,2.423,2.463,913027.0,5.2,56374.0,4.0,353659.0,4.4,502993.0,6.0,100.0,0.0,0.2,100.4,100.1,0.1,0.2,100.5,99.7,-0.3,0.3,100.3,-2.5,-3.0,-7.4,-2.8,-2.8,-0.3,-0.3,0.8,0.7,-1.2,0.4,0.5,1.8,1.3,0.1,0.1,0.2,0.2,0.1,0.0,-3.1,-4.1,-8.0,-4.9,-3.4,0.3,0.7,1.5,0.6,-0.8,109253.22,10.7,2.57,678443.65,2.1,-0.17,2896659.11,10.3,0.95,41326.0,293478.0,372.5,2.46,2.4,2.36,2.41,2.46,SPX,4380.94,4349.61,4385.85,4325.43,4376.95,-27.34,-0.62,1.38,2344769.0,HSI,18258.26,18238.21,18290.91,18175.35,17893.1,345.11,1.93,0.65,3861575.0
2023-10-13,510300.SH,20231013,3.771,3.75,3.751,3.724,3.736,-0.035,-0.9281,11350953.39,4239502.34,1.182,000300.SH,3663.4104,3677.9585,3678.1913,3652.3094,3702.3824,-38.972,-1.0526,98287987.0,170152309.003,48377996021659.0,36917151953884.0,4068256027407.0,3057449274003.0,1106276369300.0,0.32,0.89,11.57,11.52,1.29,3677.9585,3678.1913,3652.3094,3663.4104,3702.3824,-38.972,-1.0526,98287987.0,170152309.0,-4171.2727,-5010.53971,39.4166,3688.82478,-0.382,-0.742,-1.681,3647.604,3709.253,3770.902,74.48836,79.59505,-127.18065,67.44733,-106.11535,-108.28424,43.06069,41.21064,25.87009,12.40279,1.0,0.0,-92.10643,-81.48817,3688.27026,3710.68391,3946.55511,3732.29691,3678.31456,3782.4457,3817.76997,-0.12841,-0.15975,3692.63776,3767.83977,32.94726,34.60168,34.0502,3627.29542,3712.87328,3798.45114,2.0,0.0,3691.16356,3709.25267,3903.57371,3734.06574,3675.03884,3808.52213,3824.4851,0.911,-31.749,-31.293,23.12007,23.4958,39.30662,-57.0917,-53.84035,4441370.36287,33.333,29.167,-1.53452,-1.4419,39.828,41.462,38.849,3641.9966,3715.15925,3788.3219,-0.12476,-0.12122,51.97226,78.243,71.086,3749.32274,3602.29048,4118.08333,3579.26869,1.741,1.893,1.994,2.229,2.308,2.38,2.428,2.466,913027.0,5.2,56374.0,4.0,353659.0,4.4,502993.0,6.0,100.0,0.0,0.2,100.4,100.1,0.1,0.2,100.5,99.7,-0.3,0.3,100.3,-2.5,-3.0,-7.4,-2.8,-2.8,-0.3,-0.3,0.8,0.7,-1.2,0.4,0.5,1.8,1.3,0.1,0.1,0.2,0.2,0.1,0.0,-3.1,-4.1,-8.0,-4.9,-3.4,0.3,0.7,1.5,0.6,-0.8,109253.22,10.7,2.57,678443.65,2.1,-0.17,2896659.11,10.3,0.95,41326.0,293478.0,372.5,2.39,2.32,2.29,2.33,2.38,SPX,4360.49,4327.78,4377.1,4311.97,4349.61,-21.83,-0.5,1.5,2302663.0,HSI,17946.77,17813.45,18013.67,17776.95,18238.21,-424.76,-2.33,1.3,2139651.0
2023-10-16,510300.SH,20231016,3.736,3.736,3.738,3.682,3.693,-0.043,-1.151,11389805.84,4217878.506,1.182,000300.SH,3626.5972,3664.039,3664.039,3615.7686,3663.4104,-36.8132,-1.0049,91853118.0,159537973.598,48091551005006.0,36667753292334.0,4068259085087.0,3057456756042.0,1106283851339.0,0.3,0.83,11.5,11.45,1.28,3664.039,3664.039,3615.7686,3626.5972,3663.4104,-36.8132,-1.0049,91853118.0,159537973.6,-4579.24155,-4766.36154,40.15573,3679.72532,-1.101,-1.564,-2.426,3633.945,3703.583,3773.221,70.149,76.00116,-180.17769,67.25661,-110.02609,-109.13138,45.98507,42.82935,30.89978,12.36125,2.0,0.0,-130.40868,-90.91697,3677.05698,3702.67565,3944.00564,3725.47757,3661.07544,3777.33591,3813.56837,-0.16843,-0.15662,3682.47768,3762.30084,14.1315,31.67737,25.82874,3625.39988,3705.50138,3785.60288,231.0,0.0,3679.93001,3703.5829,3902.76526,3731.31392,3663.41284,3803.98038,3822.57459,-3.991,-32.247,-34.243,23.09288,23.37125,39.21368,-79.0926,-55.17452,4432185.05107,33.333,30.556,-2.13436,-1.48257,34.975,39.003,29.798,3615.7686,3702.04525,3788.3219,-0.1275,-0.12136,52.83981,91.145,88.688,3740.51911,3593.83208,4113.57076,3575.34655,1.722,1.793,1.882,2.223,2.309,2.387,2.432,2.474,913027.0,5.2,56374.0,4.0,353659.0,4.4,502993.0,6.0,100.0,0.0,0.2,100.4,100.1,0.1,0.2,100.5,99.7,-0.3,0.3,100.3,-2.5,-3.0,-7.4,-2.8,-2.8,-0.3,-0.3,0.8,0.7,-1.2,0.4,0.5,1.8,1.3,0.1,0.1,0.2,0.2,0.1,0.0,-3.1,-4.1,-8.0,-4.9,-3.4,0.3,0.7,1.5,0.6,-0.8,109253.22,10.7,2.57,678443.65,2.1,-0.17,2896659.11,10.3,0.95,41326.0,293478.0,372.5,2.42,2.37,2.33,2.38,2.44,SPX,4342.37,4373.63,4383.33,4342.37,4327.78,45.85,1.06,0.95,2124400.0,HSI,17803.31,17640.36,17858.18,17601.5,17813.45,-173.09,-0.97,1.44,1904582.0
