indiv_d_ts_code,indiv_d_trade_date,indiv_d_pre_close,indiv_d_open,indiv_d_high,indiv_d_low,indiv_d_close,indiv_d_change,indiv_d_pct_chg,indiv_d_vol,indiv_d_amount
510300.SH,20251023,4.695,4.687,4.719,4.642,4.713,0.018,0.3834,6993428.41,3267824.361
510300.SH,20251022,4.71,4.69,4.708,4.668,4.695,-0.015,-0.3185,5544841.98,2601506.365
510300.SH,20251021,4.64,4.656,4.723,4.652,4.71,0.07,1.5086,9598685.19,4511371.971
510300.SH,20251020,4.624,4.651,4.678,4.624,4.64,0.016,0.346,7644178.05,3554256.321
510300.SH,20251017,4.721,4.715,4.724,4.612,4.624,-0.097,-2.0546,8400582.05,3909864.092
510300.SH,20251016,4.706,4.689,4.747,4.689,4.721,0.015,0.3187,8124633.37,3835512.324
510300.SH,20251015,4.645,4.648,4.715,4.627,4.706,0.061,1.3132,9974012.76,4649845.988
510300.SH,20251014,4.692,4.725,4.74,4.62,4.645,-0.047,-1.0017,11619095.16,5445976.98
510300.SH,20251013,4.719,4.598,4.704,4.596,4.692,-0.027,-0.5722,9658361.87,4499844.601
510300.SH,20251010,4.816,4.787,4.794,4.704,4.719,-0.097,-2.0141,11746425.59,5581932.563
510300.SH,20251009,4.741,4.754,4.836,4.75,4.816,0.075,1.5819,8970906.08,4308933.449
510300.SH,20250930,4.728,4.734,4.75,4.72,4.741,0.013,0.275,7403809.27,3508639.995
510300.SH,20250929,4.651,4.648,4.755,4.64,4.728,0.077,1.6556,11954365.2,5620190.347
510300.SH,20250926,4.695,4.677,4.699,4.65,4.651,-0.044,-0.9372,7153059.37,3344592.886
510300.SH,20250925,4.663,4.663,4.718,4.657,4.695,0.032,0.6863,7713362.31,3614405.601
510300.SH,20250924,4.622,4.597,4.664,4.596,4.663,0.041,0.8871,10044858.67,4656117.026
510300.SH,20250923,4.619,4.627,4.656,4.558,4.622,0.003,0.0649,10550001.35,4859849.641
510300.SH,20250922,4.604,4.604,4.621,4.582,4.619,0.015,0.3258,6292766.23,2896946.428
510300.SH,20250919,4.594,4.59,4.633,4.587,4.604,0.01,0.2177,7316138.11,3369611.818
510300.SH,20250918,4.653,4.655,4.676,4.554,4.594,-0.059,-1.268,11873727.1,5488692.045
510300.SH,20250917,4.62,4.615,4.659,4.599,4.653,0.033,0.7143,7154078.82,3315621.289
510300.SH,20250916,4.629,4.632,4.652,4.591,4.62,-0.009,-0.1944,7889033.61,3642646.55
510300.SH,20250915,4.621,4.622,4.662,4.614,4.629,0.008,0.1731,7211915.18,3346337.207
510300.SH,20250912,4.66,4.662,4.664,4.615,4.621,-0.039,-0.8369,9158580.27,4251540.392
510300.SH,20250911,4.538,4.527,4.662,4.517,4.66,0.122,2.6884,9783418.22,4504295.39
510300.SH,20250910,4.528,4.526,4.562,4.507,4.538,0.01,0.2208,6086583.32,2761984.289
510300.SH,20250909,4.555,4.545,4.564,4.502,4.528,-0.027,-0.5928,6803545.36,3084847.254
510300.SH,20250908,4.554,4.554,4.573,4.524,4.555,0.001,0.022,10340219.93,4701185.135
510300.SH,20250905,4.456,4.45,4.563,4.442,4.554,0.098,2.1993,10603324.74,4780253.83
510300.SH,20250904,4.549,4.546,4.555,4.416,4.456,-0.093,-2.0444,14208228.33,6352441.03
510300.SH,20250903,4.59,4.592,4.609,4.52,4.549,-0.041,-0.8932,9188624.72,4187703.184
510300.SH,20250902,4.616,4.613,4.643,4.55,4.59,-0.026,-0.5633,10344121.86,4755250.317
510300.SH,20250901,4.601,4.607,4.624,4.58,4.616,0.015,0.326,11939866.71,5495420.182
510300.SH,20250829,4.559,4.55,4.613,4.54,4.601,0.042,0.9213,13550573.64,6208498.37
510300.SH,20250828,4.475,4.469,4.561,4.452,4.559,0.084,1.8771,12764156.94,5746035.433
510300.SH,20250827,4.541,4.541,4.585,4.473,4.475,-0.066,-1.4534,14126904.04,6408311.259
510300.SH,20250826,4.565,4.554,4.572,4.527,4.541,-0.024,-0.5257,11142941.46,5068845.227
510300.SH,20250825,4.479,4.501,4.572,4.497,4.565,0.086,1.9201,14560918.26,6599627.199
510300.SH,20250822,4.378,4.375,4.484,4.374,4.479,0.101,2.307,13602634.2,6031204.221
510300.SH,20250821,4.364,4.368,4.394,4.358,4.378,0.014,0.3208,9130024.68,3997377.735
510300.SH,20250820,4.305,4.295,4.365,4.267,4.364,0.059,1.3705,13784165.63,5938089.045
510300.SH,20250819,4.327,4.326,4.347,4.297,4.305,-0.022,-0.5084,7743324.31,3347920.291
510300.SH,20250818,4.295,4.298,4.36,4.285,4.327,0.032,0.7451,10092475.34,4362087.157
510300.SH,20250815,4.256,4.242,4.302,4.24,4.295,0.039,0.9164,10718339.47,4584387.161
510300.SH,20250814,4.263,4.265,4.303,4.248,4.256,-0.007,-0.1642,8879343.79,3797429.985
510300.SH,20250813,4.228,4.234,4.272,4.229,4.263,0.035,0.8278,7588408.13,3227703.467
510300.SH,20250812,4.202,4.2,4.237,4.2,4.228,0.026,0.6188,4824872.1,2036818.306
510300.SH,20250811,4.183,4.183,4.218,4.183,4.202,0.019,0.4542,6881518.92,2891923.703
510300.SH,20250808,4.193,4.188,4.201,4.175,4.183,-0.01,-0.2385,4230624.0,1771777.749
510300.SH,20250807,4.194,4.196,4.21,4.171,4.193,-0.001,-0.0238,5339656.16,2236786.69
510300.SH,20250806,4.183,4.181,4.199,4.176,4.194,0.011,0.263,4089449.07,1713095.761
510300.SH,20250805,4.152,4.154,4.185,4.151,4.183,0.031,0.7466,5480680.72,2282989.18
510300.SH,20250804,4.133,4.122,4.154,4.117,4.152,0.019,0.4597,4355672.0,1801388.564
510300.SH,20250801,4.155,4.148,4.162,4.118,4.133,-0.022,-0.5295,6115671.02,2531113.831
510300.SH,20250731,4.232,4.221,4.221,4.142,4.155,-0.077,-1.8195,11229125.75,4687659.264
510300.SH,20250730,4.235,4.227,4.265,4.207,4.232,-0.003,-0.0708,9502521.56,4023783.503
510300.SH,20250729,4.214,4.208,4.236,4.192,4.235,0.021,0.4983,8059785.53,3395606.595
510300.SH,20250728,4.203,4.203,4.223,4.186,4.214,0.011,0.2617,6027712.97,2535151.857
510300.SH,20250725,4.225,4.225,4.225,4.193,4.203,-0.022,-0.5207,8200859.76,3452281.674
510300.SH,20250724,4.199,4.195,4.228,4.19,4.225,0.026,0.6192,8852359.51,3729028.292
