indiv_adj_d_ts_code,indiv_adj_d_trade_date,indiv_adj_d_adj_factor
510500.SH,20251023,0.332
510500.SH,20251022,0.332
510500.SH,20251021,0.332
510500.SH,20251020,0.332
510500.SH,20251017,0.332
510500.SH,20251016,0.332
510500.SH,20251015,0.332
510500.SH,20251014,0.332
510500.SH,20251013,0.332
510500.SH,20251010,0.332
510500.SH,20251009,0.332
510500.SH,20250930,0.332
510500.SH,20250929,0.332
510500.SH,20250926,0.332
510500.SH,20250925,0.332
510500.SH,20250924,0.332
510500.SH,20250923,0.332
510500.SH,20250922,0.332
510500.SH,20250919,0.332
510500.SH,20250918,0.332
510500.SH,20250917,0.332
510500.SH,20250916,0.332
510500.SH,20250915,0.332
510500.SH,20250912,0.332
510500.SH,20250911,0.332
510500.SH,20250910,0.332
510500.SH,20250909,0.332
510500.SH,20250908,0.332
510500.SH,20250905,0.332
510500.SH,20250904,0.332
510500.SH,20250903,0.332
510500.SH,20250902,0.332
510500.SH,20250901,0.332
510500.SH,20250829,0.332
510500.SH,20250828,0.332
510500.SH,20250827,0.332
510500.SH,20250826,0.332
510500.SH,20250825,0.332
510500.SH,20250822,0.332
510500.SH,20250821,0.332
510500.SH,20250820,0.332
510500.SH,20250819,0.332
510500.SH,20250818,0.332
510500.SH,20250815,0.332
510500.SH,20250814,0.332
510500.SH,20250813,0.332
510500.SH,20250812,0.332
510500.SH,20250811,0.332
510500.SH,20250808,0.332
510500.SH,20250807,0.332
510500.SH,20250806,0.332
510500.SH,20250805,0.332
510500.SH,20250804,0.332
510500.SH,20250801,0.332
510500.SH,20250731,0.332
510500.SH,20250730,0.332
510500.SH,20250729,0.332
510500.SH,20250728,0.332
510500.SH,20250725,0.332
510500.SH,20250724,0.332
510500.SH,20250723,0.332
510500.SH,20250722,0.332
510500.SH,20250721,0.332
510500.SH,20250718,0.332
510500.SH,20250717,0.332
510500.SH,20250716,0.332
510500.SH,20250715,0.332
510500.SH,20250714,0.332
510500.SH,20250711,0.332
510500.SH,20250710,0.332
510500.SH,20250709,0.332
510500.SH,20250708,0.332
510500.SH,20250707,0.332
510500.SH,20250704,0.332
510500.SH,20250703,0.332
510500.SH,20250702,0.332
510500.SH,20250701,0.332
510500.SH,20250630,0.332
510500.SH,20250627,0.332
510500.SH,20250626,0.332
510500.SH,20250625,0.332
510500.SH,20250624,0.332
510500.SH,20250623,0.332
510500.SH,20250620,0.332
510500.SH,20250619,0.332
510500.SH,20250618,0.332
510500.SH,20250617,0.332
510500.SH,20250616,0.332
510500.SH,20250613,0.332
510500.SH,20250612,0.332
510500.SH,20250611,0.332
510500.SH,20250610,0.332
510500.SH,20250609,0.332
510500.SH,20250606,0.332
510500.SH,20250605,0.332
510500.SH,20250604,0.332
510500.SH,20250603,0.332
510500.SH,20250530,0.332
510500.SH,20250529,0.332
510500.SH,20250528,0.332
510500.SH,20250527,0.332
510500.SH,20250526,0.332
510500.SH,20250523,0.332
510500.SH,20250522,0.332
510500.SH,20250521,0.332
510500.SH,20250520,0.332
510500.SH,20250519,0.332
510500.SH,20250516,0.332
510500.SH,20250515,0.332
510500.SH,20250514,0.332
510500.SH,20250513,0.332
510500.SH,20250512,0.332
510500.SH,20250509,0.332
510500.SH,20250508,0.332
510500.SH,20250507,0.332
510500.SH,20250506,0.332
510500.SH,20250430,0.332
510500.SH,20250429,0.332
510500.SH,20250428,0.332
510500.SH,20250425,0.332
510500.SH,20250424,0.332
510500.SH,20250423,0.332
510500.SH,20250422,0.332
510500.SH,20250421,0.332
510500.SH,20250418,0.332
510500.SH,20250417,0.332
510500.SH,20250416,0.332
510500.SH,20250415,0.332
510500.SH,20250414,0.332
510500.SH,20250411,0.332
510500.SH,20250410,0.332
510500.SH,20250409,0.332
510500.SH,20250408,0.332
510500.SH,20250407,0.332
510500.SH,20250403,0.332
510500.SH,20250402,0.332
510500.SH,20250401,0.332
510500.SH,20250331,0.332
510500.SH,20250328,0.332
510500.SH,20250327,0.332
510500.SH,20250326,0.332
510500.SH,20250325,0.332
510500.SH,20250324,0.332
510500.SH,20250321,0.332
510500.SH,20250320,0.332
510500.SH,20250319,0.332
510500.SH,20250318,0.332
510500.SH,20250317,0.332
510500.SH,20250314,0.332
510500.SH,20250313,0.332
510500.SH,20250312,0.332
510500.SH,20250311,0.332
510500.SH,20250310,0.332
510500.SH,20250307,0.332
510500.SH,20250306,0.332
510500.SH,20250305,0.332
510500.SH,20250304,0.332
510500.SH,20250303,0.332
510500.SH,20250228,0.332
510500.SH,20250227,0.332
510500.SH,20250226,0.332
510500.SH,20250225,0.332
510500.SH,20250224,0.332
510500.SH,20250221,0.332
510500.SH,20250220,0.332
510500.SH,20250219,0.332
510500.SH,20250218,0.332
510500.SH,20250217,0.332
510500.SH,20250214,0.332
510500.SH,20250213,0.332
510500.SH,20250212,0.332
510500.SH,20250211,0.332
510500.SH,20250210,0.332
510500.SH,20250207,0.332
510500.SH,20250206,0.332
510500.SH,20250205,0.332
510500.SH,20250127,0.332
510500.SH,20250124,0.332
510500.SH,20250123,0.332
510500.SH,20250122,0.332
510500.SH,20250121,0.332
510500.SH,20250120,0.332
510500.SH,20250117,0.332
510500.SH,20250116,0.332
510500.SH,20250115,0.326
510500.SH,20250114,0.326
510500.SH,20250113,0.326
510500.SH,20250110,0.326
510500.SH,20250109,0.326
510500.SH,20250108,0.326
510500.SH,20250107,0.326
510500.SH,20250106,0.326
510500.SH,20250103,0.326
510500.SH,20250102,0.326
510500.SH,20241231,0.326
510500.SH,20241230,0.326
510500.SH,20241227,0.326
510500.SH,20241226,0.326
510500.SH,20241225,0.326
510500.SH,20241224,0.326
510500.SH,20241223,0.326
510500.SH,20241220,0.326
510500.SH,20241219,0.326
510500.SH,20241218,0.326
510500.SH,20241217,0.326
510500.SH,20241216,0.326
510500.SH,20241213,0.326
510500.SH,20241212,0.326
510500.SH,20241211,0.326
510500.SH,20241210,0.326
510500.SH,20241209,0.326
510500.SH,20241206,0.326
510500.SH,20241205,0.326
510500.SH,20241204,0.326
510500.SH,20241203,0.326
510500.SH,20241202,0.326
510500.SH,20241129,0.326
510500.SH,20241128,0.326
510500.SH,20241127,0.326
510500.SH,20241126,0.326
510500.SH,20241125,0.326
510500.SH,20241122,0.326
510500.SH,20241121,0.326
510500.SH,20241120,0.326
510500.SH,20241119,0.326
510500.SH,20241118,0.326
510500.SH,20241115,0.326
510500.SH,20241114,0.326
510500.SH,20241113,0.326
510500.SH,20241112,0.326
510500.SH,20241111,0.326
510500.SH,20241108,0.326
510500.SH,20241107,0.326
510500.SH,20241106,0.326
510500.SH,20241105,0.326
510500.SH,20241104,0.326
510500.SH,20241101,0.326
510500.SH,20241031,0.326
510500.SH,20241030,0.326
510500.SH,20241029,0.326
510500.SH,20241028,0.326
510500.SH,20241025,0.326
510500.SH,20241024,0.326
510500.SH,20241023,0.326
510500.SH,20241022,0.326
510500.SH,20241021,0.326
510500.SH,20241018,0.326
510500.SH,20241017,0.326
510500.SH,20241016,0.326
510500.SH,20241015,0.326
510500.SH,20241014,0.326
510500.SH,20241011,0.326
510500.SH,20241010,0.326
510500.SH,20241009,0.326
510500.SH,20241008,0.326
510500.SH,20240930,0.326
