indiv_din_ts_code,indiv_din_trade_date,indiv_din_total_mv,indiv_din_float_mv,indiv_din_total_share,indiv_din_float_share,indiv_din_free_share,indiv_din_turnover_rate,indiv_din_turnover_rate_f,indiv_din_pe,indiv_din_pe_ttm,indiv_din_pb
000905.SH,20251023,16667642164658.0,14689487910721.0,1257175740957.0,1132073456328.0,570006373130.0,1.67,3.31,35.52,33.95,2.26
000905.SH,20251022,16645922311876.0,14661406280066.0,1257147529529.0,1132073456328.0,569938551728.0,1.5,2.98,35.48,33.9,2.26
000905.SH,20251021,16771254389860.0,14771716524884.0,1257142909474.0,1132069163785.0,569869452425.0,1.82,3.61,35.74,34.16,2.28
000905.SH,20251020,16501141453033.0,14540917631200.0,1257208554064.0,1132133583645.0,569933872285.0,1.56,3.1,35.17,33.66,2.24
000905.SH,20251017,16386520923873.0,14432145007528.0,1257193612952.0,1131056283004.0,569934067635.0,1.77,3.51,34.92,33.44,2.23
000905.SH,20251016,16860222170272.0,14844535176334.0,1257192916409.0,1131051884127.0,569926499932.0,1.72,3.42,35.93,34.43,2.29
000905.SH,20251015,16992595883433.0,14974386133954.0,1257192128119.0,1131047422131.0,569914800091.0,1.92,3.82,36.21,34.7,2.31
000905.SH,20251014,16775071422900.0,14786330422082.0,1257169118711.0,1131032529116.0,569914864682.0,2.45,4.87,35.75,34.27,2.28
000905.SH,20251013,17161258852979.0,15117635101965.0,1257161562103.0,1131024972508.0,569898411551.0,2.28,4.53,36.57,35.05,2.33
000905.SH,20251010,17222908595773.0,15163237079940.0,1257158911702.0,1130252975754.0,569854115539.0,2.32,4.6,36.7,35.18,2.34
000905.SH,20251009,17541155850662.0,15414454818860.0,1257080895207.0,1130149651430.0,569756389421.0,2.51,4.97,37.38,35.83,2.38
000905.SH,20250930,17245657396618.0,15147471415656.0,1257081114257.0,1129849816086.0,569718710422.0,1.95,3.87,36.75,35.23,2.34
000905.SH,20250929,17097616536842.0,15028402408504.0,1257091035839.0,1129845885720.0,569681867659.0,2.07,4.1,36.44,34.92,2.32
000905.SH,20250926,16867511083941.0,14815061586745.0,1257112383742.0,1129808136964.0,569540029114.0,1.87,3.71,35.95,34.45,2.29
000905.SH,20250925,17083047737756.0,14990723847632.0,1257110751665.0,1129168816375.0,569470829971.0,2.09,4.15,36.41,34.89,2.32
000905.SH,20250924,17053495583183.0,14973963643681.0,1257164360176.0,1129176632452.0,569503383557.0,2.13,4.22,36.34,34.83,2.31
000905.SH,20250923,16730538281532.0,14696347615282.0,1257150719810.0,1129162912586.0,569347814907.0,2.49,4.94,35.66,34.17,2.27
000905.SH,20250922,16849945705386.0,14787543294656.0,1257078997506.0,1129091688574.0,569347814907.0,2.05,4.07,35.91,34.42,2.29
000905.SH,20250919,16742174630502.0,14696869978655.0,1257078997175.0,1128958186499.0,569338921684.0,2.4,4.77,35.68,34.2,2.27
000905.SH,20250918,16804870340921.0,14747713091079.0,1257067430050.0,1128947421049.0,569315323714.0,3.09,6.12,35.81,34.33,2.28
000905.SH,20250917,16947548773442.0,14880484903664.0,1257067430050.0,1128947421049.0,569314823714.0,2.29,4.54,36.12,34.62,2.3
000905.SH,20250916,16803898288760.0,14729419661115.0,1257006516150.0,1128486483810.0,569231732163.0,2.15,4.26,35.81,34.32,2.28
000905.SH,20250915,16700373453745.0,14628656327869.0,1257006515755.0,1128486483415.0,569215221728.0,2.11,4.19,35.59,34.11,2.27
000905.SH,20250912,16697762820565.0,14664509781741.0,1256895436986.0,1128475583039.0,569067188043.0,2.36,4.68,35.59,34.11,2.26
000905.SH,20250911,16634859080906.0,14624753458461.0,1256918067502.0,1128498213555.0,569068028022.0,2.16,4.29,35.45,33.98,2.26
000905.SH,20250910,16243413206778.0,14259930002531.0,1256918046176.0,1128498192229.0,569112175909.0,1.68,3.34,34.62,33.18,2.2
000905.SH,20250909,16259344830299.0,14260184186677.0,1256918865461.0,1128289640541.0,569609039937.0,2.0,3.96,34.65,33.21,2.2
000905.SH,20250908,16374215258954.0,14352861359600.0,1256918865461.0,1128089463030.0,569583507126.0,2.16,4.29,34.9,33.45,2.22
000905.SH,20250905,16200567103849.0,14161982933342.0,1256922228557.0,1125885622631.0,569558491950.0,2.14,4.23,34.53,33.09,2.2
000905.SH,20250904,15712237918510.0,13741530394171.0,1255608626585.0,1125886468031.0,569599423540.0,2.4,4.75,33.49,32.09,2.13
000905.SH,20250903,16092411304172.0,14061662047507.0,1255653926285.0,1125931767731.0,569625023240.0,2.3,4.55,34.3,32.87,2.18
000905.SH,20250902,16314599096121.0,14257085946972.0,1255591652441.0,1124440922459.0,569578685696.0,2.62,5.16,34.77,33.32,2.21
000905.SH,20250901,16606171883375.0,14533765690938.0,1255934511752.0,1124783781770.0,569876709589.0,2.54,5.02,35.39,33.92,2.25
000905.SH,20250829,16430968300552.0,14408424477308.0,1256288480304.0,1124703169447.0,569902093477.0,2.5,4.93,35.02,33.33,2.24
000905.SH,20250828,16333508064727.0,14351478528528.0,1256288318845.0,1124647922082.0,570156460329.0,2.74,5.4,34.81,33.4,2.23
000905.SH,20250827,16014088940787.0,14066679721035.0,1256205943542.0,1124631061665.0,570263783146.0,2.92,5.75,34.13,32.73,2.19
000905.SH,20250826,16268715032549.0,14288535421119.0,1256204283005.0,1124608043417.0,570346523101.0,2.5,4.94,34.67,33.09,2.23
000905.SH,20250825,16259013599157.0,14272222656966.0,1256214282949.0,1124714196579.0,570422656133.0,2.97,5.85,34.65,33.13,2.24
000905.SH,20250822,15962648512936.0,14016806228373.0,1256214272391.0,1124767657946.0,570445856462.0,2.28,4.5,34.02,32.59,2.2
000905.SH,20250821,15698224079575.0,13790889002275.0,1256123138278.0,1124632867092.0,570421789962.0,2.16,4.25,33.46,32.02,2.17
000905.SH,20250820,15727815351436.0,13827531919026.0,1256075492696.0,1124633080237.0,570351269910.0,2.17,4.28,33.52,32.11,2.17
000905.SH,20250819,15560097139800.0,13682754809033.0,1256075499363.0,1124633062082.0,570199423472.0,2.25,4.43,33.16,31.78,2.15
000905.SH,20250818,15608754130778.0,13711109077080.0,1256050451601.0,1124570122475.0,569904620984.0,2.69,5.31,33.26,31.94,2.16
000905.SH,20250815,15387620477235.0,13504323781000.0,1256061117401.0,1123207228427.0,569915559091.0,2.18,4.3,32.79,31.57,2.13
000905.SH,20250814,15065020540650.0,13220422121776.0,1255013703851.0,1122136333727.0,568872345483.0,2.04,4.02,32.11,30.95,2.09
000905.SH,20250813,15247877213917.0,13380984687870.0,1254995652291.0,1122116017716.0,568850864472.0,1.93,3.8,32.5,31.33,2.11
000905.SH,20250812,15053553078571.0,13207779726672.0,1254995652291.0,1122115900326.0,568796851070.0,1.5,2.96,32.08,30.93,2.08
000905.SH,20250811,15000206219814.0,13161206604769.0,1255047126494.0,1122170789529.0,568850693932.0,1.56,3.07,31.97,30.82,2.08
000905.SH,20250808,14854454720853.0,13036681421629.0,1255047453274.0,1122166772609.0,568846677012.0,1.54,3.03,31.66,30.52,2.06
000905.SH,20250807,14886695929847.0,13053061398966.0,1255047335884.0,1122166172610.0,568802999222.0,1.52,3.0,31.73,30.58,2.06
000905.SH,20250806,14969940158463.0,13097570105157.0,1255155054594.0,1122166172459.0,568768166751.0,1.48,2.92,31.9,30.85,2.07
000905.SH,20250805,14854282334487.0,12988145737080.0,1255103999226.0,1122110176315.0,568708860507.0,1.37,2.71,31.66,30.61,2.06
000905.SH,20250804,14752786050583.0,12889725579542.0,1255117664284.0,1121950222828.0,568678018296.0,1.32,2.61,31.44,30.46,2.04
000905.SH,20250801,14640363507887.0,12798161271518.0,1254884270743.0,1121933545650.0,568631346757.0,1.48,2.92,31.2,30.25,2.03
000905.SH,20250731,14671085183644.0,12826901533231.0,1254881507178.0,1121930782085.0,568622590932.0,2.0,3.94,31.27,30.31,2.03
000905.SH,20250730,14893585073371.0,13024674222890.0,1254901555478.0,1121931730952.0,568629976627.0,1.89,3.73,31.74,30.78,2.06
000905.SH,20250729,14987058240865.0,13102631292323.0,1254929181053.0,1121931986207.0,568583822399.0,1.8,3.55,31.94,30.97,2.07
000905.SH,20250728,14900072498757.0,13032043860578.0,1254917960791.0,1121932734469.0,568550594868.0,1.91,3.77,31.75,30.79,2.06
000905.SH,20250725,14852516633005.0,12994047942817.0,1254917910191.0,1121731240887.0,568501972633.0,2.11,4.17,31.65,30.73,2.06
000905.SH,20250724,14862817915954.0,13000005027922.0,1254933319880.0,1121742394543.0,568512027174.0,2.39,4.72,31.68,30.76,2.06
000905.SH,20250723,14655226945856.0,12807791711616.0,1254934460202.0,1121611679251.0,568373603382.0,2.3,4.55,31.23,30.33,2.03
000905.SH,20250722,14690310871947.0,12840540999214.0,1254936340730.0,1121611098050.0,568373022181.0,2.2,4.33,31.31,30.4,2.03
000905.SH,20250721,14552380962747.0,12696203485797.0,1254923617781.0,1120952040626.0,568409341752.0,1.85,3.65,31.01,30.12,2.01
000905.SH,20250718,14417799464353.0,12556148773016.0,1254929211831.0,1120942724356.0,568420519746.0,1.37,2.69,30.73,29.85,1.99
000905.SH,20250717,14374373082487.0,12515936166175.0,1254929211710.0,1120942724235.0,568420519746.0,1.34,2.63,30.63,29.75,1.99
000905.SH,20250716,14219560333577.0,12388975196030.0,1254975837795.0,1120992836820.0,568489739352.0,1.33,2.61,30.3,29.43,1.97
000905.SH,20250715,14226358394033.0,12396876199066.0,1254974802495.0,1120991256920.0,568535046072.0,1.69,3.34,30.32,29.45,1.97
000905.SH,20250714,14229596320270.0,12419267928705.0,1255002340057.0,1121017202357.0,568560991509.0,1.69,3.33,30.33,29.47,1.97
000905.SH,20250711,14238892539483.0,12417464504554.0,1255002335057.0,1120885584390.0,568970143646.0,1.98,3.91,30.35,29.49,1.97
000905.SH,20250710,14139577941177.0,12331038295629.0,1255066922067.0,1120951035993.0,569017588767.0,1.57,3.1,30.13,29.28,1.95
000905.SH,20250709,14065409214166.0,12264786070565.0,1255030624531.0,1120945460142.0,569111817622.0,1.47,2.9,29.98,29.13,1.94
000905.SH,20250708,14108081783286.0,12305479608173.0,1255027166891.0,1120915212927.0,569405896468.0,1.5,2.96,30.07,29.22,1.95
000905.SH,20250707,13943993269549.0,12155202149324.0,1255027711071.0,1120754802244.0,568923890854.0,1.22,2.41,29.72,28.88,1.92
000905.SH,20250704,13951377441419.0,12158553959033.0,1254924129219.0,1120729767762.0,568901762352.0,1.47,2.9,29.73,28.89,1.93
000905.SH,20250703,13975074100886.0,12171482002248.0,1255008426056.0,1120728874281.0,569343336614.0,1.16,2.28,29.78,28.94,1.93
000905.SH,20250702,13913206113580.0,12119243364290.0,1254808852917.0,1120538834500.0,569449137047.0,1.45,2.85,29.65,28.81,1.92
000905.SH,20250701,14010984542079.0,12190743690468.0,1255102586483.0,1120820657129.0,569517552327.0,1.38,2.71,29.86,29.01,1.93
000905.SH,20250630,13948490686391.0,12143811598462.0,1255128305003.0,1120843460451.0,569355368354.0,1.48,2.92,29.73,28.88,1.92
