indiv_ind_ts_code,indiv_ind_trade_date,indiv_ind_close,indiv_ind_open,indiv_ind_high,indiv_ind_low,indiv_ind_pre_close,indiv_ind_change,indiv_ind_pct_chg,indiv_ind_vol,indiv_ind_amount
000905.SH,20251023,7142.9536,7108.8545,7153.6555,7022.2945,7128.4776,14.476,0.2031,188933732.0,286304409.856
000905.SH,20251022,7128.4776,7135.2084,7166.5571,7101.8265,7185.624,-57.1464,-0.7953,169743254.0,286200266.692
000905.SH,20251021,7185.624,7095.6159,7193.73,7082.2995,7069.6412,115.9828,1.6406,205973829.0,344991294.993
000905.SH,20251020,7069.6412,7092.8836,7129.9939,7033.3835,7016.0661,53.5751,0.7636,176834192.0,314675076.902
000905.SH,20251017,7016.0661,7226.4214,7254.5786,7009.8906,7231.5336,-215.4675,-2.9796,200044113.0,348113892.817
000905.SH,20251016,7231.5336,7269.2587,7305.9472,7206.4433,7294.0014,-62.4678,-0.8564,194936370.0,359837530.026
000905.SH,20251015,7294.0014,7205.7367,7294.0014,7153.4185,7194.8509,99.1505,1.3781,217559777.0,397458970.802
000905.SH,20251014,7194.8509,7434.1149,7459.0156,7166.0822,7376.5636,-181.7127,-2.4634,277358873.0,505838515.443
000905.SH,20251013,7376.5636,7135.104,7391.8246,7135.104,7398.2241,-21.6605,-0.2928,258027817.0,473285532.819
000905.SH,20251010,7398.2241,7499.3917,7509.1161,7373.9841,7548.9226,-150.6985,-1.9963,262256646.0,502127435.138
000905.SH,20251009,7548.9226,7470.0474,7559.092,7437.3242,7412.3684,136.5542,1.8422,283130784.0,535756806.832
000905.SH,20250930,7412.3684,7372.524,7428.0307,7372.0634,7350.5599,61.8085,0.8409,220707502.0,444956374.594
000905.SH,20250929,7350.5599,7251.5221,7377.2217,7216.7357,7240.9114,109.6485,1.5143,233539418.0,433864489.695
000905.SH,20250926,7240.9114,7311.8433,7351.7931,7237.0459,7341.3238,-100.4124,-1.3678,211444148.0,430197601.817
000905.SH,20250925,7341.3238,7325.6602,7379.6109,7312.3508,7323.7093,17.6145,0.2405,236175030.0,493046787.22
000905.SH,20250924,7323.7093,7140.3128,7327.0207,7133.4321,7180.7137,142.9956,1.9914,240064938.0,477262274.28
000905.SH,20250923,7180.7137,7240.8466,7250.8156,7045.5606,7225.1281,-44.4144,-0.6147,281283634.0,495068970.7
000905.SH,20250922,7225.1281,7182.8876,7225.8581,7143.0754,7170.3488,54.7793,0.764,231858069.0,421916002.389
000905.SH,20250919,7170.3488,7200.692,7231.9992,7142.061,7199.8828,-29.534,-0.4102,271507193.0,450654116.275
000905.SH,20250918,7199.8828,7248.2786,7350.9772,7115.6308,7260.0353,-60.1525,-0.8285,348589541.0,604238742.367
000905.SH,20250917,7260.0353,7184.2638,7265.3931,7159.6665,7190.9928,69.0425,0.9601,258264449.0,445549244.677
000905.SH,20250916,7190.9928,7152.1887,7195.4246,7080.427,7137.3627,53.6301,0.7514,242349183.0,435210189.394
000905.SH,20250915,7137.3627,7170.4123,7174.8905,7126.8293,7147.7489,-10.3862,-0.1453,238265724.0,441828732.8
000905.SH,20250912,7147.7489,7115.6102,7200.1556,7112.4216,7122.7051,25.0438,0.3516,266567508.0,499359865.7
000905.SH,20250911,7122.7051,6924.3036,7123.0523,6889.5863,6932.1092,190.5959,2.7495,243951061.0,469498304.003
000905.SH,20250910,6932.1092,6911.1119,6977.7671,6870.4039,6928.9651,3.1441,0.0454,189922867.0,359667340.648
000905.SH,20250909,6928.9651,6959.9373,6999.7308,6895.5091,6992.1169,-63.1518,-0.9032,225843557.0,394761613.186
000905.SH,20250908,6992.1169,6927.4071,6995.7178,6896.6601,6913.9532,78.1637,1.1305,244174304.0,455360584.114
000905.SH,20250905,6913.9532,6709.145,6919.336,6678.5997,6698.4474,215.5058,3.2173,240857457.0,431958521.7
000905.SH,20250904,6698.4474,6884.3577,6906.6919,6607.9849,6868.4615,-170.0141,-2.4753,270341894.0,471991424.482
000905.SH,20250903,6868.4615,6988.0205,7003.2681,6846.1814,6961.6894,-93.2279,-1.3392,259083266.0,449579909.559
000905.SH,20250902,6961.6894,7108.9446,7108.9446,6909.7234,7110.2882,-148.5988,-2.0899,294036539.0,541493734.529
000905.SH,20250901,7110.2882,7087.7337,7110.687,7038.3444,7043.9416,66.3466,0.9419,285908311.0,536161179.931
000905.SH,20250829,7043.9416,7030.2741,7078.923,6990.7532,7011.1602,32.7814,0.4676,280915814.0,523041433.985
000905.SH,20250828,7011.1602,6858.5028,7011.1602,6798.9335,6862.5624,148.5978,2.1653,308061786.0,563651749.091
000905.SH,20250827,6862.5624,6964.7697,7074.6302,6862.5624,6964.0653,-101.5029,-1.4575,328060183.0,583863938.867
000905.SH,20250826,6964.0653,6928.2862,7008.9627,6910.4055,6951.8955,12.1698,0.1751,281532382.0,490812217.441
000905.SH,20250825,6951.8955,6886.2682,6967.7963,6863.9322,6822.8469,129.0486,1.8914,333828945.0,574922701.237
000905.SH,20250822,6822.8469,6704.0297,6823.3626,6704.0297,6704.1657,118.6812,1.7703,256783820.0,446681185.869
000905.SH,20250821,6704.1657,6739.6899,6767.3225,6673.0608,6728.0692,-23.9035,-0.3553,242540164.0,404122614.403
000905.SH,20250820,6728.0692,6623.6138,6728.0692,6598.5506,6655.3105,72.7587,1.0932,244233907.0,409671381.116
000905.SH,20250819,6655.3105,6663.157,6707.1139,6631.1193,6668.1726,-12.8621,-0.1929,252839276.0,444629213.613
000905.SH,20250818,6668.1726,6612.9878,6709.7812,6580.4373,6568.57,99.6026,1.5164,302448229.0,491491240.868
000905.SH,20250815,6568.57,6417.3889,6570.4994,6417.3889,6429.8462,138.7238,2.1575,245217240.0,381378599.737
000905.SH,20250814,6429.8462,6509.2085,6519.7938,6411.9209,6508.0978,-78.2516,-1.2024,228953168.0,367959844.604
000905.SH,20250813,6508.0978,6422.7889,6514.4558,6422.2147,6418.1595,89.9383,1.4013,216022423.0,353506820.818
000905.SH,20250812,6418.1595,6392.4021,6418.1595,6360.1093,6391.7595,26.4,0.413,168351918.0,290495345.645
000905.SH,20250811,6391.7595,6335.4267,6404.8331,6335.4267,6323.4999,68.2596,1.0795,174909199.0,277034087.552
000905.SH,20250808,6323.4999,6324.1746,6351.3348,6308.1478,6337.5425,-14.0426,-0.2216,172507526.0,259175300.068
000905.SH,20250807,6337.5425,6356.3322,6366.2138,6299.4929,6357.3769,-19.8344,-0.312,170446400.0,274900586.379
000905.SH,20250806,6357.3769,6298.9291,6357.5899,6293.2247,6303.2359,54.141,0.8589,166027638.0,263770937.89
000905.SH,20250805,6303.2359,6277.0114,6303.2359,6272.5062,6261.7313,41.5046,0.6628,154206665.0,235654712.15
000905.SH,20250804,6261.7313,6190.3443,6261.9617,6187.6219,6213.2014,48.5299,0.7811,148591480.0,236649250.158
000905.SH,20250801,6213.2014,6221.0505,6253.6575,6177.4781,6226.3432,-13.1418,-0.2111,165907191.0,254479551.591
000905.SH,20250731,6226.3432,6297.9122,6322.0651,6206.1902,6314.6873,-88.3441,-1.399,224214237.0,322273638.102
000905.SH,20250730,6314.6873,6345.3737,6368.2693,6269.5128,6356.1327,-41.4454,-0.6521,212128411.0,304778465.292
000905.SH,20250729,6356.1327,6308.1228,6356.1497,6272.3139,6323.4198,32.7129,0.5173,201757629.0,292526917.596
000905.SH,20250728,6323.4198,6305.2247,6329.0304,6271.93,6299.5908,23.829,0.3783,214448267.0,305210098.011
000905.SH,20250725,6299.5908,6297.6255,6311.1687,6276.4156,6293.5984,5.9924,0.0952,237055328.0,304368073.044
000905.SH,20250724,6293.5984,6197.8532,6293.5984,6197.8532,6196.7577,96.8407,1.5628,268355564.0,320187942.646
