trade_date,macro_shibor_on,macro_shibor_1w,macro_shibor_2w,macro_shibor_1m,macro_shibor_3m,macro_shibor_6m,macro_shibor_9m,macro_shibor_1y,macro_gdp_gdp,macro_gdp_gdp_yoy,macro_gdp_pi,macro_gdp_pi_yoy,macro_gdp_si,macro_gdp_si_yoy,macro_gdp_ti,macro_gdp_ti_yoy,macro_cpi_nt_val,macro_cpi_nt_yoy,macro_cpi_nt_mom,macro_cpi_nt_accu,macro_cpi_town_val,macro_cpi_town_yoy,macro_cpi_town_mom,macro_cpi_town_accu,macro_cpi_cnt_val,macro_cpi_cnt_yoy,macro_cpi_cnt_mom,macro_cpi_cnt_accu,macro_ppi_ppi_yoy,macro_ppi_ppi_mp_yoy,macro_ppi_ppi_mp_qm_yoy,macro_ppi_ppi_mp_rm_yoy,macro_ppi_ppi_mp_p_yoy,macro_ppi_ppi_cg_yoy,macro_ppi_ppi_cg_f_yoy,macro_ppi_ppi_cg_c_yoy,macro_ppi_ppi_cg_adu_yoy,macro_ppi_ppi_cg_dcg_yoy,macro_ppi_ppi_mom,macro_ppi_ppi_mp_mom,macro_ppi_ppi_mp_qm_mom,macro_ppi_ppi_mp_rm_mom,macro_ppi_ppi_mp_p_mom,macro_ppi_ppi_cg_mom,macro_ppi_ppi_cg_f_mom,macro_ppi_ppi_cg_c_mom,macro_ppi_ppi_cg_adu_mom,macro_ppi_ppi_cg_dcg_mom,macro_ppi_ppi_accu,macro_ppi_ppi_mp_accu,macro_ppi_ppi_mp_qm_accu,macro_ppi_ppi_mp_rm_accu,macro_ppi_ppi_mp_p_accu,macro_ppi_ppi_cg_accu,macro_ppi_ppi_cg_f_accu,macro_ppi_ppi_cg_c_accu,macro_ppi_ppi_cg_adu_accu,macro_ppi_ppi_cg_dcg_accu,macro_m_m0,macro_m_m0_yoy,macro_m_m0_mom,macro_m_m1,macro_m_m1_yoy,macro_m_m1_mom,macro_m_m2,macro_m_m2_yoy,macro_m_m2_mom,macro_sf_inc_month,macro_sf_inc_cumval,macro_sf_stk_endval,macro_ust_y5,macro_ust_y7,macro_ust_y10,macro_ust_y20,macro_ust_y30,macro_im_spx_macro_im_ts_code,macro_im_spx_macro_im_open,macro_im_spx_macro_im_close,macro_im_spx_macro_im_high,macro_im_spx_macro_im_low,macro_im_spx_macro_im_pre_close,macro_im_spx_macro_im_change,macro_im_spx_macro_im_pct_chg,macro_im_spx_macro_im_swing,macro_im_spx_macro_im_vol,macro_im_hsi_macro_im_ts_code,macro_im_hsi_macro_im_open,macro_im_hsi_macro_im_close,macro_im_hsi_macro_im_high,macro_im_hsi_macro_im_low,macro_im_hsi_macro_im_pre_close,macro_im_hsi_macro_im_change,macro_im_hsi_macro_im_pct_chg,macro_im_hsi_macro_im_swing,macro_im_hsi_macro_im_vol
2023-09-25,1.694,2.005,2.812,2.229,2.282,2.32,2.374,2.416,593034.2,5.5,30416.2,3.7,230681.5,4.3,331936.5,6.4,100.1,0.1,0.3,100.5,100.2,0.2,0.2,100.5,99.8,-0.2,0.4,100.3,-3.0,-3.7,-9.9,-4.0,-3.1,-0.2,-0.2,1.0,0.6,-1.2,0.2,0.3,0.9,1.4,-0.2,0.1,0.6,-0.2,-0.3,-0.1,-3.2,-4.2,-8.1,-5.2,-3.4,0.3,0.9,1.5,0.6,-0.8,106515.36,9.5,0.36,679588.35,2.2,0.35,2869343.25,10.6,0.54,31279.0,252152.0,368.61,2.37,2.26,2.18,2.22,2.28,SPX,4310.62,4337.44,4338.51,4302.7,4320.06,17.38,0.4,0.83,1858119.0,HSI,18046.89,17729.29,18046.89,17722.49,18057.45,-328.16,-1.82,1.8,1552391.0
2023-09-26,1.741,1.969,3.035,2.26,2.294,2.335,2.386,2.432,593034.2,5.5,30416.2,3.7,230681.5,4.3,331936.5,6.4,100.1,0.1,0.3,100.5,100.2,0.2,0.2,100.5,99.8,-0.2,0.4,100.3,-3.0,-3.7,-9.9,-4.0,-3.1,-0.2,-0.2,1.0,0.6,-1.2,0.2,0.3,0.9,1.4,-0.2,0.1,0.6,-0.2,-0.3,-0.1,-3.2,-4.2,-8.1,-5.2,-3.4,0.3,0.9,1.5,0.6,-0.8,106515.36,9.5,0.36,679588.35,2.2,0.35,2869343.25,10.6,0.54,31279.0,252152.0,368.61,2.42,2.3,2.23,2.26,2.33,SPX,4312.88,4273.53,4313.01,4265.98,4337.44,-63.91,-1.47,1.08,2129442.0,HSI,17661.85,17466.9,17718.18,17379.44,17729.29,-262.39,-1.48,1.91,1909387.0
2023-09-27,1.706,1.848,3.112,2.278,2.303,2.353,2.399,2.44,593034.2,5.5,30416.2,3.7,230681.5,4.3,331936.5,6.4,100.1,0.1,0.3,100.5,100.2,0.2,0.2,100.5,99.8,-0.2,0.4,100.3,-3.0,-3.7,-9.9,-4.0,-3.1,-0.2,-0.2,1.0,0.6,-1.2,0.2,0.3,0.9,1.4,-0.2,0.1,0.6,-0.2,-0.3,-0.1,-3.2,-4.2,-8.1,-5.2,-3.4,0.3,0.9,1.5,0.6,-0.8,106515.36,9.5,0.36,679588.35,2.2,0.35,2869343.25,10.6,0.54,31279.0,252152.0,368.61,2.44,2.33,2.27,2.29,2.35,SPX,4282.63,4274.51,4292.07,4238.63,4273.53,0.98,0.02,1.25,2299297.0,HSI,17472.11,17611.87,17655.31,17472.11,17466.9,144.97,0.83,1.05,1571624.0
2023-09-28,2.155,2.195,3.231,2.285,2.302,2.356,2.402,2.446,593034.2,5.5,30416.2,3.7,230681.5,4.3,331936.5,6.4,100.1,0.1,0.3,100.5,100.2,0.2,0.2,100.5,99.8,-0.2,0.4,100.3,-3.0,-3.7,-9.9,-4.0,-3.1,-0.2,-0.2,1.0,0.6,-1.2,0.2,0.3,0.9,1.4,-0.2,0.1,0.6,-0.2,-0.3,-0.1,-3.2,-4.2,-8.1,-5.2,-3.4,0.3,0.9,1.5,0.6,-0.8,106515.36,9.5,0.36,679588.35,2.2,0.35,2869343.25,10.6,0.54,31279.0,252152.0,368.61,2.35,2.26,2.2,2.23,2.29,SPX,4269.65,4299.7,4317.27,4264.38,4274.51,25.19,0.59,1.24,2235764.0,HSI,17472.11,17611.87,17655.31,17472.11,17466.9,144.97,0.83,1.05,1571624.0
2023-10-09,1.73,1.801,1.802,2.236,2.3,2.357,2.402,2.447,913027.0,5.2,56374.0,4.0,353659.0,4.4,502993.0,6.0,100.0,0.0,0.2,100.4,100.1,0.1,0.2,100.5,99.7,-0.3,0.3,100.3,-2.5,-3.0,-7.4,-2.8,-2.8,-0.3,-0.3,0.8,0.7,-1.2,0.4,0.5,1.8,1.3,0.1,0.1,0.2,0.2,0.1,0.0,-3.1,-4.1,-8.0,-4.9,-3.4,0.3,0.7,1.5,0.6,-0.8,109253.22,10.7,2.57,678443.65,2.1,-0.17,2896659.11,10.3,0.95,41326.0,293478.0,372.5,2.58,2.51,2.47,2.49,2.54,SPX,4289.02,4335.66,4341.73,4283.79,4308.5,27.16,0.63,1.34,1991525.0,HSI,17500.37,17517.4,17633.19,17447.76,17485.98,31.42,0.18,1.06,1221298.0
2023-10-10,1.827,1.861,1.9,2.237,2.302,2.36,2.408,2.452,913027.0,5.2,56374.0,4.0,353659.0,4.4,502993.0,6.0,100.0,0.0,0.2,100.4,100.1,0.1,0.2,100.5,99.7,-0.3,0.3,100.3,-2.5,-3.0,-7.4,-2.8,-2.8,-0.3,-0.3,0.8,0.7,-1.2,0.4,0.5,1.8,1.3,0.1,0.1,0.2,0.2,0.1,0.0,-3.1,-4.1,-8.0,-4.9,-3.4,0.3,0.7,1.5,0.6,-0.8,109253.22,10.7,2.57,678443.65,2.1,-0.17,2896659.11,10.3,0.95,41326.0,293478.0,372.5,2.44,2.38,2.34,2.38,2.43,SPX,4339.75,4358.24,4385.46,4339.64,4335.66,22.58,0.52,1.06,2160881.0,HSI,17726.63,17664.73,17916.62,17638.01,17517.4,147.33,0.84,1.59,1596847.0
2023-10-11,1.864,1.895,1.965,2.236,2.304,2.364,2.416,2.457,913027.0,5.2,56374.0,4.0,353659.0,4.4,502993.0,6.0,100.0,0.0,0.2,100.4,100.1,0.1,0.2,100.5,99.7,-0.3,0.3,100.3,-2.5,-3.0,-7.4,-2.8,-2.8,-0.3,-0.3,0.8,0.7,-1.2,0.4,0.5,1.8,1.3,0.1,0.1,0.2,0.2,0.1,0.0,-3.1,-4.1,-8.0,-4.9,-3.4,0.3,0.7,1.5,0.6,-0.8,109253.22,10.7,2.57,678443.65,2.1,-0.17,2896659.11,10.3,0.95,41326.0,293478.0,372.5,2.39,2.31,2.26,2.29,2.34,SPX,4366.59,4376.95,4378.64,4345.34,4358.24,18.71,0.43,0.76,2115648.0,HSI,17956.83,17893.1,18022.45,17889.71,17664.73,228.37,1.29,0.75,2029134.0
2023-10-12,1.81,1.889,2.057,2.234,2.305,2.368,2.423,2.463,913027.0,5.2,56374.0,4.0,353659.0,4.4,502993.0,6.0,100.0,0.0,0.2,100.4,100.1,0.1,0.2,100.5,99.7,-0.3,0.3,100.3,-2.5,-3.0,-7.4,-2.8,-2.8,-0.3,-0.3,0.8,0.7,-1.2,0.4,0.5,1.8,1.3,0.1,0.1,0.2,0.2,0.1,0.0,-3.1,-4.1,-8.0,-4.9,-3.4,0.3,0.7,1.5,0.6,-0.8,109253.22,10.7,2.57,678443.65,2.1,-0.17,2896659.11,10.3,0.95,41326.0,293478.0,372.5,2.46,2.4,2.36,2.41,2.46,SPX,4380.94,4349.61,4385.85,4325.43,4376.95,-27.34,-0.62,1.38,2344769.0,HSI,18258.26,18238.21,18290.91,18175.35,17893.1,345.11,1.93,0.65,3861575.0
2023-10-13,1.741,1.893,1.994,2.229,2.308,2.38,2.428,2.466,913027.0,5.2,56374.0,4.0,353659.0,4.4,502993.0,6.0,100.0,0.0,0.2,100.4,100.1,0.1,0.2,100.5,99.7,-0.3,0.3,100.3,-2.5,-3.0,-7.4,-2.8,-2.8,-0.3,-0.3,0.8,0.7,-1.2,0.4,0.5,1.8,1.3,0.1,0.1,0.2,0.2,0.1,0.0,-3.1,-4.1,-8.0,-4.9,-3.4,0.3,0.7,1.5,0.6,-0.8,109253.22,10.7,2.57,678443.65,2.1,-0.17,2896659.11,10.3,0.95,41326.0,293478.0,372.5,2.39,2.32,2.29,2.33,2.38,SPX,4360.49,4327.78,4377.1,4311.97,4349.61,-21.83,-0.5,1.5,2302663.0,HSI,17946.77,17813.45,18013.67,17776.95,18238.21,-424.76,-2.33,1.3,2139651.0
2023-10-16,1.722,1.793,1.882,2.223,2.309,2.387,2.432,2.474,913027.0,5.2,56374.0,4.0,353659.0,4.4,502993.0,6.0,100.0,0.0,0.2,100.4,100.1,0.1,0.2,100.5,99.7,-0.3,0.3,100.3,-2.5,-3.0,-7.4,-2.8,-2.8,-0.3,-0.3,0.8,0.7,-1.2,0.4,0.5,1.8,1.3,0.1,0.1,0.2,0.2,0.1,0.0,-3.1,-4.1,-8.0,-4.9,-3.4,0.3,0.7,1.5,0.6,-0.8,109253.22,10.7,2.57,678443.65,2.1,-0.17,2896659.11,10.3,0.95,41326.0,293478.0,372.5,2.42,2.37,2.33,2.38,2.44,SPX,4342.37,4373.63,4383.33,4342.37,4327.78,45.85,1.06,0.95,2124400.0,HSI,17803.31,17640.36,17858.18,17601.5,17813.45,-173.09,-0.97,1.44,1904582.0
