trade_date,market_din_sh_ts_code,market_din_sh_trade_date,market_din_sh_total_mv,market_din_sh_float_mv,market_din_sh_total_share,market_din_sh_float_share,market_din_sh_free_share,market_din_sh_turnover_rate,market_din_sh_turnover_rate_f,market_din_sh_pe,market_din_sh_pe_ttm,market_din_sh_pb,market_din_sz_ts_code,market_din_sz_trade_date,market_din_sz_total_mv,market_din_sz_float_mv,market_din_sz_total_share,market_din_sz_float_share,market_din_sz_free_share,market_din_sz_turnover_rate,market_din_sz_turnover_rate_f,market_din_sz_pe,market_din_sz_pe_ttm,market_din_sz_pb,market_flow_trade_date,market_flow_net_amount,market_flow_net_amount_rate,market_flow_buy_elg_amount,market_flow_buy_elg_amount_rate,market_flow_buy_lg_amount,market_flow_buy_lg_amount_rate,market_flow_buy_md_amount,market_flow_buy_md_amount_rate,market_flow_buy_sm_amount,market_flow_buy_sm_amount_rate,market_margin_sh_rzye,market_margin_sh_rzmre,market_margin_sh_rzche,market_margin_sh_rqye,market_margin_sh_rqmcl,market_margin_sh_rzrqye,market_margin_sh_rqyl,market_margin_sz_rzye,market_margin_sz_rzmre,market_margin_sz_rzche,market_margin_sz_rqye,market_margin_sz_rqmcl,market_margin_sz_rzrqye,market_margin_sz_rqyl
2023-09-25,000001.SH,20230925,56124333394253.0,42867686831976.0,5632461320453.0,4401233046065.0,1789527039757.0,0.56,1.38,12.98,13.1,1.3,399001.SZ,20230925,20591463009225.0,17297787688663.0,1285323923151.0,1113744112516.0,643758792126.0,0.81,1.39,21.79,22.24,2.27,20230925,-24762854912.0,-3.45,-11760023040.0,-1.64,-13002831872.0,-1.81,4338552832.0,0.6,20424306688.0,2.84,802975697974.0,27936536825.0,26559450253.0,55776964564.0,528474182.0,858752662538.0,7133084506.0,721479140010.0,29598533805.0,27447108414.0,31729507760.0,196942443.0,753208647770.0,3116146689.0
2023-09-26,000001.SH,20230926,55886162635812.0,42714771163684.0,5636256094453.0,4403889502819.0,1791031473680.0,0.48,1.19,12.93,13.04,1.29,399001.SZ,20230926,20460401571632.0,17191144859796.0,1285323805330.0,1113744172996.0,643654949545.0,0.68,1.17,21.65,22.1,2.25,20230926,-16167088384.0,-2.43,-6000710144.0,-0.9,-10166378240.0,-1.53,-591441920.0,-0.09,16758534144.0,2.52,802938147537.0,25141302430.0,25172853510.0,54825088132.0,485045777.0,857763235669.0,6971845444.0,721361929012.0,26429705694.0,26537869592.0,31603398691.0,170623655.0,752965327703.0,3101826355.0
2023-09-27,000001.SH,20230927,55956841419667.0,42773257557602.0,5636783141931.0,4404135096662.0,1791135226295.0,0.52,1.29,12.94,13.06,1.29,399001.SZ,20230927,20536287741786.0,17252393712890.0,1285326422030.0,1113744472996.0,643655249545.0,0.77,1.34,21.73,22.18,2.26,20230927,-5217602560.0,-0.73,34398208.0,0.0,-5252000768.0,-0.73,-6789443584.0,-0.95,12007051264.0,1.68,803746732205.0,28066670412.0,27254358130.0,53691091197.0,429570391.0,857437823402.0,6608977158.0,722525761628.0,29821895797.0,28642209946.0,31034215106.0,161455301.0,753559976734.0,3023941531.0
2023-09-28,000001.SH,20230928,56030813619502.0,42814359684867.0,5636875591796.0,4405030459089.0,1791314557568.0,0.52,1.27,12.96,13.07,1.29,399001.SZ,20230928,20542896288556.0,17261341927946.0,1285326859070.0,1113765253982.0,643671290195.0,0.8,1.38,21.73,22.19,2.26,20230928,-9243399936.0,-1.29,-2143087104.0,-0.3,-7100312832.0,-0.99,-1803546624.0,-0.25,11046940672.0,1.54,795595784222.0,25070351348.0,33214820226.0,51567951384.0,222699275.0,847163735606.0,6064997165.0,713836495924.0,27270572194.0,35983368877.0,29651840515.0,100746957.0,743488336439.0,2856141750.0
2023-10-09,000001.SH,20231009,55870496127330.0,42662906295159.0,5639128382307.0,4407785341405.0,1793692897371.0,0.58,1.43,12.92,13.04,1.29,399001.SZ,20231009,20533788555526.0,17247015897521.0,1285344910973.0,1113701290013.0,643898274128.0,0.9,1.55,21.72,22.18,2.26,20231009,-9805998592.0,-1.27,-2965766400.0,-0.39,-6840232192.0,-0.89,2254397440.0,0.29,7551598592.0,0.98,801690693064.0,31026807036.0,24925645165.0,52167693557.0,638175528.0,853858386621.0,6406245441.0,719661924007.0,35927399416.0,30069585261.0,30184450430.0,179717331.0,749846374437.0,2914661669.0
2023-10-10,000001.SH,20231010,55474256316657.0,42379268077281.0,5639650798610.0,4408566803618.0,1794066546368.0,0.56,1.38,12.83,12.94,1.28,399001.SZ,20231010,20409598036373.0,17156058075551.0,1285362561428.0,1113607245731.0,643713907621.0,0.81,1.41,21.59,22.04,2.25,20231010,-19493089280.0,-2.52,-6879053312.0,-0.89,-12614035968.0,-1.63,616042496.0,0.08,18877050880.0,2.44,804714607611.0,28987732976.0,25961564848.0,52654038692.0,570177585.0,857368646303.0,6527426661.0,723005140414.0,34707849779.0,31357157445.0,30789359241.0,185326280.0,753794499655.0,2972145574.0
2023-10-11,000001.SH,20231011,55579292839789.0,42421099436430.0,5639808480182.0,4408590671185.0,1794046649342.0,0.57,1.4,12.85,12.97,1.28,399001.SZ,20231011,20459983378235.0,17202593344231.0,1285360434065.0,1113802703264.0,643909365154.0,0.91,1.58,21.65,22.1,2.25,20231011,-6733737216.0,-0.8,2023273216.0,0.24,-8757010432.0,-1.04,-3473584128.0,-0.41,10207313920.0,1.22,805880232519.0,27426197596.0,26256649294.0,53688341916.0,541318738.0,859568574435.0,6604904635.0,726897275450.0,38506884794.0,34670642413.0,31635921087.0,218185030.0,758533196537.0,3038518974.0
2023-10-12,000001.SH,20231012,56153904629412.0,42836123338167.0,5641405808378.0,4410359794127.0,1794594916259.0,0.6,1.49,12.98,13.1,1.29,399001.SZ,20231012,20647350999806.0,17345823401533.0,1285360434065.0,1113802703264.0,643907954054.0,1.04,1.8,21.84,22.3,2.27,20231012,-5614431232.0,-0.68,1886290944.0,0.23,-7500722176.0,-0.9,-2815795200.0,-0.34,8430227456.0,1.01,807184297945.0,30949713639.0,29987492615.0,55577268925.0,634947327.0,862761566870.0,6729549837.0,729716576150.0,38210540522.0,35370150880.0,32327088971.0,192445673.0,762043665121.0,3064211854.0
2023-10-13,000001.SH,20231013,55939348121254.0,42569566390369.0,5641568112320.0,4410440785265.0,1794652224912.0,0.56,1.37,12.93,13.05,1.29,399001.SZ,20231013,20442438570735.0,17177034216349.0,1285368849515.0,1113874648764.0,643909962989.0,0.94,1.63,21.63,22.08,2.25,20231013,-28803404032.0,-3.56,-11369761280.0,-1.41,-17433642752.0,-2.16,2154430464.0,0.27,26648965120.0,3.3,806592107132.0,29329088805.0,29919404655.0,55268601453.0,522298111.0,861860708585.0,6624999039.0,728856361421.0,36235432994.0,37081828667.0,32331171080.0,171787736.0,761187532501.0,3087483199.0
2023-10-16,000001.SH,20231016,55725471070352.0,42395356353837.0,5641590047754.0,4410491853613.0,1794668084668.0,0.58,1.42,12.88,12.99,1.28,399001.SZ,20231016,20179477787243.0,16952099290146.0,1285369347076.0,1113893731131.0,643929045356.0,0.95,1.63,21.35,21.8,2.22,20231016,-35479095040.0,-4.36,-15968566016.0,-1.96,-19510529024.0,-2.4,4724441088.0,0.58,30754652160.0,3.78,808650956659.0,30015373918.0,27951557056.0,54786990061.0,753050945.0,863437946720.0,6761954222.0,731080629500.0,35744828600.0,34188140917.0,31816567194.0,185889671.0,762897196694.0,3071748248.0
