market_din_ts_code,market_din_trade_date,market_din_total_mv,market_din_float_mv,market_din_total_share,market_din_float_share,market_din_free_share,market_din_turnover_rate,market_din_turnover_rate_f,market_din_pe,market_din_pe_ttm,market_din_pb
000001.SH,20251023,74941410831803.0,59168963383432.0,5836393028905.0,4692181044562.0,1805564674685.0,1.19,3.08,16.98,16.85,1.51
000001.SH,20251022,74742050736476.0,59037643118402.0,5836058515463.0,4691889900358.0,1805328974064.0,1.14,2.97,16.93,16.81,1.51
000001.SH,20251021,74694872114475.0,59070467071515.0,5835987253455.0,4691794038589.0,1805168931943.0,1.26,3.28,16.92,16.79,1.51
000001.SH,20251020,73796006840967.0,58279021333281.0,5836031917467.0,4691854627205.0,1805212717299.0,1.16,3.0,16.72,16.59,1.49
000001.SH,20251017,73340808935751.0,57886361004956.0,5835624479200.0,4691167698852.0,1803936906906.0,1.3,3.37,16.62,16.51,1.48
000001.SH,20251016,74683205785558.0,59023031285080.0,5834400209440.0,4690602779340.0,1803237620097.0,1.26,3.27,16.92,16.82,1.51
000001.SH,20251015,74492796410648.0,58956878081890.0,5834393723064.0,4690598844200.0,1803046424087.0,1.36,3.54,16.88,16.78,1.51
000001.SH,20251014,73663313522304.0,58234591353138.0,5834396792807.0,4690293318201.0,1802865048204.0,1.69,4.4,16.69,16.59,1.49
000001.SH,20251013,74001181160698.0,58575519448902.0,5833892135491.0,4689862110170.0,1802748119831.0,1.5,3.89,16.76,16.67,1.5
000001.SH,20251010,74088953135358.0,58696019984696.0,5835680949169.0,4691187604793.0,1803757258405.0,1.52,3.94,16.79,16.69,1.5
000001.SH,20251009,74728811256692.0,59200949821148.0,5834588129214.0,4689974974796.0,1802623458980.0,1.53,3.98,16.93,16.83,1.51
000001.SH,20250930,73797721274411.0,58403323662362.0,5834501412633.0,4689381577209.0,1802462553166.0,1.2,3.13,16.72,16.62,1.49
000001.SH,20250929,73434572771061.0,58102697014368.0,5833816711672.0,4689217417053.0,1802293739207.0,1.28,3.34,16.64,16.54,1.48
000001.SH,20250926,72832157347350.0,57543234632555.0,5833677563009.0,4685088338925.0,1800948978212.0,1.16,3.02,16.5,16.41,1.47
000001.SH,20250925,73277660710521.0,57905402561709.0,5833676692761.0,4684105277360.0,1800902724877.0,1.24,3.23,16.6,16.51,1.48
000001.SH,20250924,73282892200416.0,57907809599689.0,5833677286615.0,4684105455174.0,1800905248354.0,1.27,3.3,16.6,16.51,1.48
000001.SH,20250923,72718453105263.0,57444028876728.0,5832916977772.0,4683721335648.0,1800526000342.0,1.48,3.85,16.48,16.38,1.47
000001.SH,20250922,72722286596226.0,57540603005032.0,5832904296178.0,4683592046026.0,1800525492963.0,1.2,3.12,16.48,16.38,1.47
000001.SH,20250919,72641831652133.0,57403887549405.0,5832830907607.0,4683512741596.0,1800595424618.0,1.44,3.74,16.46,16.37,1.47
000001.SH,20250918,72797743732749.0,57568325749616.0,5832831755906.0,4683157439295.0,1799984311391.0,1.85,4.8,16.5,16.4,1.47
000001.SH,20250917,73705028139585.0,58236648596191.0,5832830524423.0,4682806935749.0,1799866157174.0,1.39,3.62,16.7,16.61,1.49
000001.SH,20250916,73415348161912.0,58031064813725.0,5832834585674.0,4682745108490.0,1799831423161.0,1.42,3.7,16.64,16.54,1.48
000001.SH,20250915,73421885470558.0,57898536674571.0,5832680671797.0,4679536556651.0,1796585623091.0,1.36,3.55,16.64,16.54,1.49
000001.SH,20250912,73564584100054.0,58020109497119.0,5829721818478.0,4676460470886.0,1793931315975.0,1.48,3.85,16.68,16.58,1.49
000001.SH,20250911,73574470574959.0,58094752541420.0,5826650927472.0,4676442453689.0,1794059019436.0,1.3,3.39,16.68,16.59,1.49
000001.SH,20250910,72499430406360.0,57153373685137.0,5826633392697.0,4676350927750.0,1793751391213.0,1.12,2.93,16.44,16.34,1.47
000001.SH,20250909,72353113956355.0,57065120770745.0,5826408523581.0,4676051710039.0,1793932825713.0,1.26,3.29,16.4,16.31,1.46
000001.SH,20250908,72740469515990.0,57320904221952.0,5826355607627.0,4675385131472.0,1793596006081.0,1.39,3.63,16.49,16.4,1.47
000001.SH,20250905,72497434599305.0,57048301366146.0,5826360290100.0,4672568536126.0,1793514225095.0,1.32,3.44,16.44,16.34,1.47
000001.SH,20250904,71890749294422.0,56469640970085.0,5847902602145.0,4695363421345.0,1804732221639.0,1.49,3.88,16.29,16.2,1.45
000001.SH,20250903,72703963215371.0,57172535453249.0,5847811166891.0,4695321230845.0,1804632726061.0,1.35,3.51,16.48,16.38,1.47
000001.SH,20250902,73518329745489.0,57954356034946.0,5847945347571.0,4707171750750.0,1817876096357.0,1.59,4.13,16.66,16.56,1.48
000001.SH,20250901,73641755845611.0,58191867416461.0,5848271627553.0,4707462446793.0,1805372822545.0,1.56,4.07,16.69,16.59,1.49
000001.SH,20250829,73380811871797.0,57947468374750.0,5848566604061.0,4707327536026.0,1804932677821.0,1.54,4.02,16.63,16.56,1.5
000001.SH,20250828,73108486471369.0,57719905605394.0,5848586675428.0,4707366855585.0,1805532943265.0,1.64,4.29,16.57,16.57,1.49
000001.SH,20250827,72284401460004.0,57075477936890.0,5848383170444.0,4707148307880.0,1805787992111.0,1.79,4.65,16.38,16.29,1.48
000001.SH,20250826,73551779463406.0,58089681656529.0,5848433948265.0,4707196306643.0,1805811651169.0,1.53,3.99,16.67,16.57,1.51
000001.SH,20250825,73848087552282.0,58306243539723.0,5847592395507.0,4707009270865.0,1805743131262.0,1.85,4.81,16.74,16.63,1.51
000001.SH,20250822,72851064438077.0,57419693677885.0,5847579804085.0,4706364807161.0,1805568010481.0,1.46,3.81,16.51,16.41,1.49
000001.SH,20250821,71867925472349.0,56577880976019.0,5847477668095.0,4706140175782.0,1805825832736.0,1.44,3.76,16.29,16.16,1.48
000001.SH,20250820,71702353958883.0,56503935309057.0,5847441685843.0,4706140148194.0,1805594849593.0,1.42,3.71,16.25,16.13,1.47
000001.SH,20250819,70994728417800.0,55921669847401.0,5847427058674.0,4706079555041.0,1805529054069.0,1.45,3.79,16.09,15.97,1.46
000001.SH,20250818,71085076103758.0,55929376956441.0,5847418595389.0,4705992522212.0,1805160116911.0,1.62,4.22,16.11,15.98,1.46
000001.SH,20250815,70583300561021.0,55441149775102.0,5847416998265.0,4704246715661.0,1805102179694.0,1.41,3.69,16.0,15.88,1.45
000001.SH,20250814,70119969497707.0,54982785383729.0,5846176278974.0,4702930874041.0,1803879964989.0,1.35,3.52,15.89,15.78,1.44
000001.SH,20250813,70374517434167.0,55218386470428.0,5845832812787.0,4702743412762.0,1803596833242.0,1.28,3.35,15.95,15.84,1.45
000001.SH,20250812,70142429424780.0,54965565402846.0,5845794590889.0,4702703620563.0,1803667968022.0,1.12,2.92,15.9,15.79,1.44
000001.SH,20250811,69779755603291.0,54489427502547.0,5845845445985.0,4701317100249.0,1811500688633.0,1.15,2.99,15.82,15.7,1.43
000001.SH,20250808,69684775732094.0,54314894638403.0,5845241641145.0,4700426217972.0,1811061573833.0,1.1,2.85,15.79,15.69,1.42
000001.SH,20250807,69768280187929.0,54374723498869.0,5845113071594.0,4700365737868.0,1810879298736.0,1.12,2.9,15.81,15.72,1.44
000001.SH,20250806,69697452331246.0,54288754850595.0,5845120640692.0,4700356684159.0,1810922970605.0,1.07,2.77,15.8,15.72,1.43
000001.SH,20250805,69448054069709.0,54039359080796.0,5844989378959.0,4700324199833.0,1810867495575.0,1.04,2.71,15.74,15.67,1.43
000001.SH,20250804,68777144728807.0,53520222248358.0,5844995919591.0,4699999060893.0,1810991658001.0,0.96,2.49,15.59,15.52,1.41
000001.SH,20250801,68322835021845.0,53174772225844.0,5844728323001.0,4699787437361.0,1811000996143.0,1.07,2.77,15.49,15.42,1.41
