market_din_ts_code,market_din_trade_date,market_din_total_mv,market_din_float_mv,market_din_total_share,market_din_float_share,market_din_free_share,market_din_turnover_rate,market_din_turnover_rate_f,market_din_pe,market_din_pe_ttm,market_din_pb
399001.SZ,20251023,27102708154471.0,23494824169293.0,1311216471705.0,1162158182410.0,659119443340.0,1.57,2.76,32.53,30.54,2.69
399001.SZ,20251022,27028201666100.0,23432922483183.0,1311055277737.0,1162132068642.0,659027195861.0,1.39,2.45,32.44,30.47,2.68
399001.SZ,20251021,27194981437692.0,23562526209939.0,1311050936813.0,1162060512754.0,658896083164.0,1.66,2.92,32.64,30.54,2.7
399001.SZ,20251020,26719417895007.0,23131962802160.0,1311055528495.0,1162064830636.0,658471673115.0,1.6,2.83,32.07,30.22,2.66
399001.SZ,20251017,26508154712221.0,22940604778248.0,1311049158638.0,1161046624657.0,658231656322.0,1.92,3.38,31.82,30.02,2.64
399001.SZ,20251016,27294464738399.0,23616114226514.0,1311042195734.0,1161031546142.0,658216577807.0,1.83,3.24,32.76,30.92,2.72
399001.SZ,20251015,27370805001911.0,23688152600934.0,1311041460757.0,1160838807378.0,657977267544.0,2.0,3.53,32.85,31.01,2.72
399001.SZ,20251014,26955504000881.0,23318549254035.0,1311018361254.0,1160823890290.0,657977267544.0,2.57,4.53,32.36,30.53,2.68
399001.SZ,20251013,27555457754779.0,23850932700592.0,1311030588746.0,1160836117782.0,657974355013.0,2.4,4.23,33.08,31.21,2.74
399001.SZ,20251010,27818892143152.0,24081500207256.0,1311030454354.0,1160338134085.0,657970715716.0,2.55,4.5,33.39,31.51,2.77
399001.SZ,20251009,28488130669169.0,24670997224136.0,1310719590124.0,1160098050435.0,657763446193.0,2.79,4.93,34.2,32.27,2.83
399001.SZ,20250930,28061443067908.0,24292594489758.0,1310720442525.0,1159843052870.0,657738349681.0,2.18,3.85,33.68,31.79,2.79
399001.SZ,20250929,27941460127960.0,24195158336177.0,1310729117882.0,1159838922170.0,657723545837.0,2.26,3.99,33.54,31.65,2.78
399001.SZ,20250926,27415551038320.0,23730894407182.0,1310709140863.0,1159819092691.0,657674551804.0,2.09,3.69,32.91,31.06,2.73
399001.SZ,20250925,27834357385718.0,24108104676536.0,1310707525409.0,1159700805858.0,657530616017.0,2.34,4.12,33.41,31.53,2.77
399001.SZ,20250924,27685682119868.0,23981250043955.0,1310706615498.0,1159717177468.0,657571721736.0,2.28,4.02,33.23,31.36,2.75
399001.SZ,20250923,27233502457031.0,23589178691088.0,1310589696368.0,1159599769293.0,656966071660.0,2.46,4.34,32.69,30.85,2.71
399001.SZ,20250922,27343872338675.0,23665406202487.0,1310311555808.0,1159321628733.0,656966071660.0,2.12,3.74,32.82,30.98,2.72
