macro_im_ts_code,macro_im_open,macro_im_close,macro_im_high,macro_im_low,macro_im_pre_close,macro_im_change,macro_im_pct_chg,macro_im_swing,macro_im_vol,trade_date
HSI,25718.53,25967.98,26080.84,25591.66,25781.77,186.21,0.72,1.9,3104045.0,20251023
HSI,25897.62,25781.77,25947.88,25653.75,26027.55,-245.78,-0.94,1.13,2830306.0,20251022
HSI,26160.24,26027.55,26367.35,26017.72,25858.83,168.72,0.65,1.35,3064990.0,20251021
HSI,25884.46,25858.83,25912.77,25710.61,25247.1,611.73,2.42,0.8,2901618.0,20251020
HSI,25851.94,25247.1,25859.82,25145.34,25888.51,-641.41,-2.48,2.76,4008381.0,20251017
HSI,25890.01,25888.51,26062.8,25687.32,25910.6,-22.09,-0.09,1.45,3380914.0,20251016
HSI,25714.89,25910.6,25982.21,25593.45,25441.35,469.25,1.84,1.53,3503926.0,20251015
HSI,25969.21,25441.35,26102.68,25331.64,25889.48,-448.13,-1.73,2.98,4753204.0,20251014
HSI,25634.0,25889.48,25895.62,25336.09,26290.32,-400.84,-1.52,2.13,5172795.0,20251013
HSI,26523.89,26290.32,26558.87,26247.04,26752.59,-462.27,-1.73,1.17,3432031.0,20251010
HSI,26862.03,26752.59,26978.41,26480.58,26829.46,-76.87,-0.29,1.86,4013938.0,20251009
HSI,26900.64,26829.46,26906.2,26517.45,26957.77,-128.31,-0.48,1.44,2105709.0,20251008
HSI,27003.92,26957.77,27145.17,26873.34,27140.92,-183.15,-0.67,1.0,1131615.0,20251006
HSI,27221.46,27140.92,27262.0,26972.71,27287.12,-146.2,-0.54,1.06,1391965.0,20251003
HSI,26918.3,27287.12,27381.84,26918.3,26855.56,431.56,1.61,1.73,2324595.0,20251002
HSI,26674.16,26855.56,26888.4,26558.28,26622.88,232.68,0.87,1.24,3501944.0,20250930
HSI,26321.57,26622.88,26687.72,26321.57,26128.2,494.68,1.89,1.4,3502823.0,20250929
HSI,26272.3,26128.2,26406.05,26072.93,26484.68,-356.48,-1.35,1.26,3440579.0,20250926
HSI,26536.13,26484.68,26640.53,26403.52,26518.65,-33.97,-0.13,0.89,3687012.0,20250925
HSI,26073.69,26518.65,26562.88,26057.26,26159.12,359.53,1.37,1.93,3023222.0,20250924
HSI,26435.58,26159.12,26454.09,26003.67,26344.14,-185.02,-0.7,1.71,3124549.0,20250923
HSI,26459.52,26344.14,26479.14,26204.01,26545.1,-200.96,-0.76,1.04,3298426.0,20250922
HSI,26583.03,26545.1,26637.64,26414.11,26544.85,0.25,0.0,0.84,4165886.0,20250919
HSI,26863.69,26544.85,27058.03,26322.08,26908.39,-363.54,-1.35,2.74,4114162.0,20250918
HSI,26554.19,26908.39,26936.5,26540.57,26438.51,469.88,1.78,1.5,3700815.0,20250917
HSI,26536.63,26438.51,26601.59,26332.21,26446.56,-8.05,-0.03,1.02,2882501.0,20250916
HSI,26308.91,26446.56,26532.75,26280.23,26388.16,58.4,0.22,0.96,2857680.0,20250915
HSI,26539.44,26388.16,26585.95,26329.66,26086.32,301.84,1.16,0.98,3332482.0,20250912
HSI,25987.49,26086.32,26241.46,25878.97,26200.26,-113.94,-0.43,1.38,3992481.0,20250911
HSI,26042.41,26200.26,26296.6,26017.5,25938.13,262.13,1.01,1.08,3793202.0,20250910
HSI,25711.07,25938.13,26027.94,25675.28,25633.91,304.22,1.19,1.38,3632723.0,20250909
HSI,25440.01,25633.91,25664.01,25387.81,25417.98,215.93,0.85,1.09,3654970.0,20250908
HSI,25136.24,25417.98,25471.8,25090.65,25058.51,359.47,1.43,1.52,3739376.0,20250905
HSI,25489.13,25058.51,25494.45,25013.26,25343.43,-284.92,-1.12,1.9,3630344.0,20250904
HSI,25660.65,25343.43,25789.99,25276.87,25496.55,-153.12,-0.6,2.01,3186159.0,20250903
HSI,25587.97,25496.55,25724.73,25416.61,25617.42,-120.87,-0.47,1.2,3811082.0,20250902
HSI,25508.21,25617.42,25638.34,25471.35,25077.62,539.8,2.15,0.67,4316834.0,20250901
HSI,25095.45,25077.62,25277.51,25066.85,24998.82,78.8,0.32,0.84,3818121.0,20250829
HSI,25030.54,24998.82,25093.65,24808.78,25201.76,-202.94,-0.81,1.13,4178767.0,20250828
HSI,25626.17,25201.76,25653.92,25140.17,25524.92,-323.16,-1.27,2.01,3871176.0,20250827
HSI,25714.91,25524.92,25819.7,25524.92,25829.91,-304.99,-1.18,1.14,3635352.0,20250826
HSI,25606.88,25829.91,25918.86,25590.62,25339.14,490.77,1.94,1.3,4143325.0,20250825
HSI,25205.04,25339.14,25349.08,25140.08,25104.61,234.53,0.93,0.83,3359402.0,20250822
HSI,25216.42,25104.61,25216.42,25000.85,25165.94,-61.33,-0.24,0.86,2860987.0,20250821
HSI,24968.57,25165.94,25210.9,24887.93,25122.9,43.04,0.17,1.29,2984164.0,20250820
HSI,25241.29,25122.9,25260.58,25083.2,25176.85,-53.95,-0.21,0.7,3195514.0,20250819
HSI,25293.34,25176.85,25466.1,25176.85,25270.07,-93.22,-0.37,1.14,3720533.0,20250818
HSI,25322.1,25270.07,25356.54,25167.81,25519.32,-249.25,-0.98,0.74,4157897.0,20250815
HSI,25766.62,25519.32,25766.62,25449.8,25613.67,-94.35,-0.37,1.24,3329980.0,20250814
HSI,25176.52,25613.67,25613.67,25176.52,24969.68,643.99,2.58,1.75,3271695.0,20250813
HSI,24824.07,24969.68,25016.29,24801.13,24906.81,62.87,0.25,0.86,2368600.0,20250812
HSI,24946.55,24906.81,24969.3,24775.73,24858.82,47.99,0.19,0.78,2525235.0,20250811
HSI,24968.31,24858.82,24999.11,24812.12,25081.63,-222.81,-0.89,0.75,2487390.0,20250808
HSI,24982.5,25081.63,25115.16,24820.6,24910.63,171.0,0.69,1.18,2937826.0,20250807
HSI,24864.15,24910.63,25002.97,24806.46,24902.53,8.1,0.03,0.79,2449816.0,20250806
HSI,24746.81,24902.53,24925.9,24686.85,24733.45,169.08,0.68,0.97,3058047.0,20250805
HSI,24431.88,24733.45,24748.76,24372.51,24507.81,225.64,0.92,1.54,2851319.0,20250804
HSI,24744.34,24507.81,24856.54,24507.63,24773.33,-265.52,-1.07,1.41,3765292.0,20250801
HSI,24982.87,24773.33,25000.06,24744.92,25176.93,-403.6,-1.6,1.01,4186419.0,20250731
HSI,25335.21,25176.93,25499.57,25082.2,25524.45,-347.52,-1.36,1.64,4667585.0,20250730
HSI,25454.83,25524.45,25530.42,25252.32,25562.13,-37.68,-0.15,1.09,3744981.0,20250729
HSI,25458.87,25562.13,25667.4,25399.36,25388.35,173.78,0.68,1.06,3425359.0,20250728
HSI,25531.59,25388.35,25585.73,25355.31,25667.18,-278.83,-1.09,0.9,3406347.0,20250725
HSI,25528.22,25667.18,25735.89,25502.49,25538.07,129.11,0.51,0.91,3595688.0,20250724
HSI,25348.3,25538.07,25538.07,25228.01,25130.03,408.04,1.62,1.23,4139833.0,20250723
HSI,25024.93,25130.03,25130.03,24900.59,24994.14,135.89,0.54,0.92,3822402.0,20250722
HSI,24991.14,24994.14,25010.9,24844.8,24825.66,168.48,0.68,0.67,3608989.0,20250721
HSI,24757.83,24825.66,24825.66,24630.79,24498.95,326.71,1.33,0.8,2904192.0,20250718
HSI,24547.08,24498.95,24672.51,24447.93,24517.76,-18.81,-0.08,0.92,3208346.0,20250717
HSI,24704.05,24517.76,24867.81,24517.75,24590.12,-72.36,-0.29,1.42,3381733.0,20250716
HSI,24281.94,24590.12,24590.12,24141.88,24203.32,386.8,1.6,1.85,3774894.0,20250715
HSI,24100.57,24203.32,24267.84,24097.32,24139.57,63.75,0.26,0.71,2730322.0,20250714
HSI,24033.12,24139.57,24506.3,24033.12,24028.37,111.2,0.46,1.97,4142013.0,20250711
HSI,23865.64,24028.37,24087.59,23820.58,23892.32,136.05,0.57,1.12,3501147.0,20250710
HSI,24061.08,23892.32,24061.08,23827.15,24148.07,-255.75,-1.06,0.97,3197624.0,20250709
HSI,23927.53,24148.07,24159.01,23899.6,23887.83,260.24,1.09,1.09,3039866.0,20250708
HSI,23828.85,23887.83,23910.95,23713.78,23916.06,-28.23,-0.12,0.82,2516509.0,20250707
HSI,23900.69,23916.06,24068.51,23690.94,24069.94,-153.88,-0.64,1.57,4021196.0,20250704
HSI,24234.28,24069.94,24269.14,23920.0,24221.41,-151.47,-0.63,1.44,3594907.0,20250703
HSI,24304.31,24221.41,24372.7,24122.57,24072.28,149.13,0.62,1.04,4061334.0,20250702
HSI,24274.91,24072.28,24274.91,24064.26,24284.15,-211.87,-0.87,0.87,3775880.0,20250630
HSI,24451.19,24284.15,24471.53,24194.85,24325.4,-41.25,-0.17,1.14,4341564.0,20250627
HSI,24345.29,24325.4,24411.48,24235.54,24474.67,-149.27,-0.61,0.72,3258467.0,20250626
HSI,24327.82,24474.67,24533.39,24287.86,24177.07,297.6,1.23,1.02,3724327.0,20250625
HSI,23832.73,24177.07,24229.21,23832.73,23689.13,487.94,2.06,1.67,3995666.0,20250624
HSI,23335.51,23689.13,23689.13,23272.75,23530.48,158.65,0.67,1.77,3225940.0,20250623
HSI,23291.4,23530.48,23538.63,23291.4,23237.74,292.74,1.26,1.06,4801510.0,20250620
HSI,23620.02,23237.74,23653.55,23185.58,23710.69,-472.95,-1.99,1.97,3871863.0,20250619
HSI,23859.55,23710.69,23880.24,23631.48,23980.3,-269.61,-1.12,1.04,3264301.0,20250618
HSI,24107.34,23980.3,24131.44,23880.67,24060.99,-80.69,-0.34,1.04,3374247.0,20250617
HSI,23791.79,24060.99,24125.05,23718.72,23892.56,168.43,0.7,1.7,3825923.0,20250616
HSI,23959.81,23892.56,24100.32,23774.92,24035.38,-142.82,-0.59,1.35,4926029.0,20250613
HSI,24223.12,24035.38,24288.76,24002.42,24366.94,-331.56,-1.36,1.18,4328662.0,20250612
HSI,24191.32,24366.94,24439.35,24179.35,24162.87,204.07,0.84,1.08,3703332.0,20250611
HSI,24231.31,24162.87,24296.47,24003.38,24181.43,-18.56,-0.08,1.21,3685221.0,20250610
HSI,23977.54,24181.43,24181.43,23957.96,23792.54,388.89,1.63,0.94,3987156.0,20250609
HSI,23941.57,23792.54,23951.14,23773.36,23906.97,-114.43,-0.48,0.74,4376668.0,20250606
HSI,23828.69,23906.97,23911.14,23732.31,23654.03,252.94,1.07,0.76,3272646.0,20250605
HSI,23499.78,23654.03,23716.93,23481.46,23512.49,141.54,0.6,1.0,3498684.0,20250604
HSI,23281.1,23512.49,23535.37,23281.1,23157.97,354.52,1.53,1.1,3676274.0,20250603
HSI,23043.1,23157.97,23163.35,22668.35,23289.77,-131.8,-0.57,2.13,2309330.0,20250602
HSI,23339.64,23289.77,23375.34,23163.22,23573.38,-283.61,-1.2,0.9,5293510.0,20250530
HSI,23240.71,23573.38,23603.82,23207.37,23258.31,315.07,1.35,1.7,3711280.0,20250529
HSI,23385.18,23258.31,23476.22,23180.17,23381.99,-123.68,-0.53,1.27,2874681.0,20250528
HSI,23216.87,23381.99,23419.55,23167.56,23282.33,99.66,0.43,1.08,3081428.0,20250527
HSI,23505.9,23282.33,23571.02,23234.27,23601.26,-318.93,-1.35,1.43,3381835.0,20250526
HSI,23557.38,23601.26,23749.38,23487.4,23544.31,56.95,0.24,1.11,3348650.0,20250523
