macro_im_ts_code,macro_im_open,macro_im_close,macro_im_high,macro_im_low,macro_im_pre_close,macro_im_change,macro_im_pct_chg,macro_im_swing,macro_im_vol,trade_date
SPX,6703.65,6738.44,6749.53,6700.14,6699.4,39.04,0.58,0.74,3317281.0,20251023
SPX,6741.34,6699.4,6741.75,6655.69,6735.35,-35.95,-0.53,1.28,3407490.0,20251022
SPX,6736.75,6735.35,6752.16,6722.03,6735.13,0.22,0.0,0.45,3124256.0,20251021
SPX,6690.05,6735.13,6744.35,6690.05,6664.01,71.12,1.07,0.81,2653125.0,20251020
SPX,6613.27,6664.01,6678.88,6603.76,6629.07,34.94,0.53,1.13,3130835.0,20251017
SPX,6689.02,6629.07,6709.34,6593.99,6671.06,-41.99,-0.63,1.73,3301840.0,20251016
SPX,6688.27,6671.06,6724.12,6612.11,6644.31,26.75,0.4,1.69,2936923.0,20251015
SPX,6602.49,6644.31,6680.7,6555.07,6654.72,-10.41,-0.16,1.89,2971655.0,20251014
SPX,6622.53,6654.72,6668.68,6620.71,6552.51,102.21,1.56,0.73,2695691.0,20251013
SPX,6740.49,6552.51,6762.4,6550.78,6735.11,-182.6,-2.71,3.14,3530625.0,20251010
SPX,6760.5,6735.11,6764.58,6716.17,6753.72,-18.61,-0.28,0.72,2800768.0,20251009
SPX,6723.87,6753.72,6755.64,6718.09,6714.59,39.13,0.58,0.56,2876408.0,20251008
SPX,6746.14,6714.59,6754.49,6699.96,6740.28,-25.69,-0.38,0.81,3033658.0,20251007
SPX,6733.86,6740.28,6749.52,6717.78,6715.79,24.49,0.36,0.47,3240663.0,20251006
SPX,6722.14,6715.79,6750.87,6705.67,6715.35,0.44,0.01,0.67,2900595.0,20251003
SPX,6731.31,6715.35,6731.94,6693.23,6711.2,4.15,0.06,0.58,3026790.0,20251002
SPX,6664.92,6711.2,6718.48,6656.2,6688.46,22.74,0.34,0.93,3495588.0,20251001
SPX,6656.19,6688.46,6691.25,6641.0,6661.21,27.25,0.41,0.75,3519970.0,20250930
SPX,6661.58,6661.21,6677.31,6644.49,6643.7,17.51,0.26,0.49,3188290.0,20250929
SPX,6615.38,6643.7,6648.97,6604.43,6604.72,38.98,0.59,0.67,2909116.0,20250926
SPX,6608.19,6604.72,6619.0,6569.22,6637.97,-33.25,-0.5,0.75,3297853.0,20250925
SPX,6669.79,6637.97,6672.66,6621.76,6656.92,-18.95,-0.28,0.76,2973055.0,20250924
SPX,6692.44,6656.92,6699.52,6645.58,6693.75,-36.83,-0.55,0.81,3104179.0,20250923
SPX,6654.28,6693.75,6698.88,6648.07,6664.36,29.39,0.44,0.76,3275039.0,20250922
SPX,6626.85,6631.96,6656.8,6611.89,6600.35,31.61,0.48,0.68,3473903.0,20250918
SPX,6604.87,6600.35,6624.39,6551.15,6606.76,-6.41,-0.1,1.11,3024891.0,20250917
SPX,6624.13,6606.76,6626.99,6600.11,6615.28,-8.52,-0.13,0.41,2888764.0,20250916
SPX,6603.49,6615.28,6619.62,6602.07,6584.29,30.99,0.47,0.27,2902054.0,20250915
SPX,6590.66,6584.29,6600.21,6579.49,6587.47,-3.18,-0.05,0.31,2978174.0,20250912
SPX,6554.41,6587.47,6592.89,6545.8,6532.04,55.43,0.85,0.72,3242831.0,20250911
SPX,6550.29,6532.04,6555.97,6516.34,6512.61,19.43,0.3,0.61,3160981.0,20250910
SPX,6503.33,6512.61,6518.23,6483.08,6495.15,17.46,0.27,0.54,2652338.0,20250909
SPX,6498.09,6495.15,6508.67,6483.29,6481.5,13.65,0.21,0.39,2993596.0,20250908
SPX,6529.08,6481.5,6532.65,6443.98,6502.08,-20.58,-0.32,1.36,3160634.0,20250905
SPX,6456.6,6502.08,6502.54,6445.98,6448.26,53.82,0.83,0.88,2722880.0,20250904
SPX,6445.82,6448.26,6453.67,6416.17,6415.54,32.72,0.51,0.58,2768763.0,20250903
