month,macro_sf_inc_month,macro_sf_inc_cumval,macro_sf_stk_endval
202509,35296.0,300851.0,437.08
202508,25660.0,265555.0,433.65
202507,11307.0,239895.0,431.25
202506,42251.0,228588.0,430.24
202505,22899.0,186336.0,426.16
202504,11599.0,163437.0,424.0
202503,58961.0,151838.0,422.97
202502,22331.0,92877.0,417.29
202501,70546.0,70546.0,415.19
202412,28537.0,322558.0,408.34
202411,23288.0,294051.0,405.6
202410,14120.0,270763.0,403.45
202409,37635.0,256643.0,402.19
202408,30323.0,219008.0,398.56
202407,7707.0,188685.0,395.72
202406,32985.0,180978.0,395.1
202405,20623.0,147993.0,391.93
202404,-658.0,127370.0,389.93
202403,48335.0,128028.0,390.32
202402,14959.0,79693.0,385.71
202401,64734.0,64734.0,384.32
202312,19326.0,355799.0,378.08
202311,24554.0,336473.0,376.39
202310,18441.0,311919.0,374.17
202309,41326.0,293478.0,372.5
202308,31279.0,252152.0,368.61
202307,5366.0,220873.0,365.77
202306,42265.0,215507.0,365.45
202305,15560.0,173242.0,361.42
202304,12249.0,157682.0,359.95
202303,53867.0,145433.0,359.02
