macro_ust_trade_date,macro_ust_y5,macro_ust_y7,macro_ust_y10,macro_ust_y20,macro_ust_y30
20251023,1.19,1.45,1.71,2.15,2.36
20251022,1.24,1.46,1.68,2.11,2.34
20251021,1.26,1.47,1.7,2.12,2.35
20251020,1.3,1.52,1.74,2.16,2.39
20251017,1.3,1.52,1.75,2.18,2.4
20251016,1.26,1.48,1.71,2.14,2.37
20251015,1.3,1.53,1.76,2.19,2.42
20251014,1.27,1.5,1.73,2.17,2.4
20251010,1.3,1.52,1.75,2.18,2.41
20251009,1.35,1.57,1.8,2.24,2.47
20251008,1.33,1.55,1.78,2.23,2.46
20251007,1.32,1.55,1.79,2.24,2.47
20251006,1.37,1.6,1.84,2.28,2.52
20251003,1.34,1.56,1.8,2.24,2.48
20251002,1.3,1.52,1.76,2.22,2.46
20251001,1.29,1.53,1.77,2.23,2.48
20250930,1.32,1.55,1.8,2.25,2.49
20250929,1.33,1.56,1.8,2.24,2.47
20250926,1.34,1.57,1.82,2.27,2.51
20250925,1.33,1.55,1.8,2.25,2.49
20250924,1.28,1.52,1.78,2.24,2.49
20250923,1.26,1.5,1.75,2.22,2.47
20250922,1.29,1.53,1.78,2.25,2.5
20250919,1.25,1.49,1.75,2.22,2.47
20250918,1.23,1.47,1.73,2.2,2.46
20250917,1.19,1.43,1.68,2.15,2.4
20250916,1.17,1.41,1.67,2.15,2.4
20250915,1.2,1.43,1.68,2.16,2.42
20250912,1.21,1.45,1.7,2.17,2.43
20250911,1.18,1.41,1.67,2.15,2.41
20250910,1.18,1.43,1.69,2.19,2.46
20250909,1.18,1.44,1.72,2.22,2.48
20250908,1.16,1.43,1.7,2.2,2.46
20250905,1.17,1.44,1.73,2.25,2.52
20250904,1.21,1.49,1.79,2.31,2.59
20250903,1.23,1.52,1.82,2.34,2.61
20250902,1.26,1.57,1.87,2.4,2.67
20250829,1.21,1.51,1.82,2.35,2.62
20250828,1.2,1.5,1.81,2.33,2.6
20250827,1.19,1.5,1.81,2.34,2.61
20250826,1.25,1.54,1.84,2.34,2.6
20250825,1.31,1.59,1.87,2.35,2.6
20250822,1.28,1.56,1.85,2.34,2.59
20250821,1.42,1.67,1.94,2.41,2.65
20250820,1.41,1.67,1.94,2.4,2.64
20250819,1.43,1.68,1.95,2.4,2.64
20250818,1.44,1.7,1.96,2.42,2.67
20250815,1.43,1.68,1.95,2.41,2.65
20250814,1.39,1.64,1.9,2.36,2.6
20250813,1.35,1.6,1.87,2.33,2.57
20250812,1.4,1.65,1.91,2.37,2.61
20250811,1.37,1.61,1.87,2.33,2.57
20250808,1.38,1.62,1.88,2.33,2.57
20250807,1.38,1.62,1.88,2.33,2.56
20250806,1.37,1.62,1.88,2.33,2.57
20250805,1.36,1.61,1.86,2.31,2.54
20250804,1.34,1.59,1.85,2.31,2.55
20250801,1.39,1.64,1.9,2.34,2.58
20250731,1.5,1.74,1.98,2.4,2.62
20250730,1.48,1.71,1.96,2.38,2.6
20250729,1.42,1.66,1.91,2.34,2.56
20250728,1.49,1.73,1.98,2.41,2.63
20250725,1.48,1.71,1.96,2.38,2.6
20250724,1.48,1.73,1.98,2.4,2.62
20250723,1.5,1.77,2.03,2.44,2.64
20250722,1.41,1.7,1.96,2.38,2.59
20250721,1.42,1.72,1.98,2.4,2.6
20250718,1.46,1.76,2.03,2.45,2.65
20250717,1.48,1.77,2.04,2.45,2.64
20250716,1.5,1.79,2.05,2.46,2.66
20250715,1.57,1.84,2.09,2.48,2.67
20250714,1.53,1.8,2.04,2.44,2.64
20250711,1.55,1.82,2.06,2.45,2.64
20250710,1.54,1.79,2.01,2.39,2.57
20250709,1.54,1.78,2.01,2.39,2.58
20250708,1.6,1.84,2.07,2.45,2.63
20250707,1.56,1.81,2.05,2.43,2.62
20250703,1.57,1.8,2.02,2.39,2.57
20250702,1.53,1.77,2.0,2.36,2.54
20250701,1.52,1.75,1.97,2.33,2.52
20250630,1.48,1.72,1.95,2.32,2.51
20250627,1.52,1.77,2.0,2.38,2.57
20250626,1.5,1.75,1.98,2.36,2.55
20250625,1.55,1.78,2.01,2.38,2.56
20250624,1.56,1.79,2.01,2.38,2.57
20250623,1.58,1.81,2.04,2.41,2.59
20250620,1.59,1.83,2.05,2.41,2.59
20250618,1.62,1.86,2.07,2.42,2.6
20250617,1.64,1.86,2.08,2.42,2.59
20250616,1.72,1.95,2.16,2.5,2.67
20250613,1.71,1.92,2.13,2.47,2.64
20250612,1.69,1.9,2.11,2.43,2.6
20250611,1.72,1.94,2.14,2.48,2.65
20250610,1.76,1.98,2.18,2.5,2.66
20250609,1.75,1.97,2.18,2.51,2.67
20250606,1.78,2.0,2.2,2.52,2.68
20250605,1.68,1.9,2.11,2.45,2.61
20250604,1.61,1.84,2.06,2.42,2.6
20250603,1.66,1.91,2.14,2.5,2.68
20250602,1.63,1.89,2.13,2.5,2.68
20250530,1.57,1.83,2.07,2.43,2.61
20250529,1.62,1.87,2.11,2.46,2.63
20250528,1.66,1.92,2.15,2.5,2.67
20250527,1.63,1.88,2.11,2.47,2.65
20250523,1.68,1.94,2.18,2.55,2.73
20250522,1.69,1.96,2.2,2.56,2.73
20250521,1.72,1.99,2.23,2.58,2.75
20250520,1.65,1.9,2.13,2.48,2.65
20250519,1.64,1.88,2.1,2.44,2.6
20250516,1.64,1.87,2.09,2.43,2.59
20250515,1.66,1.89,2.11,2.45,2.61
20250514,1.73,1.95,2.16,2.49,2.65
20250513,1.74,1.96,2.17,2.49,2.65
20250512,1.74,1.95,2.16,2.48,2.64
20250509,1.61,1.85,2.08,2.43,2.6
20250508,1.61,1.86,2.08,2.43,2.59
20250507,1.54,1.78,2.01,2.37,2.54
20250506,1.56,1.81,2.04,2.39,2.56
20250505,1.62,1.86,2.08,2.42,2.58
20250502,1.61,1.84,2.06,2.4,2.56
20250501,1.51,1.76,2.0,2.36,2.53
20250430,1.43,1.7,1.94,2.3,2.47
20250429,1.48,1.73,1.96,2.3,2.46
20250428,1.49,1.75,1.98,2.34,2.5
20250425,1.56,1.8,2.02,2.36,2.53
20250424,1.56,1.8,2.02,2.36,2.52
20250423,1.67,1.9,2.11,2.43,2.58
20250422,1.68,1.92,2.14,2.47,2.63
20250421,1.72,1.97,2.2,2.53,2.68
20250417,1.69,1.9,2.11,2.43,2.59
20250416,1.62,1.9,2.12,2.44,2.6
20250415,1.67,1.94,2.16,2.48,2.63
20250414,1.67,1.93,2.15,2.46,2.6
20250411,1.82,2.08,2.28,2.56,2.68
20250410,1.72,1.99,2.21,2.53,2.68
20250409,1.61,1.87,2.07,2.36,2.5
20250408,1.53,1.82,2.04,2.37,2.52
20250407,1.51,1.76,1.96,2.27,2.42
20250404,1.38,1.63,1.83,2.14,2.28
20250403,1.25,1.54,1.78,2.14,2.31
20250402,1.44,1.68,1.88,2.18,2.32
20250401,1.37,1.63,1.84,2.15,2.3
20250331,1.35,1.62,1.85,2.17,2.32
20250328,1.4,1.68,1.9,2.22,2.37
20250327,1.49,1.77,1.99,2.3,2.44
20250326,1.52,1.78,1.98,2.27,2.41
20250325,1.51,1.76,1.96,2.25,2.39
20250324,1.55,1.79,1.98,2.27,2.4
20250321,1.49,1.73,1.92,2.21,2.35
20250320,1.5,1.74,1.93,2.19,2.31
20250319,1.53,1.76,1.94,2.2,2.32
20250318,1.61,1.82,1.99,2.24,2.35
20250317,1.63,1.85,2.02,2.26,2.37
20250314,1.61,1.83,2.01,2.27,2.38
20250313,1.54,1.79,1.98,2.24,2.36
20250312,1.56,1.8,1.99,2.26,2.37
20250311,1.53,1.78,1.97,2.24,2.35
20250310,1.49,1.72,1.91,2.19,2.31
