trade_date,indiv_d_ts_code,indiv_d_trade_date,indiv_d_open,indiv_d_high,indiv_d_low,indiv_d_close,indiv_d_pre_close,indiv_d_change,indiv_d_pct_chg,indiv_d_vol,indiv_d_amount,indiv_din_close,indiv_din_turnover_rate,indiv_din_turnover_rate_f,indiv_din_volume_ratio,indiv_din_pe,indiv_din_pe_ttm,indiv_din_pb,indiv_din_ps,indiv_din_ps_ttm,indiv_din_dv_ratio,indiv_din_dv_ttm,indiv_din_total_share,indiv_din_float_share,indiv_din_free_share,indiv_din_total_mv,indiv_din_circ_mv,indiv_fin_ann_date,indiv_fin_end_date,indiv_fin_eps,indiv_fin_dt_eps,indiv_fin_total_revenue_ps,indiv_fin_revenue_ps,indiv_fin_capital_rese_ps,indiv_fin_surplus_rese_ps,indiv_fin_undist_profit_ps,indiv_fin_extra_item,indiv_fin_profit_dedt,indiv_fin_gross_margin,indiv_fin_current_ratio,indiv_fin_quick_ratio,indiv_fin_cash_ratio,indiv_fin_ar_turn,indiv_fin_ca_turn,indiv_fin_fa_turn,indiv_fin_assets_turn,indiv_fin_op_income,indiv_fin_ebit,indiv_fin_ebitda,indiv_fin_fcff,indiv_fin_fcfe,indiv_fin_current_exint,indiv_fin_noncurrent_exint,indiv_fin_interestdebt,indiv_fin_netdebt,indiv_fin_tangible_asset,indiv_fin_working_capital,indiv_fin_networking_capital,indiv_fin_invest_capital,indiv_fin_retained_earnings,indiv_fin_diluted2_eps,indiv_fin_bps,indiv_fin_ocfps,indiv_fin_retainedps,indiv_fin_cfps,indiv_fin_ebit_ps,indiv_fin_fcff_ps,indiv_fin_fcfe_ps,indiv_fin_netprofit_margin,indiv_fin_grossprofit_margin,indiv_fin_cogs_of_sales,indiv_fin_expense_of_sales,indiv_fin_profit_to_gr,indiv_fin_saleexp_to_gr,indiv_fin_adminexp_of_gr,indiv_fin_finaexp_of_gr,indiv_fin_impai_ttm,indiv_fin_gc_of_gr,indiv_fin_op_of_gr,indiv_fin_ebit_of_gr,indiv_fin_roe,indiv_fin_roe_waa,indiv_fin_roe_dt,indiv_fin_roa,indiv_fin_npta,indiv_fin_roic,indiv_fin_roe_yearly,indiv_fin_roa2_yearly,indiv_fin_debt_to_assets,indiv_fin_assets_to_eqt,indiv_fin_dp_assets_to_eqt,indiv_fin_ca_to_assets,indiv_fin_nca_to_assets,indiv_fin_tbassets_to_totalassets,indiv_fin_int_to_talcap,indiv_fin_eqt_to_talcapital,indiv_fin_currentdebt_to_debt,indiv_fin_longdeb_to_debt,indiv_fin_ocf_to_shortdebt,indiv_fin_debt_to_eqt,indiv_fin_eqt_to_debt,indiv_fin_eqt_to_interestdebt,indiv_fin_tangibleasset_to_debt,indiv_fin_tangasset_to_intdebt,indiv_fin_tangibleasset_to_netdebt,indiv_fin_ocf_to_debt,indiv_fin_turn_days,indiv_fin_roa_yearly,indiv_fin_roa_dp,indiv_fin_fixed_assets,indiv_fin_profit_to_op,indiv_fin_q_saleexp_to_gr,indiv_fin_q_gc_to_gr,indiv_fin_q_roe,indiv_fin_q_dt_roe,indiv_fin_q_npta,indiv_fin_q_ocf_to_sales,indiv_fin_basic_eps_yoy,indiv_fin_dt_eps_yoy,indiv_fin_cfps_yoy,indiv_fin_op_yoy,indiv_fin_ebt_yoy,indiv_fin_netprofit_yoy,indiv_fin_dt_netprofit_yoy,indiv_fin_ocf_yoy,indiv_fin_roe_yoy,indiv_fin_bps_yoy,indiv_fin_assets_yoy,indiv_fin_eqt_yoy,indiv_fin_tr_yoy,indiv_fin_or_yoy,indiv_fin_q_sales_yoy,indiv_fin_q_op_qoq,indiv_fin_equity_yoy,indiv_sh_ann_date,indiv_sh_end_date,indiv_sh_holder_num,indiv_chip_his_low,indiv_chip_his_high,indiv_chip_cost_5pct,indiv_chip_cost_15pct,indiv_chip_cost_50pct,indiv_chip_cost_85pct,indiv_chip_cost_95pct,indiv_chip_weight_avg,indiv_chip_winner_rate,indiv_techin_close,indiv_techin_open,indiv_techin_high,indiv_techin_low,indiv_techin_pre_close,indiv_techin_change,indiv_techin_pct_change,indiv_techin_vol,indiv_techin_amount,indiv_techin_adj_factor,indiv_techin_open_hfq,indiv_techin_open_qfq,indiv_techin_close_hfq,indiv_techin_close_qfq,indiv_techin_high_hfq,indiv_techin_high_qfq,indiv_techin_low_hfq,indiv_techin_low_qfq,indiv_techin_pre_close_hfq,indiv_techin_pre_close_qfq,indiv_techin_macd_dif,indiv_techin_macd_dea,indiv_techin_macd,indiv_techin_kdj_k,indiv_techin_kdj_d,indiv_techin_kdj_j,indiv_techin_rsi_6,indiv_techin_rsi_12,indiv_techin_rsi_24,indiv_techin_boll_upper,indiv_techin_boll_mid,indiv_techin_boll_lower,indiv_techin_cci,indiv_margin_rzye,indiv_margin_rqye,indiv_margin_rzmre,indiv_margin_rqyl,indiv_margin_rzche,indiv_margin_rqchl,indiv_margin_rqmcl,indiv_margin_rzrqye
2023-09-25,002594.SZ,20230925,253.0,253.15,250.46,251.94,251.18,0.7599999999999909,0.3,64786.8,1592828.38,245.8,0.5562,0.7887,0.8,43.0477,29.8382,5.9797,1.6874,1.3411,0.0427,0.4646,291114.2855,116476.4604,82140.1884,71555891.3759,28629913.9663,20230829,20230630,3.77,3.77,89.3546,89.3546,21.3888,2.3491,16.6851,1259290000.0,9694855000.0,47672587000.0,0.6589,0.4437,0.3566,5.9195,1.0265,1.6622,0.4795,11120202000.0,13209247000.0,31334407000.0,22755625951.7152,28201708951.7152,384447629000.0,46429322000.0,29855300000.0,-49955963000.0,81388728000.0,-137682467000.0,-198251758000.0,160256456000.0,55411393000.0,3.7628,41.106,28.1577,19.0342,9.634,4.5375,7.8167,9.6875,4.3978,18.3269,81.6731,11.6823,4.3978,4.1665,7.9398,-0.424,-0.348,95.725,5.2787,5.0781,9.4967,9.36,8.4049,2.4349,2.1087,7.3991,18.9934,4.8698,77.9405,4.5332,4.7032,44.9995,55.0005,13.7683,18.6297,74.6713,87.6191,12.3809,0.2031,3.5332,0.2597,4.0082,0.1767,2.7261,,0.1779,108.6281,4.2174,2.0192,232778312000.0,5.1514,4.4228,95.0858,5.8018,5.2114,1.2422,48.2352,204.0323,204.0323,89.8135,197.0779,188.6992,204.6814,220.02,89.8133,145.977,7.7783,19.6964,7.7783,72.7169,72.7169,67.0412,59.1491,23.8658,20230829,20230630,331551,4.0,116.8,76.0,78.4,81.6,87.2,89.6,82.79,25.43,245.8,246.83,246.98,244.35,245.05,0.75,0.3061,64786.8,1592828.38,1.025,253.00075,80.32025,251.945,79.98508,253.1545,80.36906,250.45875,79.51324,251.17625,79.74102,-0.488,-0.523,0.069,36.123,35.663,37.044,51.253,48.783,47.246,82.57,80.489,78.408,-17.989,8979233876.0,147845996.0,116235417.0,601489.0,89167505.0,41200.0,47000.0,9127079872.0
2023-09-26,002594.SZ,20230926,251.12,251.12,244.26,244.46,251.94,-7.47999999999999,-2.97,118462.63,2846103.7,238.5,1.0171,1.4422,1.59,41.7693,28.952,5.8021,1.6373,1.3012,0.044,0.4788,291114.2855,116476.4604,82140.1884,69430757.0918,27779635.8054,20230829,20230630,3.77,3.77,89.3546,89.3546,21.3888,2.3491,16.6851,1259290000.0,9694855000.0,47672587000.0,0.6589,0.4437,0.3566,5.9195,1.0265,1.6622,0.4795,11120202000.0,13209247000.0,31334407000.0,22755625951.7152,28201708951.7152,384447629000.0,46429322000.0,29855300000.0,-49955963000.0,81388728000.0,-137682467000.0,-198251758000.0,160256456000.0,55411393000.0,3.7628,41.106,28.1577,19.0342,9.634,4.5375,7.8167,9.6875,4.3978,18.3269,81.6731,11.6823,4.3978,4.1665,7.9398,-0.424,-0.348,95.725,5.2787,5.0781,9.4967,9.36,8.4049,2.4349,2.1087,7.3991,18.9934,4.8698,77.9405,4.5332,4.7032,44.9995,55.0005,13.7683,18.6297,74.6713,87.6191,12.3809,0.2031,3.5332,0.2597,4.0082,0.1767,2.7261,,0.1779,108.6281,4.2174,2.0192,232778312000.0,5.1514,4.4228,95.0858,5.8018,5.2114,1.2422,48.2352,204.0323,204.0323,89.8135,197.0779,188.6992,204.6814,220.02,89.8133,145.977,7.7783,19.6964,7.7783,72.7169,72.7169,67.0412,59.1491,23.8658,20230829,20230630,331551,4.0,116.8,76.0,78.4,81.6,87.2,89.6,82.71,11.4,238.5,245.0,245.0,238.3,245.8,-7.3,-2.9699,118462.63,2846103.7,1.025,251.125,79.72475,244.4625,77.60961,251.125,79.72475,244.2575,77.54453,251.945,79.98508,-0.634,-0.545,-0.178,24.599,31.975,9.847,34.364,40.08,42.84,82.786,80.355,77.925,-134.149,9092060398.0,123730939.0,235997888.0,518788.0,123171366.0,102901.0,20200.0,9215791337.0
2023-09-27,002594.SZ,20230927,245.09,248.28,243.73,243.78,244.46,-0.6800000000000068,-0.28,75733.67,1808518.866,237.83,0.6502,0.922,0.89,41.6519,28.8707,5.7858,1.6327,1.2976,0.0441,0.4802,291114.2855,116476.4604,82140.1884,69235710.5205,27701596.5769,20230829,20230630,3.77,3.77,89.3546,89.3546,21.3888,2.3491,16.6851,1259290000.0,9694855000.0,47672587000.0,0.6589,0.4437,0.3566,5.9195,1.0265,1.6622,0.4795,11120202000.0,13209247000.0,31334407000.0,22755625951.7152,28201708951.7152,384447629000.0,46429322000.0,29855300000.0,-49955963000.0,81388728000.0,-137682467000.0,-198251758000.0,160256456000.0,55411393000.0,3.7628,41.106,28.1577,19.0342,9.634,4.5375,7.8167,9.6875,4.3978,18.3269,81.6731,11.6823,4.3978,4.1665,7.9398,-0.424,-0.348,95.725,5.2787,5.0781,9.4967,9.36,8.4049,2.4349,2.1087,7.3991,18.9934,4.8698,77.9405,4.5332,4.7032,44.9995,55.0005,13.7683,18.6297,74.6713,87.6191,12.3809,0.2031,3.5332,0.2597,4.0082,0.1767,2.7261,,0.1779,108.6281,4.2174,2.0192,232778312000.0,5.1514,4.4228,95.0858,5.8018,5.2114,1.2422,48.2352,204.0323,204.0323,89.8135,197.0779,188.6992,204.6814,220.02,89.8133,145.977,7.7783,19.6964,7.7783,72.7169,72.7169,67.0412,59.1491,23.8658,20230829,20230630,331551,4.0,116.8,76.0,78.4,81.6,87.2,89.6,82.66,7.9,237.83,239.11,242.22,237.79,238.5,-0.67,-0.2809,75733.67,1808518.87,1.025,245.08775,77.80811,243.77575,77.39158,248.2755,78.82012,243.73475,77.37857,244.4625,77.60961,-0.758,-0.588,-0.342,16.499,26.816,-4.136,33.16,39.376,42.46,82.87,80.16,77.451,-143.644,9225863756.0,126736752.0,234955175.0,532888.0,101151817.0,28500.0,42600.0,9352600508.0
2023-09-28,002594.SZ,20230928,244.77,245.49,241.95,242.62,243.78,-1.1599999999999966,-0.48,85257.68,2022931.184,236.7,0.732,1.038,0.95,41.454,28.7335,5.7583,1.6249,1.2914,0.0444,0.4825,291114.2855,116476.4604,82140.1884,68906751.3779,27569978.1767,20230829,20230630,3.77,3.77,89.3546,89.3546,21.3888,2.3491,16.6851,1259290000.0,9694855000.0,47672587000.0,0.6589,0.4437,0.3566,5.9195,1.0265,1.6622,0.4795,11120202000.0,13209247000.0,31334407000.0,22755625951.7152,28201708951.7152,384447629000.0,46429322000.0,29855300000.0,-49955963000.0,81388728000.0,-137682467000.0,-198251758000.0,160256456000.0,55411393000.0,3.7628,41.106,28.1577,19.0342,9.634,4.5375,7.8167,9.6875,4.3978,18.3269,81.6731,11.6823,4.3978,4.1665,7.9398,-0.424,-0.348,95.725,5.2787,5.0781,9.4967,9.36,8.4049,2.4349,2.1087,7.3991,18.9934,4.8698,77.9405,4.5332,4.7032,44.9995,55.0005,13.7683,18.6297,74.6713,87.6191,12.3809,0.2031,3.5332,0.2597,4.0082,0.1767,2.7261,,0.1779,108.6281,4.2174,2.0192,232778312000.0,5.1514,4.4228,95.0858,5.8018,5.2114,1.2422,48.2352,204.0323,204.0323,89.8135,197.0779,188.6992,204.6814,220.02,89.8133,145.977,7.7783,19.6964,7.7783,72.7169,72.7169,67.0412,59.1491,23.8658,20230829,20230630,331551,4.0,116.8,76.0,78.4,81.6,87.2,89.6,82.58,8.45,236.7,238.8,239.5,236.05,237.83,-1.13,-0.4751,85257.68,2022931.18,1.025,244.77,77.70723,242.6175,77.02387,245.4875,77.93501,241.95125,76.81236,243.77575,77.39158,-0.877,-0.645,-0.462,12.429,22.02,-6.753,30.965,38.144,41.809,82.943,79.954,76.964,-150.483,9302236799.0,113352790.0,232493367.0,478888.0,156120324.0,69900.0,15900.0,9415589589.0
2023-10-09,002594.SZ,20231009,242.62,244.47,235.4,243.92,242.62,1.299999999999983,0.54,91790.71,2162900.147,237.97,0.7881,1.1175,1.04,41.6765,28.8877,5.7892,1.6336,1.2983,0.0441,0.4799,291114.2855,116476.4604,82140.1884,69276466.5204,27717903.2814,20230829,20230630,3.77,3.77,89.3546,89.3546,21.3888,2.3491,16.6851,1259290000.0,9694855000.0,47672587000.0,0.6589,0.4437,0.3566,5.9195,1.0265,1.6622,0.4795,11120202000.0,13209247000.0,31334407000.0,22755625951.7152,28201708951.7152,384447629000.0,46429322000.0,29855300000.0,-49955963000.0,81388728000.0,-137682467000.0,-198251758000.0,160256456000.0,55411393000.0,3.7628,41.106,28.1577,19.0342,9.634,4.5375,7.8167,9.6875,4.3978,18.3269,81.6731,11.6823,4.3978,4.1665,7.9398,-0.424,-0.348,95.725,5.2787,5.0781,9.4967,9.36,8.4049,2.4349,2.1087,7.3991,18.9934,4.8698,77.9405,4.5332,4.7032,44.9995,55.0005,13.7683,18.6297,74.6713,87.6191,12.3809,0.2031,3.5332,0.2597,4.0082,0.1767,2.7261,,0.1779,108.6281,4.2174,2.0192,232778312000.0,5.1514,4.4228,95.0858,5.8018,5.2114,1.2422,48.2352,204.0323,204.0323,89.8135,197.0779,188.6992,204.6814,220.02,89.8133,145.977,7.7783,19.6964,7.7783,72.7169,72.7169,67.0412,59.1491,23.8658,20230829,20230630,331551,4.0,116.8,76.0,78.4,81.6,87.2,89.6,82.49,9.68,237.97,236.7,238.51,229.66,236.7,1.27,0.5365,91790.71,2162900.15,1.025,242.6175,77.02387,243.91925,77.43714,244.47275,77.61286,235.4015,74.73301,242.6175,77.02387,-0.926,-0.701,-0.449,23.163,22.401,24.686,36.623,40.429,42.837,82.907,79.772,76.638,-150.209,9376702041.0,123313199.0,238262959.0,518188.0,163797717.0,21300.0,60600.0,9500015240.0
2023-10-10,002594.SZ,20231010,243.91,246.02,242.92,243.86,243.92,-0.0599999999999738,-0.02,63936.61,1524841.111,237.91,0.5489,0.7784,0.73,41.6659,28.8804,5.7877,1.6332,1.298,0.0441,0.48,291114.2855,116476.4604,82140.1884,69258999.6633,27710914.6938,20230829,20230630,3.77,3.77,89.3546,89.3546,21.3888,2.3491,16.6851,1259290000.0,9694855000.0,47672587000.0,0.6589,0.4437,0.3566,5.9195,1.0265,1.6622,0.4795,11120202000.0,13209247000.0,31334407000.0,22755625951.7152,28201708951.7152,384447629000.0,46429322000.0,29855300000.0,-49955963000.0,81388728000.0,-137682467000.0,-198251758000.0,160256456000.0,55411393000.0,3.7628,41.106,28.1577,19.0342,9.634,4.5375,7.8167,9.6875,4.3978,18.3269,81.6731,11.6823,4.3978,4.1665,7.9398,-0.424,-0.348,95.725,5.2787,5.0781,9.4967,9.36,8.4049,2.4349,2.1087,7.3991,18.9934,4.8698,77.9405,4.5332,4.7032,44.9995,55.0005,13.7683,18.6297,74.6713,87.6191,12.3809,0.2031,3.5332,0.2597,4.0082,0.1767,2.7261,,0.1779,108.6281,4.2174,2.0192,232778312000.0,5.1514,4.4228,95.0858,5.8018,5.2114,1.2422,48.2352,204.0323,204.0323,89.8135,197.0779,188.6992,204.6814,220.02,89.8133,145.977,7.7783,19.6964,7.7783,72.7169,72.7169,67.0412,59.1491,23.8658,20230829,20230630,331551,4.0,116.8,76.0,77.6,81.6,87.2,89.6,82.43,9.73,237.91,237.96,240.02,237.0,237.97,-0.06,-0.0252,63936.61,1524841.11,1.025,243.909,77.43389,243.85775,77.41762,246.0205,78.10423,242.925,77.1215,243.91925,77.43714,-0.956,-0.752,-0.407,31.319,25.374,43.21,36.454,40.352,42.8,82.631,79.536,76.441,-83.382,9328479501.0,143266547.0,117561427.0,602188.0,165783967.0,14400.0,98400.0,9471746048.0
2023-10-11,002594.SZ,20231011,248.01,248.56,243.95,244.55,243.86,0.6899999999999977,0.28,76683.73,1838352.974,238.59,0.6584,0.9336,0.88,41.785,28.9629,5.8043,1.6379,1.3017,0.044,0.4786,291114.2855,116476.4604,82140.1884,69456957.3774,27790118.6868,20230829,20230630,3.77,3.77,89.3546,89.3546,21.3888,2.3491,16.6851,1259290000.0,9694855000.0,47672587000.0,0.6589,0.4437,0.3566,5.9195,1.0265,1.6622,0.4795,11120202000.0,13209247000.0,31334407000.0,22755625951.7152,28201708951.7152,384447629000.0,46429322000.0,29855300000.0,-49955963000.0,81388728000.0,-137682467000.0,-198251758000.0,160256456000.0,55411393000.0,3.7628,41.106,28.1577,19.0342,9.634,4.5375,7.8167,9.6875,4.3978,18.3269,81.6731,11.6823,4.3978,4.1665,7.9398,-0.424,-0.348,95.725,5.2787,5.0781,9.4967,9.36,8.4049,2.4349,2.1087,7.3991,18.9934,4.8698,77.9405,4.5332,4.7032,44.9995,55.0005,13.7683,18.6297,74.6713,87.6191,12.3809,0.2031,3.5332,0.2597,4.0082,0.1767,2.7261,,0.1779,108.6281,4.2174,2.0192,232778312000.0,5.1514,4.4228,95.0858,5.8018,5.2114,1.2422,48.2352,204.0323,204.0323,89.8135,197.0779,188.6992,204.6814,220.02,89.8133,145.977,7.7783,19.6964,7.7783,72.7169,72.7169,67.0412,59.1491,23.8658,20230829,20230630,331551,4.0,116.8,76.0,77.6,81.6,87.2,89.6,82.38,16.11,238.59,241.96,242.5,238.0,237.91,0.68,0.2858,76683.73,1838352.97,1.025,248.009,78.73552,244.55475,77.63889,248.5625,78.91124,243.95,77.4469,243.85775,77.41762,-0.951,-0.792,-0.318,38.066,29.605,54.989,40.214,41.721,43.383,82.486,79.366,76.246,-47.256,9319368366.0,190149073.0,118499176.0,796970.0,127610311.0,17900.0,212682.0,9509517439.0
2023-10-12,002594.SZ,20231012,246.41,251.64,244.97,250.56,244.55,6.009999999999991,2.46,139340.94,3391600.251,244.45,1.1963,1.6964,1.77,42.8113,29.6743,5.9468,1.6781,1.3337,0.043,0.4672,291114.2855,116476.4604,82140.1884,71162887.0905,28472670.7448,20230829,20230630,3.77,3.77,89.3546,89.3546,21.3888,2.3491,16.6851,1259290000.0,9694855000.0,47672587000.0,0.6589,0.4437,0.3566,5.9195,1.0265,1.6622,0.4795,11120202000.0,13209247000.0,31334407000.0,22755625951.7152,28201708951.7152,384447629000.0,46429322000.0,29855300000.0,-49955963000.0,81388728000.0,-137682467000.0,-198251758000.0,160256456000.0,55411393000.0,3.7628,41.106,28.1577,19.0342,9.634,4.5375,7.8167,9.6875,4.3978,18.3269,81.6731,11.6823,4.3978,4.1665,7.9398,-0.424,-0.348,95.725,5.2787,5.0781,9.4967,9.36,8.4049,2.4349,2.1087,7.3991,18.9934,4.8698,77.9405,4.5332,4.7032,44.9995,55.0005,13.7683,18.6297,74.6713,87.6191,12.3809,0.2031,3.5332,0.2597,4.0082,0.1767,2.7261,,0.1779,108.6281,4.2174,2.0192,232778312000.0,5.1514,4.4228,95.0858,5.8018,5.2114,1.2422,48.2352,204.0323,204.0323,89.8135,197.0779,188.6992,204.6814,220.02,89.8133,145.977,7.7783,19.6964,7.7783,72.7169,72.7169,67.0412,59.1491,23.8658,20230829,20230630,331551,4.0,116.8,76.0,77.6,81.6,86.4,89.6,82.31,33.16,244.45,240.4,245.5,239.0,238.59,5.86,2.4561,139340.94,3391600.25,1.025,246.41,78.22788,250.56125,79.54578,251.6375,79.88746,244.975,77.77231,244.55475,77.63889,-0.784,-0.79,0.013,53.841,37.684,86.157,62.91,52.065,48.135,82.234,79.268,76.303,23.977,9274498193.0,203937301.0,203521174.0,834270.0,248391347.0,9800.0,47100.0,9478435494.0
2023-10-13,002594.SZ,20231013,247.95,248.84,245.79,246.37,250.56,-4.189999999999998,-1.67,66445.23,1598611.952,240.36,0.5705,0.8089,0.73,42.095,29.1778,5.8473,1.6501,1.3114,0.0437,0.4751,291114.2855,116476.4604,82140.1884,69972229.6628,27996282.0217,20230829,20230630,3.77,3.77,89.3546,89.3546,21.3888,2.3491,16.6851,1259290000.0,9694855000.0,47672587000.0,0.6589,0.4437,0.3566,5.9195,1.0265,1.6622,0.4795,11120202000.0,13209247000.0,31334407000.0,22755625951.7152,28201708951.7152,384447629000.0,46429322000.0,29855300000.0,-49955963000.0,81388728000.0,-137682467000.0,-198251758000.0,160256456000.0,55411393000.0,3.7628,41.106,28.1577,19.0342,9.634,4.5375,7.8167,9.6875,4.3978,18.3269,81.6731,11.6823,4.3978,4.1665,7.9398,-0.424,-0.348,95.725,5.2787,5.0781,9.4967,9.36,8.4049,2.4349,2.1087,7.3991,18.9934,4.8698,77.9405,4.5332,4.7032,44.9995,55.0005,13.7683,18.6297,74.6713,87.6191,12.3809,0.2031,3.5332,0.2597,4.0082,0.1767,2.7261,,0.1779,108.6281,4.2174,2.0192,232778312000.0,5.1514,4.4228,95.0858,5.8018,5.2114,1.2422,48.2352,204.0323,204.0323,89.8135,197.0779,188.6992,204.6814,220.02,89.8133,145.977,7.7783,19.6964,7.7783,72.7169,72.7169,67.0412,59.1491,23.8658,20230829,20230630,331551,4.0,116.8,76.0,77.6,81.6,86.4,89.6,82.26,16.18,240.36,241.9,242.77,239.8,244.45,-4.09,-1.6731,66445.23,1598611.95,1.025,247.9475,78.71599,246.369,78.21486,248.83925,78.9991,245.795,78.03264,250.56125,79.54578,-0.75,-0.782,0.064,56.487,43.951,81.558,47.733,45.867,45.362,82.046,79.138,76.229,-14.867,9262890323.0,191367421.0,122513736.0,796170.0,134121606.0,44800.0,6700.0,9454257744.0
2023-10-16,002594.SZ,20231016,246.41,247.11,242.41,243.45,246.37,-2.920000000000016,-1.19,66022.21,1573224.653,237.51,0.5668,0.8038,0.75,41.5959,28.8318,5.778,1.6305,1.2958,0.0442,0.4808,291114.2855,116476.4604,82140.1884,69142553.9491,27664324.1096,20230829,20230630,3.77,3.77,89.3546,89.3546,21.3888,2.3491,16.6851,1259290000.0,9694855000.0,47672587000.0,0.6589,0.4437,0.3566,5.9195,1.0265,1.6622,0.4795,11120202000.0,13209247000.0,31334407000.0,22755625951.7152,28201708951.7152,384447629000.0,46429322000.0,29855300000.0,-49955963000.0,81388728000.0,-137682467000.0,-198251758000.0,160256456000.0,55411393000.0,3.7628,41.106,28.1577,19.0342,9.634,4.5375,7.8167,9.6875,4.3978,18.3269,81.6731,11.6823,4.3978,4.1665,7.9398,-0.424,-0.348,95.725,5.2787,5.0781,9.4967,9.36,8.4049,2.4349,2.1087,7.3991,18.9934,4.8698,77.9405,4.5332,4.7032,44.9995,55.0005,13.7683,18.6297,74.6713,87.6191,12.3809,0.2031,3.5332,0.2597,4.0082,0.1767,2.7261,,0.1779,108.6281,4.2174,2.0192,232778312000.0,5.1514,4.4228,95.0858,5.8018,5.2114,1.2422,48.2352,204.0323,204.0323,89.8135,197.0779,188.6992,204.6814,220.02,89.8133,145.977,7.7783,19.6964,7.7783,72.7169,72.7169,67.0412,59.1491,23.8658,20230829,20230630,331551,4.0,116.8,76.0,77.6,81.6,86.4,89.6,82.22,9.71,237.51,240.4,241.08,236.5,240.36,-2.85,-1.1857,66022.21,1573224.65,1.025,246.41,78.22788,243.44775,77.28745,247.107,78.44916,242.4125,76.95879,246.369,78.21486,-0.79,-0.784,-0.011,54.177,47.36,67.812,39.721,42.06,43.538,82.045,79.031,76.017,-67.506,9211192234.0,189882120.0,82831138.0,799470.0,134529227.0,114700.0,118000.0,9401074354.0
