trade_date,indiv_d_ts_code,indiv_d_trade_date,indiv_d_open,indiv_d_high,indiv_d_low,indiv_d_close,indiv_d_pre_close,indiv_d_change,indiv_d_pct_chg,indiv_d_vol,indiv_d_amount,indiv_din_close,indiv_din_turnover_rate,indiv_din_turnover_rate_f,indiv_din_volume_ratio,indiv_din_pe,indiv_din_pe_ttm,indiv_din_pb,indiv_din_ps,indiv_din_ps_ttm,indiv_din_dv_ratio,indiv_din_dv_ttm,indiv_din_total_share,indiv_din_float_share,indiv_din_free_share,indiv_din_total_mv,indiv_din_circ_mv,indiv_fin_ann_date,indiv_fin_end_date,indiv_fin_eps,indiv_fin_dt_eps,indiv_fin_total_revenue_ps,indiv_fin_revenue_ps,indiv_fin_capital_rese_ps,indiv_fin_surplus_rese_ps,indiv_fin_undist_profit_ps,indiv_fin_extra_item,indiv_fin_profit_dedt,indiv_fin_gross_margin,indiv_fin_current_ratio,indiv_fin_quick_ratio,indiv_fin_cash_ratio,indiv_fin_ar_turn,indiv_fin_ca_turn,indiv_fin_fa_turn,indiv_fin_assets_turn,indiv_fin_op_income,indiv_fin_ebit,indiv_fin_ebitda,indiv_fin_fcff,indiv_fin_fcfe,indiv_fin_current_exint,indiv_fin_noncurrent_exint,indiv_fin_interestdebt,indiv_fin_netdebt,indiv_fin_tangible_asset,indiv_fin_working_capital,indiv_fin_networking_capital,indiv_fin_invest_capital,indiv_fin_retained_earnings,indiv_fin_diluted2_eps,indiv_fin_bps,indiv_fin_ocfps,indiv_fin_retainedps,indiv_fin_cfps,indiv_fin_ebit_ps,indiv_fin_fcff_ps,indiv_fin_fcfe_ps,indiv_fin_netprofit_margin,indiv_fin_grossprofit_margin,indiv_fin_cogs_of_sales,indiv_fin_expense_of_sales,indiv_fin_profit_to_gr,indiv_fin_saleexp_to_gr,indiv_fin_adminexp_of_gr,indiv_fin_finaexp_of_gr,indiv_fin_impai_ttm,indiv_fin_gc_of_gr,indiv_fin_op_of_gr,indiv_fin_ebit_of_gr,indiv_fin_roe,indiv_fin_roe_waa,indiv_fin_roe_dt,indiv_fin_roa,indiv_fin_npta,indiv_fin_roic,indiv_fin_roe_yearly,indiv_fin_roa2_yearly,indiv_fin_debt_to_assets,indiv_fin_assets_to_eqt,indiv_fin_dp_assets_to_eqt,indiv_fin_ca_to_assets,indiv_fin_nca_to_assets,indiv_fin_tbassets_to_totalassets,indiv_fin_int_to_talcap,indiv_fin_eqt_to_talcapital,indiv_fin_currentdebt_to_debt,indiv_fin_longdeb_to_debt,indiv_fin_ocf_to_shortdebt,indiv_fin_debt_to_eqt,indiv_fin_eqt_to_debt,indiv_fin_eqt_to_interestdebt,indiv_fin_tangibleasset_to_debt,indiv_fin_tangasset_to_intdebt,indiv_fin_tangibleasset_to_netdebt,indiv_fin_ocf_to_debt,indiv_fin_turn_days,indiv_fin_roa_yearly,indiv_fin_roa_dp,indiv_fin_fixed_assets,indiv_fin_profit_to_op,indiv_fin_q_saleexp_to_gr,indiv_fin_q_gc_to_gr,indiv_fin_q_roe,indiv_fin_q_dt_roe,indiv_fin_q_npta,indiv_fin_q_ocf_to_sales,indiv_fin_basic_eps_yoy,indiv_fin_dt_eps_yoy,indiv_fin_cfps_yoy,indiv_fin_op_yoy,indiv_fin_ebt_yoy,indiv_fin_netprofit_yoy,indiv_fin_dt_netprofit_yoy,indiv_fin_ocf_yoy,indiv_fin_roe_yoy,indiv_fin_bps_yoy,indiv_fin_assets_yoy,indiv_fin_eqt_yoy,indiv_fin_tr_yoy,indiv_fin_or_yoy,indiv_fin_q_sales_yoy,indiv_fin_q_op_qoq,indiv_fin_equity_yoy,indiv_sh_ann_date,indiv_sh_end_date,indiv_sh_holder_num,indiv_chip_his_low,indiv_chip_his_high,indiv_chip_cost_5pct,indiv_chip_cost_15pct,indiv_chip_cost_50pct,indiv_chip_cost_85pct,indiv_chip_cost_95pct,indiv_chip_weight_avg,indiv_chip_winner_rate,indiv_techin_close,indiv_techin_open,indiv_techin_high,indiv_techin_low,indiv_techin_pre_close,indiv_techin_change,indiv_techin_pct_change,indiv_techin_vol,indiv_techin_amount,indiv_techin_adj_factor,indiv_techin_open_hfq,indiv_techin_open_qfq,indiv_techin_close_hfq,indiv_techin_close_qfq,indiv_techin_high_hfq,indiv_techin_high_qfq,indiv_techin_low_hfq,indiv_techin_low_qfq,indiv_techin_pre_close_hfq,indiv_techin_pre_close_qfq,indiv_techin_macd_dif,indiv_techin_macd_dea,indiv_techin_macd,indiv_techin_kdj_k,indiv_techin_kdj_d,indiv_techin_kdj_j,indiv_techin_rsi_6,indiv_techin_rsi_12,indiv_techin_rsi_24,indiv_techin_boll_upper,indiv_techin_boll_mid,indiv_techin_boll_lower,indiv_techin_cci,indiv_margin_rzye,indiv_margin_rqye,indiv_margin_rzmre,indiv_margin_rqyl,indiv_margin_rzche,indiv_margin_rqchl,indiv_margin_rqmcl,indiv_margin_rzrqye
2023-09-25,600036.SH,20230925,190.16,190.16,187.99,188.56,190.5,-1.9399999999999975,-1.02,456515.41,1506238.619,33.0,0.2213,0.3518,1.06,6.0303,5.7658,0.9715,2.4139,2.4183,4.6121,5.2667,2521984.5601,2062894.4429,1297690.4181,83225490.4833,68075516.6157,20230826,20230630,2.93,2.93,7.0762,7.0762,2.5946,3.7663,20.7132,264000000.0,75488000000.0,,,,,,,,0.0171,71197000000.0,,,,,,,,,,,,,617368000000.0,3.0037,33.9685,3.74,24.4795,0.7077,,,,42.8314,,,,42.8314,,29.0693,,,,50.924,,7.88,8.775,7.8526,,0.7322,,15.76,,90.82,10.8932,10.8595,,,,,,,,,9.8933,0.1002,,,,,0.0097,,1.4644,0.7256,110399000000.0,50.9268,,,3.7701,3.7541,0.3502,121.8004,9.7378,9.7378,-27.8,8.6575,8.6817,9.1213,9.09,-27.7683,-0.8283,3.85,5.9269,3.3446,-0.3523,-0.3523,0.8301,-6.1951,10.0327,20230826,20230630,635943,1.2,47.2,25.2,28.0,30.0,36.8,43.2,31.52,48.35,33.0,33.28,33.28,32.9,33.34,-0.34,-1.0198,456515.41,1506238.62,5.714,190.16192,30.08844,188.562,29.83529,190.16192,30.08844,187.9906,29.74488,190.50476,30.14268,0.11,0.096,0.027,51.592,44.854,65.068,53.118,52.955,52.12,30.606,29.646,28.687,46.252,7277573307.0,98118702.0,126092623.0,2973294.0,98092816.0,630109.0,229500.0,7375692009.0
2023-09-26,600036.SH,20230926,188.16,189.02,187.13,187.42,188.56,-1.1400000000000148,-0.6,322023.56,1058673.65,32.8,0.1561,0.2482,0.71,5.9938,5.7308,0.9656,2.3992,2.4036,4.6402,5.2988,2521984.5601,2062894.4429,1297690.4181,82721093.5713,67662937.7271,20230826,20230630,2.93,2.93,7.0762,7.0762,2.5946,3.7663,20.7132,264000000.0,75488000000.0,,,,,,,,0.0171,71197000000.0,,,,,,,,,,,,,617368000000.0,3.0037,33.9685,3.74,24.4795,0.7077,,,,42.8314,,,,42.8314,,29.0693,,,,50.924,,7.88,8.775,7.8526,,0.7322,,15.76,,90.82,10.8932,10.8595,,,,,,,,,9.8933,0.1002,,,,,0.0097,,1.4644,0.7256,110399000000.0,50.9268,,,3.7701,3.7541,0.3502,121.8004,9.7378,9.7378,-27.8,8.6575,8.6817,9.1213,9.09,-27.7683,-0.8283,3.85,5.9269,3.3446,-0.3523,-0.3523,0.8301,-6.1951,10.0327,20230826,20230630,635943,1.2,47.2,25.2,28.0,30.0,36.8,43.2,31.52,48.41,32.8,32.93,33.08,32.75,33.0,-0.2,-0.6061,322023.56,1058673.65,5.714,188.16202,29.772,187.4192,29.65447,189.01912,29.90762,187.1335,29.60926,188.562,29.83529,0.096,0.096,-0.001,48.94,46.216,54.388,47.643,50.265,50.886,30.588,29.681,28.773,-33.831,7208413045.0,88392818.4,50570800.0,2694903.0,119731062.0,436291.0,157900.0,7296805863.4
2023-09-27,600036.SH,20230927,187.99,189.08,187.13,187.53,187.42,0.1100000000000136,0.06,352466.79,1159673.83,32.82,0.1709,0.2716,0.8,5.9974,5.7343,0.9662,2.4007,2.4051,4.6374,5.2955,2521984.5601,2062894.4429,1297690.4181,82771533.2625,67704195.616,20230826,20230630,2.93,2.93,7.0762,7.0762,2.5946,3.7663,20.7132,264000000.0,75488000000.0,,,,,,,,0.0171,71197000000.0,,,,,,,,,,,,,617368000000.0,3.0037,33.9685,3.74,24.4795,0.7077,,,,42.8314,,,,42.8314,,29.0693,,,,50.924,,7.88,8.775,7.8526,,0.7322,,15.76,,90.82,10.8932,10.8595,,,,,,,,,9.8933,0.1002,,,,,0.0097,,1.4644,0.7256,110399000000.0,50.9268,,,3.7701,3.7541,0.3502,121.8004,9.7378,9.7378,-27.8,8.6575,8.6817,9.1213,9.09,-27.7683,-0.8283,3.85,5.9269,3.3446,-0.3523,-0.3523,0.8301,-6.1951,10.0327,20230826,20230630,635943,1.2,47.2,25.2,28.0,30.0,36.8,43.2,31.52,48.46,32.82,32.9,33.09,32.75,32.8,0.02,0.061,352466.79,1159673.83,5.714,187.9906,29.74488,187.53348,29.67255,189.07626,29.91666,187.1335,29.60926,187.4192,29.65447,0.085,0.094,-0.017,47.778,46.737,49.861,48.283,50.539,51.007,30.501,29.733,28.966,-20.921,7165337140.0,83106902.46,81057588.0,2532203.0,124133493.0,280700.0,118000.0,7248444042.46
2023-09-28,600036.SH,20230928,188.68,189.36,187.13,188.39,187.53,0.8599999999999852,0.46,388564.69,1280959.169,32.97,0.1884,0.2994,0.87,6.0248,5.7605,0.9706,2.4117,2.4161,4.6163,5.2714,2521984.5601,2062894.4429,1297690.4181,83149830.9465,68013629.7824,20230826,20230630,2.93,2.93,7.0762,7.0762,2.5946,3.7663,20.7132,264000000.0,75488000000.0,,,,,,,,0.0171,71197000000.0,,,,,,,,,,,,,617368000000.0,3.0037,33.9685,3.74,24.4795,0.7077,,,,42.8314,,,,42.8314,,29.0693,,,,50.924,,7.88,8.775,7.8526,,0.7322,,15.76,,90.82,10.8932,10.8595,,,,,,,,,9.8933,0.1002,,,,,0.0097,,1.4644,0.7256,110399000000.0,50.9268,,,3.7701,3.7541,0.3502,121.8004,9.7378,9.7378,-27.8,8.6575,8.6817,9.1213,9.09,-27.7683,-0.8283,3.85,5.9269,3.3446,-0.3523,-0.3523,0.8301,-6.1951,10.0327,20230826,20230630,635943,1.2,47.2,25.2,28.0,30.0,36.8,43.2,31.52,48.52,32.97,33.02,33.14,32.75,32.82,0.15,0.457,388564.69,1280959.17,5.714,188.67628,29.85337,188.39058,29.80816,189.36196,29.96186,187.1335,29.60926,187.53348,29.67255,0.087,0.092,-0.011,52.487,48.654,60.154,53.406,52.673,51.934,30.328,29.797,29.267,28.217,6977859647.0,83641691.91,99514946.0,2536903.0,286992439.0,133600.0,138300.0,7061501338.91
2023-10-09,600036.SH,20231009,186.85,186.85,185.02,186.16,188.39,-2.2299999999999898,-1.18,361342.67,1176010.754,32.58,0.1752,0.2785,0.81,5.9536,5.6924,0.9591,2.3831,2.3875,4.6716,5.3345,2521984.5601,2062894.4429,1297690.4181,82166256.9681,67209100.9497,20230826,20230630,2.93,2.93,7.0762,7.0762,2.5946,3.7663,20.7132,264000000.0,75488000000.0,,,,,,,,0.0171,71197000000.0,,,,,,,,,,,,,617368000000.0,3.0037,33.9685,3.74,24.4795,0.7077,,,,42.8314,,,,42.8314,,29.0693,,,,50.924,,7.88,8.775,7.8526,,0.7322,,15.76,,90.82,10.8932,10.8595,,,,,,,,,9.8933,0.1002,,,,,0.0097,,1.4644,0.7256,110399000000.0,50.9268,,,3.7701,3.7541,0.3502,121.8004,9.7378,9.7378,-27.8,8.6575,8.6817,9.1213,9.09,-27.7683,-0.8283,3.85,5.9269,3.3446,-0.3523,-0.3523,0.8301,-6.1951,10.0327,20230826,20230630,635943,1.2,47.2,25.2,28.0,30.0,36.8,43.2,31.52,38.86,32.58,32.7,32.7,32.38,32.97,-0.39,-1.1829,361342.67,1176010.75,5.714,186.8478,29.56406,186.16212,29.45557,186.8478,29.56406,185.01932,29.27475,188.39058,29.80816,0.059,0.086,-0.054,43.245,46.851,36.034,40.797,46.93,49.399,30.287,29.811,29.335,-174.42,6967028243.0,81837799.74,130377627.0,2511903.0,141209031.0,196900.0,171900.0,7048866042.74
2023-10-10,600036.SH,20231010,189.25,189.3,186.22,186.22,186.16,0.0600000000000022,0.03,342636.98,1123856.356,32.59,0.1661,0.264,0.91,5.9554,5.6941,0.9594,2.3839,2.3882,4.6701,5.3329,2521984.5601,2062894.4429,1297690.4181,82191476.8137,67229729.8941,20230826,20230630,2.93,2.93,7.0762,7.0762,2.5946,3.7663,20.7132,264000000.0,75488000000.0,,,,,,,,0.0171,71197000000.0,,,,,,,,,,,,,617368000000.0,3.0037,33.9685,3.74,24.4795,0.7077,,,,42.8314,,,,42.8314,,29.0693,,,,50.924,,7.88,8.775,7.8526,,0.7322,,15.76,,90.82,10.8932,10.8595,,,,,,,,,9.8933,0.1002,,,,,0.0097,,1.4644,0.7256,110399000000.0,50.9268,,,3.7701,3.7541,0.3502,121.8004,9.7378,9.7378,-27.8,8.6575,8.6817,9.1213,9.09,-27.7683,-0.8283,3.85,5.9269,3.3446,-0.3523,-0.3523,0.8301,-6.1951,10.0327,20230826,20230630,635943,1.2,47.2,25.2,28.0,30.0,36.8,43.2,31.52,38.75,32.59,33.12,33.13,32.59,32.58,0.01,0.0307,342636.98,1123856.36,5.714,189.24768,29.94378,186.21926,29.46461,189.30482,29.95282,186.21926,29.46461,186.16212,29.45557,0.037,0.076,-0.078,37.402,43.701,24.803,41.224,47.091,49.465,30.208,29.769,29.33,-48.452,6955238132.0,87553132.77,65843065.0,2686503.0,77633176.0,83700.0,258300.0,7042791264.77
2023-10-11,600036.SH,20231011,187.65,187.7,185.13,185.42,186.22,-0.8000000000000114,-0.43,376091.24,1226529.938,32.45,0.1823,0.2898,1.06,5.9298,5.6697,0.9553,2.3736,2.378,4.6903,5.3559,2521984.5601,2062894.4429,1297690.4181,81838398.9752,66940924.6721,20230826,20230630,2.93,2.93,7.0762,7.0762,2.5946,3.7663,20.7132,264000000.0,75488000000.0,,,,,,,,0.0171,71197000000.0,,,,,,,,,,,,,617368000000.0,3.0037,33.9685,3.74,24.4795,0.7077,,,,42.8314,,,,42.8314,,29.0693,,,,50.924,,7.88,8.775,7.8526,,0.7322,,15.76,,90.82,10.8932,10.8595,,,,,,,,,9.8933,0.1002,,,,,0.0097,,1.4644,0.7256,110399000000.0,50.9268,,,3.7701,3.7541,0.3502,121.8004,9.7378,9.7378,-27.8,8.6575,8.6817,9.1213,9.09,-27.7683,-0.8283,3.85,5.9269,3.3446,-0.3523,-0.3523,0.8301,-6.1951,10.0327,20230826,20230630,635943,1.2,47.2,25.2,28.0,30.0,36.8,43.2,31.52,38.76,32.45,32.84,32.85,32.4,32.59,-0.14,-0.4296,376091.24,1226529.94,5.714,187.64776,29.69063,185.4193,29.33803,187.7049,29.69967,185.1336,29.29283,186.21926,29.46461,0.009,0.063,-0.106,29.061,38.821,9.542,36.769,45.002,48.54,30.209,29.739,29.269,-120.304,7098878189.0,81994757.35,252607618.0,2526803.0,108967561.0,245100.0,85400.0,7180872946.35
2023-10-12,600036.SH,20231012,188.5,190.45,187.3,188.96,185.42,3.5400000000000205,1.91,617459.63,2041713.576,33.07,0.2993,0.4758,1.7,6.0431,5.778,0.9735,2.419,2.4234,4.6024,5.2555,2521984.5601,2062894.4429,1297690.4181,83402029.4025,68219919.2267,20230826,20230630,2.93,2.93,7.0762,7.0762,2.5946,3.7663,20.7132,264000000.0,75488000000.0,,,,,,,,0.0171,71197000000.0,,,,,,,,,,,,,617368000000.0,3.0037,33.9685,3.74,24.4795,0.7077,,,,42.8314,,,,42.8314,,29.0693,,,,50.924,,7.88,8.775,7.8526,,0.7322,,15.76,,90.82,10.8932,10.8595,,,,,,,,,9.8933,0.1002,,,,,0.0097,,1.4644,0.7256,110399000000.0,50.9268,,,3.7701,3.7541,0.3502,121.8004,9.7378,9.7378,-27.8,8.6575,8.6817,9.1213,9.09,-27.7683,-0.8283,3.85,5.9269,3.3446,-0.3523,-0.3523,0.8301,-6.1951,10.0327,20230826,20230630,635943,1.2,47.2,25.2,28.0,30.0,36.8,43.2,31.51,48.82,33.07,32.99,33.33,32.78,32.45,0.62,1.9106,617459.63,2041713.58,5.714,188.50486,29.82625,188.96198,29.89857,190.44762,30.13364,187.30492,29.63639,185.4193,29.33803,0.032,0.057,-0.048,43.184,40.275,49.001,59.836,54.711,52.633,30.161,29.726,29.29,90.608,7037772213.0,106406131.21,108870536.0,3217603.0,165257243.0,98300.0,817400.0,7144178344.21
2023-10-13,600036.SH,20231013,187.3,187.88,185.76,186.33,188.96,-2.6299999999999955,-1.39,410371.87,1341527.525,32.61,0.1989,0.3162,0.98,5.959,5.6976,0.96,2.3853,2.3897,4.6673,5.3296,2521984.5601,2062894.4429,1297690.4181,82241916.5049,67270987.783,20230826,20230630,2.93,2.93,7.0762,7.0762,2.5946,3.7663,20.7132,264000000.0,75488000000.0,,,,,,,,0.0171,71197000000.0,,,,,,,,,,,,,617368000000.0,3.0037,33.9685,3.74,24.4795,0.7077,,,,42.8314,,,,42.8314,,29.0693,,,,50.924,,7.88,8.775,7.8526,,0.7322,,15.76,,90.82,10.8932,10.8595,,,,,,,,,9.8933,0.1002,,,,,0.0097,,1.4644,0.7256,110399000000.0,50.9268,,,3.7701,3.7541,0.3502,121.8004,9.7378,9.7378,-27.8,8.6575,8.6817,9.1213,9.09,-27.7683,-0.8283,3.85,5.9269,3.3446,-0.3523,-0.3523,0.8301,-6.1951,10.0327,20230826,20230630,635943,1.2,47.2,25.2,28.0,30.0,36.8,43.2,31.52,38.5,32.61,32.78,32.88,32.51,33.07,-0.46,-1.391,410371.87,1341527.52,5.714,187.30492,29.63639,186.33354,29.48269,187.87632,29.7268,185.76214,29.39228,188.96198,29.89857,0.017,0.049,-0.063,36.859,39.137,32.305,45.166,47.871,49.58,30.136,29.702,29.268,-64.642,7052564420.0,105402139.83,136250660.0,3232203.0,121458453.0,354400.0,369000.0,7157966559.83
2023-10-16,600036.SH,20231016,186.16,186.62,184.22,184.62,186.33,-1.710000000000008,-0.92,286774.14,928068.013,32.31,0.139,0.221,0.68,5.9042,5.6452,0.9512,2.3634,2.3677,4.7106,5.3791,2521984.5601,2062894.4429,1297690.4181,81485321.1368,66652119.4501,20230826,20230630,2.93,2.93,7.0762,7.0762,2.5946,3.7663,20.7132,264000000.0,75488000000.0,,,,,,,,0.0171,71197000000.0,,,,,,,,,,,,,617368000000.0,3.0037,33.9685,3.74,24.4795,0.7077,,,,42.8314,,,,42.8314,,29.0693,,,,50.924,,7.88,8.775,7.8526,,0.7322,,15.76,,90.82,10.8932,10.8595,,,,,,,,,9.8933,0.1002,,,,,0.0097,,1.4644,0.7256,110399000000.0,50.9268,,,3.7701,3.7541,0.3502,121.8004,9.7378,9.7378,-27.8,8.6575,8.6817,9.1213,9.09,-27.7683,-0.8283,3.85,5.9269,3.3446,-0.3523,-0.3523,0.8301,-6.1951,10.0327,20230826,20230630,635943,1.2,47.2,25.2,28.0,30.0,36.8,43.2,31.51,38.62,32.31,32.58,32.66,32.24,32.61,-0.3,-0.92,286774.14,928068.01,5.714,186.16212,29.45557,184.61934,29.21146,186.61924,29.52789,184.21936,29.14817,186.33354,29.48269,-0.017,0.036,-0.105,26.714,34.996,10.149,37.895,43.961,47.697,30.125,29.663,29.201,-140.291,7106930196.0,91440627.93,101948130.0,2830103.0,47582354.0,515300.0,113200.0,7198370823.93
