indiv_chip_ts_code,indiv_chip_trade_date,indiv_chip_his_low,indiv_chip_his_high,indiv_chip_cost_5pct,indiv_chip_cost_15pct,indiv_chip_cost_50pct,indiv_chip_cost_85pct,indiv_chip_cost_95pct,indiv_chip_weight_avg,indiv_chip_winner_rate
002594.SZ,20251023,4.0,136.8,103.2,104.8,108.0,111.2,117.6,107.85,6.37
002594.SZ,20251022,4.0,136.8,104.0,104.8,108.0,111.2,117.6,107.99,4.33
002594.SZ,20251021,4.0,136.8,104.0,104.8,108.0,111.2,118.4,108.1,7.06
002594.SZ,20251020,4.0,136.8,104.0,104.8,108.0,111.2,118.4,108.18,6.38
002594.SZ,20251017,4.0,136.8,104.0,105.6,108.0,111.2,118.4,108.25,5.81
002594.SZ,20251016,4.0,136.8,104.0,105.6,108.0,111.2,118.4,108.38,31.09
002594.SZ,20251015,4.0,136.8,104.0,105.6,108.0,111.2,118.4,108.42,31.8
002594.SZ,20251014,4.0,136.8,104.0,105.6,108.0,112.0,119.2,108.51,22.02
002594.SZ,20251013,4.0,136.8,104.0,105.6,108.8,112.0,119.2,108.59,22.81
002594.SZ,20251010,4.0,136.8,104.0,105.6,108.8,112.0,120.0,108.8,36.93
002594.SZ,20251009,4.0,136.8,104.0,105.6,108.8,112.0,120.0,108.81,76.67
002594.SZ,20250930,4.0,136.8,104.0,105.6,108.8,112.0,121.6,108.78,60.66
002594.SZ,20250929,4.0,136.8,104.0,105.6,108.0,112.0,122.4,108.82,50.57
002594.SZ,20250926,4.0,136.8,104.0,105.6,108.8,112.8,122.4,108.92,40.83
002594.SZ,20250925,4.0,136.8,104.0,105.6,108.0,112.8,123.2,108.95,42.11
002594.SZ,20250924,4.0,136.8,104.0,105.6,108.8,112.8,124.0,109.06,23.38
002594.SZ,20250923,4.0,136.8,104.0,105.6,108.8,112.8,124.8,109.25,11.96
002594.SZ,20250922,4.0,136.8,104.0,105.6,108.8,112.8,125.6,109.38,36.33
002594.SZ,20250919,4.0,136.8,104.0,105.6,108.8,112.8,126.4,109.45,52.64
002594.SZ,20250918,4.0,136.8,104.0,105.6,108.8,113.6,126.4,109.49,62.7
002594.SZ,20250917,4.0,136.8,104.0,105.6,108.8,113.6,127.2,109.46,71.07
002594.SZ,20250916,4.0,136.8,104.0,105.6,108.8,113.6,128.8,109.49,41.12
002594.SZ,20250915,4.0,136.8,104.0,105.6,108.8,114.4,129.6,109.56,48.64
002594.SZ,20250912,4.0,136.8,104.0,105.6,108.8,114.4,130.4,109.67,24.38
