indiv_d_ts_code,indiv_d_trade_date,indiv_d_open,indiv_d_high,indiv_d_low,indiv_d_close,indiv_d_pre_close,indiv_d_change,indiv_d_pct_chg,indiv_d_vol,indiv_d_amount
002594.SZ,20251023,325.38,326.74,321.29,326.61,326.9,-0.2899999999999636,-0.09,378603.42,3889661.811
002594.SZ,20251022,327.9,328.6,325.61,326.9,329.98,-3.080000000000041,-0.93,357874.19,3715302.136
002594.SZ,20251021,329.76,330.96,328.35,329.98,329.23,0.75,0.23,299074.19,3133789.475
002594.SZ,20251020,331.43,332.72,327.84,329.23,328.94,0.29000000000002046,0.09,355614.52,3721699.722
002594.SZ,20251017,335.78,335.87,328.41,328.94,336.91,-7.970000000000027,-2.37,625724.94,6576614.911
002594.SZ,20251016,337.04,344.28,335.5,336.91,337.35,-0.4399999999999977,-0.13,523096.38,5628738.804
002594.SZ,20251015,335.31,338.65,332.31,337.35,333.86,3.490000000000009,1.05,475791.33,5063179.652
002594.SZ,20251014,336.03,344.47,332.69,333.86,332.91,0.9499999999999886,0.29,767786.27,8244228.529
002594.SZ,20251013,330.74,333.83,327.9,332.91,339.53,-6.619999999999948,-1.95,744429.8,7841774.365
002594.SZ,20251010,348.22,348.22,338.87,339.53,348.38,-8.850000000000023,-2.54,590102.53,6420415.513
002594.SZ,20251009,342.3,354.3,340.41,348.38,344.0,4.3799999999999955,1.27,1008721.97,11196004.667
002594.SZ,20250930,340.79,346.43,339.43,344.0,342.11,1.8899999999999864,0.55,567755.5,6200518.75
002594.SZ,20250929,337.04,343.78,335.12,342.11,337.95,4.160000000000025,1.23,613983.68,6621874.267
002594.SZ,20250926,338.46,350.36,337.04,337.95,338.61,-0.660000000000025,-0.19,756612.07,8250492.997
002594.SZ,20250925,331.81,342.71,330.33,338.61,332.98,5.6299999999999955,1.69,693482.04,7421942.405
002594.SZ,20250924,330.74,333.35,327.59,332.98,332.63,0.35000000000002274,0.11,548162.27,5758922.305
002594.SZ,20250923,338.46,339.21,329.61,332.63,340.16,-7.53000000000003,-2.21,650962.62,6888232.046
002594.SZ,20250922,342.93,343.06,337.51,340.16,343.62,-3.4599999999999795,-1.01,491559.23,5293961.578
002594.SZ,20250919,345.86,349.01,343.34,343.62,345.58,-1.9599999999999795,-0.57,472977.48,5188176.204
002594.SZ,20250918,349.61,355.31,341.95,345.58,349.61,-4.03000000000003,-1.15,934013.8,10362193.293
002594.SZ,20250917,340.82,352.79,340.82,349.61,339.56,10.050000000000011,2.96,981239.71,10827682.692
002594.SZ,20250916,343.34,343.34,337.73,339.56,342.39,-2.829999999999984,-0.83,533160.21,5753437.964
002594.SZ,20250915,333.89,349.17,333.89,342.39,333.61,8.779999999999973,2.63,974804.07,10620465.041
002594.SZ,20250912,335.78,338.87,333.57,333.61,335.75,-2.1399999999999864,-0.64,455910.18,4859782.579
002594.SZ,20250911,331.53,335.78,330.39,335.75,331.37,4.3799999999999955,1.32,537781.49,5683446.689
002594.SZ,20250910,332.38,335.31,330.8,331.37,332.28,-0.9099999999999682,-0.27,322368.95,3401353.898
002594.SZ,20250909,333.89,337.67,331.59,332.28,334.68,-2.400000000000034,-0.72,381636.22,4049249.507
002594.SZ,20250908,334.36,337.45,332.35,334.68,337.86,-3.180000000000007,-0.94,555923.45,5910440.232
002594.SZ,20250905,327.15,338.61,324.79,337.86,327.59,10.270000000000039,3.14,787523.85,8307907.948
002594.SZ,20250904,335.75,337.32,326.68,327.59,337.7,-10.110000000000014,-2.99,815740.74,8588835.881
002594.SZ,20250903,348.06,348.79,337.07,337.7,346.55,-8.850000000000023,-2.55,735223.27,7975948.716
002594.SZ,20250902,342.68,349.95,342.08,346.55,345.54,1.009999999999991,0.29,773224.1,8495472.755
002594.SZ,20250901,341.76,351.15,341.76,345.54,359.28,-13.739999999999952,-3.82,1329867.38,14546890.247
002594.SZ,20250829,342.96,367.25,340.57,359.28,344.35,14.92999999999995,4.34,1144901.94,12973326.091
002594.SZ,20250828,344.57,347.09,337.39,344.35,348.63,-4.279999999999973,-1.23,762521.99,8278465.956
002594.SZ,20250827,358.96,359.28,348.57,348.63,358.3,-9.670000000000016,-2.7,689746.93,7761766.931
002594.SZ,20250826,352.0,361.26,348.73,358.3,351.56,6.740000000000009,1.92,692915.85,7850511.029
002594.SZ,20250825,350.62,354.33,347.47,351.56,348.57,2.990000000000009,0.86,611627.58,6803182.883
