indiv_fin_ts_code,indiv_fin_ann_date,indiv_fin_end_date,indiv_fin_eps,indiv_fin_dt_eps,indiv_fin_total_revenue_ps,indiv_fin_revenue_ps,indiv_fin_capital_rese_ps,indiv_fin_surplus_rese_ps,indiv_fin_undist_profit_ps,indiv_fin_extra_item,indiv_fin_profit_dedt,indiv_fin_gross_margin,indiv_fin_current_ratio,indiv_fin_quick_ratio,indiv_fin_cash_ratio,indiv_fin_ar_turn,indiv_fin_ca_turn,indiv_fin_fa_turn,indiv_fin_assets_turn,indiv_fin_op_income,indiv_fin_ebit,indiv_fin_ebitda,indiv_fin_fcff,indiv_fin_fcfe,indiv_fin_current_exint,indiv_fin_noncurrent_exint,indiv_fin_interestdebt,indiv_fin_netdebt,indiv_fin_tangible_asset,indiv_fin_working_capital,indiv_fin_networking_capital,indiv_fin_invest_capital,indiv_fin_retained_earnings,indiv_fin_diluted2_eps,indiv_fin_bps,indiv_fin_ocfps,indiv_fin_retainedps,indiv_fin_cfps,indiv_fin_ebit_ps,indiv_fin_fcff_ps,indiv_fin_fcfe_ps,indiv_fin_netprofit_margin,indiv_fin_grossprofit_margin,indiv_fin_cogs_of_sales,indiv_fin_expense_of_sales,indiv_fin_profit_to_gr,indiv_fin_saleexp_to_gr,indiv_fin_adminexp_of_gr,indiv_fin_finaexp_of_gr,indiv_fin_impai_ttm,indiv_fin_gc_of_gr,indiv_fin_op_of_gr,indiv_fin_ebit_of_gr,indiv_fin_roe,indiv_fin_roe_waa,indiv_fin_roe_dt,indiv_fin_roa,indiv_fin_npta,indiv_fin_roic,indiv_fin_roe_yearly,indiv_fin_roa2_yearly,indiv_fin_debt_to_assets,indiv_fin_assets_to_eqt,indiv_fin_dp_assets_to_eqt,indiv_fin_ca_to_assets,indiv_fin_nca_to_assets,indiv_fin_tbassets_to_totalassets,indiv_fin_int_to_talcap,indiv_fin_eqt_to_talcapital,indiv_fin_currentdebt_to_debt,indiv_fin_longdeb_to_debt,indiv_fin_ocf_to_shortdebt,indiv_fin_debt_to_eqt,indiv_fin_eqt_to_debt,indiv_fin_eqt_to_interestdebt,indiv_fin_tangibleasset_to_debt,indiv_fin_tangasset_to_intdebt,indiv_fin_tangibleasset_to_netdebt,indiv_fin_ocf_to_debt,indiv_fin_turn_days,indiv_fin_roa_yearly,indiv_fin_roa_dp,indiv_fin_fixed_assets,indiv_fin_profit_to_op,indiv_fin_q_saleexp_to_gr,indiv_fin_q_gc_to_gr,indiv_fin_q_roe,indiv_fin_q_dt_roe,indiv_fin_q_npta,indiv_fin_q_ocf_to_sales,indiv_fin_basic_eps_yoy,indiv_fin_dt_eps_yoy,indiv_fin_cfps_yoy,indiv_fin_op_yoy,indiv_fin_ebt_yoy,indiv_fin_netprofit_yoy,indiv_fin_dt_netprofit_yoy,indiv_fin_ocf_yoy,indiv_fin_roe_yoy,indiv_fin_bps_yoy,indiv_fin_assets_yoy,indiv_fin_eqt_yoy,indiv_fin_tr_yoy,indiv_fin_or_yoy,indiv_fin_q_sales_yoy,indiv_fin_q_op_qoq,indiv_fin_equity_yoy
002594.SZ,20250830,20250630,1.71,1.71,122.1694,122.1694,33.0448,2.4264,33.5646,1910792000.0,13599741000.0,66865859000.0,0.7609,0.4866,0.3807,7.0265,0.9755,1.3673,0.4556,10366058000.0,18803901000.0,57476063000.0,-31971353163.8999,-21438414163.8999,473476124000.0,73733412000.0,54382915000.0,-57351368000.0,169580730000.0,-122720332000.0,-194574947000.0,299133107000.0,109379021000.0,5.1037,69.2493,10.4748,35.991,2.4548,6.1874,-10.5201,-7.0543,4.3199,18.0095,81.9905,13.237,4.3199,3.3427,10.7688,-0.8745,-0.3378,97.208,5.0419,5.0646,7.4317,7.43,6.5161,2.3077,1.9683,5.8871,14.8634,4.6154,71.0814,3.458,3.9042,46.1557,53.8443,20.0369,18.1802,77.6131,85.3328,14.6672,0.062,2.458,0.3859,4.2691,0.2819,3.1183,,0.0529,102.3502,3.9366,1.9035,316460598000.0,5.0932,3.1007,98.2135,2.7305,2.332,0.782,11.573,9.6154,9.6154,114.9338,8.0599,9.7624,13.7865,10.43,124.5223,-30.0189,18.2605,8.0406,25.3252,23.2972,23.2972,14.0412,-30.1415,62.5961
002594.SZ,20250426,20250331,3.12,3.12,56.0568,56.0568,32.7632,2.4264,35.4959,983358000.0,8171627000.0,34185063000.0,0.8106,0.5054,0.4156,2.9504,0.4365,0.6403,0.2098,6776541000.0,11218383000.0,,-53992394905.6014,-53070273905.6014,476780296000.0,72586268000.0,44999016000.0,-72407710000.0,173808238000.0,-95802846000.0,-184192793000.0,291160581000.0,115248431000.0,3.0124,71.8515,2.8236,37.9223,4.5942,3.6914,-17.7661,-17.4627,5.543,20.0663,79.9337,13.7366,5.543,3.6283,11.2285,-1.1202,-0.4167,96.0222,6.469,6.5851,4.374,4.37,3.9041,1.3817,1.163,3.5464,17.496,5.5268,70.7134,3.4145,3.8792,48.7782,51.2218,20.6785,15.4551,80.1487,85.0986,14.9014,0.017,2.4145,0.3926,5.1859,0.2924,3.8625,,0.0144,120.7932,4.652,1.1275,295542735000.0,6.5689,3.6283,96.0222,4.374,3.9041,1.163,5.0369,98.7261,98.7261,-19.6334,90.0608,95.735,100.3808,117.8,-16.1031,22.8676,22.7044,7.2983,25.9703,36.349,36.349,36.349,-41.1901,63.0868
002594.SZ,20250325,20241231,13.84,13.84,267.1129,267.1129,20.8573,2.5347,33.9081,3271459000.0,36982887000.0,151055839000.0,0.7471,0.5132,0.4217,12.5173,2.3104,3.1513,1.0624,33737516000.0,49290702000.0,116197078000.0,14122960990.1805,4642931990.1805,470112164000.0,70548717000.0,44006765000.0,-58731969000.0,128325361000.0,-125412932000.0,-202278654000.0,242694974000.0,106021881000.0,13.8366,58.5566,45.872,36.4428,-2.1501,16.9427,4.8545,1.5959,5.3517,19.4383,80.5617,12.5004,5.3517,3.0994,9.2445,0.1565,-0.4982,95.6585,6.4967,6.3429,24.8437,26.05,22.8246,6.7387,5.6857,18.6421,24.8437,6.7387,74.6363,3.9426,4.5143,47.3057,52.6943,16.3815,18.1325,76.3308,84.832,15.168,0.2691,2.9426,0.3168,4.2096,0.2195,2.916,,0.2283,88.5023,5.6857,5.5033,282301873000.0,6.3931,0.06,95.1752,8.8146,8.0951,1.9825,28.0809,34.1085,34.1085,-21.3199,32.4985,33.3042,33.9989,29.94,-21.3705,0.4064,22.8057,15.2761,33.4565,29.0192,29.0192,52.6607,29.9246,33.4565
002594.SZ,20241031,20240930,8.68,8.68,172.6385,172.6385,21.2989,2.5347,28.6497,2045790000.0,23192325000.0,104297749000.0,0.7071,0.4643,0.3402,7.1085,1.5123,2.0339,0.6957,20476461000.0,31249030000.0,,-76051847375.9008,-75794389375.9008,478450736000.0,64300533000.0,52705519000.0,-13613856000.0,100055179000.0,-149993159000.0,-182671395000.0,221508246000.0,90723681000.0,8.6751,53.437,19.3428,31.1844,-14.678,10.7412,-26.1413,-26.0528,5.226,20.766,79.234,14.0719,5.226,4.7627,9.1047,0.2045,-0.4977,95.9231,6.3209,6.2218,17.1529,17.15,15.7625,4.3287,3.6359,12.4268,22.8705,5.7716,77.9129,4.5275,4.9064,47.379,52.621,13.0918,23.7939,70.1836,85.9998,14.0002,0.1099,3.5275,0.2611,2.9496,0.168,1.8984,,0.0945,111.3762,4.8479,3.4961,280685456000.0,6.2358,4.7749,95.2635,7.7833,7.2938,1.6731,20.9298,18.0952,18.0952,-42.4592,19.1811,20.1574,18.1178,19.86,-42.4963,-1.3377,12.0688,12.4659,11.9965,18.9394,18.9394,24.0356,25.1504,19.7193
002594.SZ,20240829,20240630,4.68,4.68,103.5061,103.5061,21.2816,2.5347,24.6602,1315843000.0,12315414000.0,60266731000.0,0.6592,0.4101,0.321,4.5052,1.0028,1.3066,0.441,10950268000.0,17151578000.0,48835789000.0,-39856567395.1331,-50283701395.1331,431692369000.0,58228155000.0,41713108000.0,-11340193000.0,89130825000.0,-154311193000.0,-186314060000.0,196324186000.0,79117073000.0,4.6855,49.0801,4.8735,27.1949,-18.6594,5.8955,-13.6999,-17.284,4.6868,20.0137,79.9863,13.8485,4.6868,4.7545,9.0712,0.0229,-0.5084,96.3636,5.7528,5.6958,9.6814,9.67,8.7468,2.5116,2.0667,7.0908,19.3628,5.0232,77.47,4.4385,4.8502,43.4876,56.5124,12.9882,21.2471,72.7303,85.1607,14.8393,0.0313,3.4385,0.2686,3.4231,0.1677,2.1368,,0.0267,116.7358,4.1334,1.9961,273366771000.0,5.7212,4.2645,95.6247,6.3401,5.991,1.3698,2.2422,24.1379,24.1379,-82.6921,26.1592,28.569,24.4393,27.03,-82.7033,4.2887,2.9315,0.9855,2.8652,15.7627,15.7627,25.889,98.7552,19.3219
002594.SZ,20240430,20240331,1.57,1.57,42.9194,42.9194,21.3587,2.5331,24.627,816813000.0,3751980000.0,27341010000.0,0.6596,0.4371,0.3609,2.0294,0.42,0.5409,0.1841,3241824000.0,5702686000.0,,-41668556544.8917,-46101328544.8917,419400838000.0,55661116000.0,47774632000.0,-39021897000.0,88598795000.0,-151186924000.0,-213303593000.0,202721667000.0,79066852000.0,1.5694,49.1526,3.5134,27.1601,-7.6716,1.9589,-14.3135,-15.8362,3.8184,21.8825,78.1175,16.7985,3.8184,5.4453,11.5084,-0.1552,-0.5144,97.4054,4.6409,4.5642,3.2414,3.24,2.6619,0.8403,0.703,2.3634,12.9656,3.3612,77.1392,4.3743,4.8149,43.2135,56.7865,13.0718,23.5666,70.5846,84.9368,15.0632,0.023,3.3743,0.2737,2.9951,0.1695,1.8545,,0.0196,132.6094,2.812,0.6732,271065240000.0,4.5759,5.4453,97.4054,3.2414,2.6619,0.703,8.186,10.5634,10.5634,-29.295,9.4342,9.586,10.6228,5.24,-29.2949,-10.6479,3.0835,-0.2596,3.0835,3.9699,3.9699,3.9699,-49.428,23.8056
002594.SZ,20240327,20231231,10.32,10.32,206.9,206.9,21.3118,2.5331,23.0576,1578379000.0,28462432000.0,121757004000.0,0.666,0.4727,0.404,11.9632,2.2188,3.3205,1.0266,30866391000.0,36300047000.0,79852766000.0,42466183645.7222,60539327645.7222,424974926000.0,54596561000.0,49514070000.0,-59580338000.0,85958282000.0,-151545225000.0,-231947888000.0,199976183000.0,74498059000.0,10.3193,47.6823,58.3019,25.5907,19.6931,12.4693,14.5875,20.7957,5.2039,20.2148,79.7852,12.7463,5.2039,4.1857,8.8055,-0.2449,-0.3633,94.8754,6.3261,6.0268,24.0481,24.4,22.7846,6.1871,5.3424,17.722,24.0481,6.1871,77.8585,4.5164,4.6967,44.4592,55.5408,12.6493,24.76,69.4133,85.7454,14.2546,0.3741,3.5164,0.2624,2.8034,0.1625,1.736,,0.3208,98.6363,5.3424,5.1203,265712526000.0,6.1876,4.4347,95.3265,6.457,6.7844,1.3843,39.9159,80.7356,80.7356,20.5113,76.8797,76.7985,80.7243,82.01,20.5111,44.5551,25.0211,37.5991,25.0211,42.0352,42.0352,15.1355,-11.1591,25.0211
002594.SZ,20231031,20230930,7.35,7.35,145.0547,145.0547,21.2572,2.3491,20.262,2018135000.0,19348761000.0,83548169000.0,0.6562,0.4351,0.2908,9.2,1.6369,2.4837,0.756,22452182000.0,25563324000.0,,-38368499211.8302,-32655153211.8302,400755858000.0,50440080000.0,31020701000.0,-24739052000.0,90903266000.0,-144143669000.0,-181382594000.0,172087558000.0,65824144000.0,7.3397,44.6064,33.6158,22.6111,1.4027,8.7812,-13.1799,-11.2173,5.2872,19.7853,80.2147,12.1186,5.2872,4.0796,8.3402,-0.3012,-0.3328,94.683,6.308,6.0537,17.7403,17.74,16.0647,4.5765,3.9971,13.8301,23.6537,6.102,77.3671,4.4183,4.6377,44.1425,55.8575,14.5846,18.0261,75.4591,86.9478,13.0522,0.2334,3.4184,0.2693,4.1861,0.1885,2.9304,,0.2029,104.9696,5.3295,3.8253,249211922000.0,6.1726,3.9402,93.0115,8.3462,7.7379,1.7929,9.799,129.6875,129.6875,7.4956,120.4094,115.0768,129.4686,131.32,7.4954,81.1524,16.9562,26.2064,16.9563,57.749,57.749,38.4949,53.0475,26.6716
002594.SZ,20230829,20230630,3.77,3.77,89.3546,89.3546,21.3888,2.3491,16.6851,1259290000.0,9694855000.0,47672587000.0,0.6589,0.4437,0.3566,5.9195,1.0265,1.6622,0.4795,11120202000.0,13209247000.0,31334407000.0,22755625951.7152,28201708951.7152,384447629000.0,46429322000.0,29855300000.0,-49955963000.0,81388728000.0,-137682467000.0,-198251758000.0,160256456000.0,55411393000.0,3.7628,41.106,28.1577,19.0342,9.634,4.5375,7.8167,9.6875,4.3978,18.3269,81.6731,11.6823,4.3978,4.1665,7.9398,-0.424,-0.348,95.725,5.2787,5.0781,9.4967,9.36,8.4049,2.4349,2.1087,7.3991,18.9934,4.8698,77.9405,4.5332,4.7032,44.9995,55.0005,13.7683,18.6297,74.6713,87.6191,12.3809,0.2031,3.5332,0.2597,4.0082,0.1767,2.7261,,0.1779,108.6281,4.2174,2.0192,232778312000.0,5.1514,4.4228,95.0858,5.8018,5.2114,1.2422,48.2352,204.0323,204.0323,89.8135,197.0779,188.6992,204.6814,220.02,89.8133,145.977,7.7783,19.6964,7.7783,72.7169,72.7169,67.0412,59.1491,23.8658
002594.SZ,20230428,20230331,1.42,1.42,41.2806,41.2806,21.3143,2.3491,15.483,564936000.0,3565127000.0,21467013000.0,0.6868,0.4507,0.2876,3.087,0.483,0.8596,0.2309,4242710000.0,4984403000.0,,-21195948455.4156,-8629380455.4156,348765026000.0,35906148000.0,36346981000.0,-19936374000.0,80830877000.0,-117077808000.0,-148286827000.0,162431787000.0,51911836000.0,1.4187,39.7014,4.9691,17.8321,1.2742,1.7122,-7.281,-2.9643,3.6364,17.8633,82.1367,11.8643,3.6364,3.868,7.9914,0.0049,-0.4096,96.4695,4.4091,4.1477,3.6452,3.65,3.1465,0.9577,0.8396,2.7199,14.5808,3.8308,76.9541,4.3392,4.5937,46.9311,53.0689,14.7743,22.3768,71.1539,88.7941,11.2059,0.0387,3.3392,0.2745,3.1798,0.192,2.2239,,0.0344,116.8311,3.3584,0.7935,203973051000.0,4.3414,3.868,96.4695,3.6452,3.1465,0.8396,12.0373,407.1429,407.1429,21.2212,399.2955,394.7806,410.8884,593.68,21.2209,323.6663,4.0955,10.7808,4.0956,79.8328,79.8328,79.8328,-43.9684,20.5875
