indiv_margin_trade_date,indiv_margin_ts_code,indiv_margin_rzye,indiv_margin_rqye,indiv_margin_rzmre,indiv_margin_rqyl,indiv_margin_rzche,indiv_margin_rqchl,indiv_margin_rqmcl,indiv_margin_rzrqye
20251023,002594.SZ,14402639799.0,68736101.0,403011064.0,662900.0,469711527.0,52500.0,18000.0,14471375900.0
20251022,002594.SZ,14469340262.0,72376172.0,304206931.0,697400.0,493790359.0,45400.0,35200.0,14541716434.0
20251021,002594.SZ,14658923690.0,74128176.0,382262222.0,707600.0,518967292.0,18000.0,33600.0,14733051866.0
20251020,002594.SZ,14795628760.0,72327840.0,400481262.0,692000.0,346984936.0,34200.0,24000.0,14867956600.0
20251017,002594.SZ,14742132434.0,73330746.0,528050666.0,702200.0,572169288.0,39000.0,47800.0,14815463180.0
20251016,002594.SZ,14786251056.0,74166064.0,731579265.0,693400.0,720196264.0,16800.0,33100.0,14860417120.0
20251015,002594.SZ,14774868055.0,72517410.0,534827677.0,677100.0,663063515.0,25800.0,39300.0,14847385465.0
20251014,002594.SZ,14903103893.0,70334964.0,707329075.0,663600.0,792173580.0,25800.0,62100.0,14973438857.0
20251013,002594.SZ,14987948398.0,66299337.0,834450724.0,627300.0,692532543.0,47600.0,78400.0,15054247735.0
20251010,002594.SZ,14846030217.0,64296735.0,707524899.0,596500.0,735933808.0,32700.0,29800.0,14910326952.0
20251009,002594.SZ,14874439126.0,66293640.0,1717976815.0,599400.0,1310421260.0,16700.0,73100.0,14940732766.0
20250930,002594.SZ,14466883571.0,59301030.0,557070012.0,543000.0,889868042.0,29500.0,33100.0,14526184601.0
20250929,002594.SZ,14799681601.0,58584234.0,779284138.0,539400.0,1157384456.0,58000.0,12100.0,14858265835.0
20250926,002594.SZ,15177781919.0,62796837.0,1025690502.0,585300.0,1130297443.0,17800.0,41100.0,15240578756.0
20250925,002594.SZ,15282388860.0,60415000.0,1040199657.0,562000.0,905479470.0,37600.0,47100.0,15342803860.0
20250924,002594.SZ,15147668673.0,58404775.0,709097384.0,552500.0,596965190.0,47300.0,26900.0,15206073448.0
