indiv_sh_ts_code,indiv_sh_ann_date,indiv_sh_end_date,indiv_sh_holder_num
002594.SZ,20250830,20250630,323939
002594.SZ,20250426,20250331,203708
002594.SZ,20250325,20250228,199293
002594.SZ,20250325,20241231,271334
002594.SZ,20241031,20240930,270381
002594.SZ,20240829,20240630,300199
002594.SZ,20240430,20240331,361939
002594.SZ,20240327,20240229,387423
002594.SZ,20240327,20231231,378814
002594.SZ,20231031,20230930,358573
002594.SZ,20230829,20230630,331551
002594.SZ,20230428,20230331,419978
002594.SZ,20230329,20230228,352117
002594.SZ,20230329,20221231,324223
