indiv_techin_ts_code,indiv_techin_trade_date,indiv_techin_close,indiv_techin_open,indiv_techin_high,indiv_techin_low,indiv_techin_pre_close,indiv_techin_change,indiv_techin_pct_change,indiv_techin_vol,indiv_techin_amount,indiv_techin_adj_factor,indiv_techin_open_hfq,indiv_techin_open_qfq,indiv_techin_close_hfq,indiv_techin_close_qfq,indiv_techin_high_hfq,indiv_techin_high_qfq,indiv_techin_low_hfq,indiv_techin_low_qfq,indiv_techin_pre_close_hfq,indiv_techin_pre_close_qfq,indiv_techin_macd_dif,indiv_techin_macd_dea,indiv_techin_macd,indiv_techin_kdj_k,indiv_techin_kdj_d,indiv_techin_kdj_j,indiv_techin_rsi_6,indiv_techin_rsi_12,indiv_techin_rsi_24,indiv_techin_boll_upper,indiv_techin_boll_mid,indiv_techin_boll_lower,indiv_techin_cci
002594.SZ,20251023,103.69,103.3,103.73,102.0,103.78,-0.09,-0.0867,378603.42,3889661.81,3.1499,325.38467,103.3,326.61313,103.69,326.73913,103.73,321.2898,102.0,326.89662,103.78,-1.004,-0.599,-0.809,15.545,18.589,9.457,29.102,38.726,43.746,110.77,106.801,102.832,-125.429
002594.SZ,20251022,103.78,104.1,104.32,103.37,104.76,-0.98,-0.9355,357874.19,3715302.14,3.1499,327.90459,104.1,326.89662,103.78,328.59757,104.32,325.60516,103.37,329.98352,104.76,-0.893,-0.498,-0.79,11.837,20.112,-4.712,29.631,38.992,43.872,111.264,107.166,103.068,-129.783
002594.SZ,20251021,104.76,104.69,105.07,104.24,104.52,0.24,0.2296,299074.19,3133789.48,3.1499,329.76303,104.69,329.98352,104.76,330.95999,105.07,328.34558,104.24,329.22755,104.52,-0.748,-0.399,-0.697,14.9,24.249,-3.797,35.48,41.857,45.237,111.164,107.367,103.57,-104.583
002594.SZ,20251020,104.52,105.22,105.63,104.08,104.43,0.09,0.0862,355614.52,3721699.72,3.1499,331.43248,105.22,329.22755,104.52,332.72394,105.63,327.84159,104.08,328.94406,104.43,-0.651,-0.312,-0.678,18.303,28.923,-2.939,32.772,40.881,44.834,111.205,107.564,103.923,-113.132
002594.SZ,20251017,104.43,106.6,106.63,104.26,106.96,-2.53,-2.3654,625724.94,6576614.91,3.1499,335.77934,106.6,328.94406,104.43,335.87384,106.63,328.40857,104.26,336.9133,106.96,-0.494,-0.227,-0.533,24.835,34.233,6.037,31.878,40.539,44.688,111.088,107.633,104.179,-115.267
002594.SZ,20251016,106.96,107.0,109.3,106.51,107.1,-0.14,-0.1307,523096.38,5628738.8,3.1499,337.0393,107.0,336.9133,106.96,344.28407,109.3,335.49585,106.51,337.35429,107.1,-0.277,-0.161,-0.232,35.283,38.933,27.984,46.294,47.66,48.123,110.912,107.742,104.571,-2.674
002594.SZ,20251015,107.1,106.45,107.51,105.5,105.99,1.11,1.0473,475791.33,5063179.65,3.1499,335.30686,106.45,337.35429,107.1,338.64575,107.51,332.31445,105.5,333.8579,105.99,-0.253,-0.132,-0.243,35.86,40.758,26.066,47.279,48.088,48.32,110.999,107.654,104.308,-53.672
002594.SZ,20251014,105.99,106.68,109.36,105.62,105.69,0.3,0.2838,767786.27,8244228.53,3.1499,336.03133,106.68,333.8579,105.99,344.47306,109.36,332.69244,105.62,332.91293,105.69,-0.234,-0.101,-0.266,35.891,43.206,21.26,38.647,44.459,46.661,111.043,107.573,104.103,-50.916
002594.SZ,20251013,105.69,105.0,105.98,104.1,107.79,-2.1,-1.9482,744429.8,7841774.37,3.1499,330.7395,105.0,332.91293,105.69,333.8264,105.98,327.90459,104.1,339.52772,107.79,-0.093,-0.068,-0.05,42.103,46.864,32.581,36.297,43.48,46.214,111.034,107.586,104.138,-140.669
002594.SZ,20251010,107.79,110.55,110.55,107.58,110.6,-2.81,-2.5407,590102.53,6420415.51,3.1499,348.22145,110.55,339.52772,107.79,348.22145,110.55,338.86624,107.58,348.37894,110.6,0.119,-0.062,0.362,53.19,49.244,61.08,46.737,49.024,48.968,111.006,107.664,104.323,13.334
002594.SZ,20251009,110.6,108.67,112.48,108.07,109.21,1.39,1.2728,1008721.97,11196004.67,3.1499,342.29963,108.67,348.37894,110.6,354.30075,112.48,340.40969,108.07,344.00058,109.21,0.174,-0.107,0.562,57.438,47.272,77.77,68.803,58.113,53.02,111.177,107.475,103.773,110.38
002594.SZ,20250930,109.21,108.19,109.98,107.76,108.61,0.6,0.5524,567755.5,6200518.75,3.1499,340.78768,108.19,344.00058,109.21,346.426,109.98,339.43322,107.76,342.11064,108.61,-0.045,-0.177,0.265,47.241,42.189,57.347,61.264,54.269,51.102,110.719,107.306,103.892,54.099
002594.SZ,20250929,108.61,107.0,109.14,106.39,107.29,1.32,1.2303,613983.68,6621874.27,3.1499,337.0393,107.0,342.11064,108.61,343.78009,109.14,335.11786,106.39,337.95277,107.29,-0.181,-0.21,0.058,41.26,39.662,44.455,57.576,52.545,50.262,110.866,107.346,103.826,16.533
002594.SZ,20250926,107.29,107.45,111.23,107.0,107.5,-0.21,-0.1953,756612.07,8250493.0,3.1499,338.45676,107.45,337.95277,107.29,350.36338,111.23,337.0393,107.0,338.61425,107.5,-0.292,-0.218,-0.148,35.697,38.864,29.363,48.606,48.642,48.393,111.03,107.401,103.771,42.224
002594.SZ,20250925,107.5,105.34,108.8,104.87,105.71,1.79,1.6933,693482.04,7421942.41,3.1499,331.81047,105.34,338.61425,107.5,342.70912,108.8,330.33001,104.87,332.97593,105.71,-0.295,-0.199,-0.191,34.852,40.447,23.662,50.008,49.233,48.671,112.384,107.739,103.094,-14.723
002594.SZ,20250924,105.71,105.0,105.83,104.0,105.6,0.11,0.1042,548162.27,5758922.3,3.1499,330.7395,105.0,332.97593,105.71,333.35392,105.83,327.5896,104.0,332.62944,105.6,-0.315,-0.175,-0.279,32.392,43.245,10.685,37.128,43.912,46.136,112.524,107.83,103.136,-90.02
002594.SZ,20250923,105.6,107.45,107.69,104.64,107.99,-2.39,-2.2132,650962.62,6888232.05,3.1499,338.45676,107.45,332.62944,105.6,339.21273,107.69,329.60554,104.64,340.1577,107.99,-0.154,-0.14,-0.028,38.871,48.671,19.272,36.288,43.579,45.979,112.823,108.078,103.334,-55.109
002594.SZ,20250922,107.99,108.87,108.91,107.15,109.09,-1.1,-1.0083,491559.23,5293961.58,3.1499,342.92961,108.87,340.1577,107.99,343.05561,108.91,337.51179,107.15,343.62259,109.09,0.064,-0.137,0.402,52.425,53.571,50.132,47.878,49.425,48.953,113.687,108.486,103.285,23.534
002594.SZ,20250919,109.09,109.8,110.8,109.0,109.71,-0.62,-0.5651,472977.48,5188176.2,3.1499,345.85902,109.8,343.62259,109.09,349.00892,110.8,343.3391,109.0,345.57553,109.71,0.099,-0.187,0.572,59.042,54.144,68.836,54.562,52.39,50.39,114.036,108.667,103.298,79.381
002594.SZ,20250918,109.71,110.99,112.8,108.56,110.99,-1.28,-1.1533,934013.8,10362193.29,3.1499,349.6074,110.99,345.57553,109.71,355.30872,112.8,341.95314,108.56,349.6074,110.99,0.03,-0.259,0.577,62.014,51.696,82.65,58.391,54.066,51.202,114.182,108.746,103.309,105.847
002594.SZ,20250917,110.99,108.2,112.0,108.2,107.8,3.19,2.9592,981239.71,10827682.69,3.1499,340.81918,108.2,349.6074,110.99,352.7888,112.0,340.81918,108.2,339.55922,107.8,-0.122,-0.331,0.417,62.553,46.537,94.585,66.409,57.55,52.889,114.078,108.615,103.152,90.684
002594.SZ,20250916,107.8,109.0,109.0,107.22,108.7,-0.9,-0.828,533160.21,5753437.96,3.1499,343.3391,109.0,339.55922,107.8,343.3391,109.0,337.73228,107.22,342.39413,108.7,-0.445,-0.383,-0.124,49.51,38.529,71.471,53.009,50.222,48.866,113.832,108.478,103.124,11.729
002594.SZ,20250915,108.7,106.0,110.85,106.0,105.91,2.79,2.6343,974804.07,10620465.04,3.1499,333.8894,106.0,342.39413,108.7,349.16642,110.85,333.8894,106.0,333.60591,105.91,-0.525,-0.367,-0.315,43.967,33.038,65.825,58.495,52.569,50.021,113.829,108.47,103.11,17.887
002594.SZ,20250912,105.91,106.6,107.58,105.9,106.59,-0.68,-0.638,455910.18,4859782.58,3.1499,335.77934,106.6,333.60591,105.91,338.86624,107.58,333.57441,105.9,335.74784,106.59,-0.711,-0.328,-0.767,29.84,27.574,34.371,43.348,45.307,46.247,113.811,108.453,103.095,-50.674
002594.SZ,20250911,106.59,105.25,106.6,104.89,105.2,1.39,1.3213,537781.49,5683446.69,3.1499,331.52698,105.25,335.74784,106.59,335.77934,106.6,330.39301,104.89,331.36948,105.2,-0.655,-0.232,-0.845,27.238,26.441,28.831,46.818,46.912,47.078,113.805,108.461,103.117,-70.06
002594.SZ,20250910,105.2,105.52,106.45,105.02,105.49,-0.29,-0.2749,322368.95,3401353.9,3.1499,332.37745,105.52,331.36948,105.2,335.30686,106.45,330.8025,105.02,332.28295,105.49,-0.643,-0.127,-1.032,20.068,26.043,8.119,38.421,43.138,45.148,113.81,108.45,103.09,-95.301
002594.SZ,20250909,105.49,106.0,107.2,105.27,106.25,-0.76,-0.7153,381636.22,4049249.51,3.1499,333.8894,106.0,332.28295,105.49,337.66928,107.2,331.58997,105.27,334.67688,106.25,-0.476,0.002,-0.956,22.35,29.03,8.99,39.505,43.732,45.48,113.739,108.532,103.324,-93.232
002594.SZ,20250908,106.25,106.15,107.13,105.51,107.26,-1.01,-0.9416,555923.45,5910440.23,3.1499,334.36189,106.15,334.67688,106.25,337.44879,107.13,332.34595,105.51,337.85827,107.26,-0.286,0.122,-0.815,24.697,32.37,9.35,42.101,45.23,46.334,113.727,108.54,103.354,-91.641
002594.SZ,20250905,107.26,103.86,107.5,103.11,104.0,3.26,3.1346,787523.85,8307907.95,3.1499,327.14861,103.86,337.85827,107.26,338.61425,107.5,324.78619,103.11,327.5896,104.0,-0.116,0.224,-0.68,25.398,36.206,3.781,45.404,47.199,47.47,113.764,108.504,103.244,-112.48
002594.SZ,20250904,104.0,106.59,107.09,103.71,107.21,-3.21,-2.9941,815740.74,8588835.88,3.1499,335.74784,106.59,327.5896,104.0,337.32279,107.09,326.67613,103.71,337.70078,107.21,-0.001,0.309,-0.62,22.704,41.611,-15.109,30.799,39.393,43.161,113.944,108.338,102.731,-162.969
002594.SZ,20250903,107.21,110.5,110.73,107.01,110.02,-2.81,-2.5541,735223.27,7975948.72,3.1499,348.06395,110.5,337.70078,107.21,348.78843,110.73,337.0708,107.01,346.552,110.02,0.478,0.386,0.183,32.93,51.064,-3.337,39.461,45.459,46.782,113.832,108.404,102.976,-44.284
002594.SZ,20250902,110.02,108.79,111.1,108.6,109.7,0.32,0.2917,773224.1,8495472.76,3.1499,342.67762,108.79,346.552,110.02,349.95389,111.1,342.07914,108.6,345.54403,109.7,0.755,0.363,0.783,48.351,60.131,24.793,49.647,51.868,50.324,113.952,108.261,102.57,19.613
002594.SZ,20250901,109.7,108.5,111.48,108.5,114.06,-4.36,-3.8225,1329867.38,14546890.25,3.1499,341.76415,108.5,345.54403,109.7,351.15085,111.48,341.76415,108.5,359.27759,114.06,0.812,0.266,1.093,56.782,66.02,38.304,48.382,51.149,49.91,113.818,108.003,102.188,25.549
002594.SZ,20250829,114.06,108.88,116.59,108.12,109.32,4.74,4.3359,1144901.94,12973326.09,3.1499,342.96111,108.88,359.27759,114.06,367.24684,116.59,340.56719,108.12,344.34707,109.32,0.906,0.129,1.553,67.734,70.64,61.921,67.678,62.879,56.003,113.674,107.762,101.85,129.669
002594.SZ,20250828,109.32,109.39,110.19,107.11,110.68,-1.36,-1.2288,762521.99,8278465.96,3.1499,344.56756,109.39,344.34707,109.32,347.08748,110.19,337.38579,107.11,348.63093,110.68,0.568,-0.065,1.266,63.557,72.093,46.485,49.393,51.882,49.592,112.556,107.349,102.142,21.674
002594.SZ,20250827,110.68,113.96,114.06,110.66,113.75,-3.07,-2.6989,689746.93,7761766.93,3.1499,358.9626,113.96,348.63093,110.68,359.27759,114.06,348.56793,110.66,358.30113,113.75,0.611,-0.223,1.669,75.07,76.361,72.488,57.119,56.266,51.662,112.346,107.145,101.944,127.322
002594.SZ,20250826,113.75,111.75,114.69,110.71,111.61,2.14,1.9174,692915.85,7850511.03,3.1499,352.00133,111.75,358.30113,113.75,361.26203,114.69,348.72543,110.71,351.56034,111.61,0.519,-0.432,1.902,84.003,77.007,97.995,80.932,68.19,56.79,112.046,107.046,102.046,203.568
002594.SZ,20250825,111.61,111.31,112.49,110.31,110.66,0.95,0.8585,611627.58,6803182.88,3.1499,350.61537,111.31,351.56034,111.61,354.33225,112.49,347.46547,110.31,348.56793,110.66,0.081,-0.67,1.503,81.02,73.508,96.044,74.839,63.208,53.721,111.377,106.93,102.482,197.777
002594.SZ,20250822,110.66,107.11,110.97,107.11,107.1,3.56,3.324,763120.05,8351469.73,3.1499,337.38579,107.11,348.56793,110.66,349.5444,110.97,337.38579,107.11,337.35429,107.1,-0.261,-0.858,1.194,77.667,69.753,93.496,71.465,60.704,52.28,111.227,106.9,102.572,160.846
002594.SZ,20250821,107.1,107.8,108.83,107.0,108.25,-1.15,-1.0624,449463.78,4843670.25,3.1499,339.55922,107.8,337.35429,107.1,342.80362,108.83,337.0393,107.0,340.97668,108.25,-0.596,-1.007,0.821,68.973,65.795,75.328,50.913,48.71,46.268,111.382,106.932,102.483,92.278
002594.SZ,20250820,108.25,107.18,108.26,106.01,107.63,0.62,0.576,385053.45,4130459.25,3.1499,337.60628,107.18,340.97668,108.25,341.00817,108.26,333.9209,106.01,339.02374,107.63,-0.654,-1.11,0.911,72.549,64.206,89.233,63.158,53.55,48.146,112.376,107.222,102.068,102.317
002594.SZ,20250819,107.63,108.67,108.92,107.18,108.37,-0.74,-0.6828,389735.19,4205349.33,3.1499,342.29963,108.67,339.02374,107.63,343.08711,108.92,337.60628,107.18,341.35466,108.37,-0.835,-1.224,0.777,68.727,60.035,86.111,58.695,51.151,47.035,112.826,107.378,101.929,147.185
002594.SZ,20250818,108.37,105.66,109.49,105.66,106.07,2.3,2.1684,619251.73,6680761.82,3.1499,332.81843,105.66,341.35466,108.37,344.88255,109.49,332.81843,105.66,334.10989,106.07,-0.991,-1.321,0.659,67.947,55.689,92.463,66.737,54.214,48.216,113.523,107.624,101.725,126.137
002594.SZ,20250815,106.07,105.85,106.64,105.32,106.37,-0.3,-0.282,361353.46,3831047.05,3.1499,333.41692,105.85,334.10989,106.07,335.90534,106.64,331.74747,105.32,335.05486,106.37,-1.251,-1.403,0.304,60.866,49.56,83.479,48.44,44.797,44.03,113.695,107.709,101.722,-0.919
