indiv_techin_ts_code,indiv_techin_trade_date,indiv_techin_close,indiv_techin_open,indiv_techin_high,indiv_techin_low,indiv_techin_pre_close,indiv_techin_change,indiv_techin_pct_change,indiv_techin_vol,indiv_techin_amount,indiv_techin_adj_factor,indiv_techin_open_hfq,indiv_techin_open_qfq,indiv_techin_close_hfq,indiv_techin_close_qfq,indiv_techin_high_hfq,indiv_techin_high_qfq,indiv_techin_low_hfq,indiv_techin_low_qfq,indiv_techin_pre_close_hfq,indiv_techin_pre_close_qfq,indiv_techin_macd_dif,indiv_techin_macd_dea,indiv_techin_macd,indiv_techin_kdj_k,indiv_techin_kdj_d,indiv_techin_kdj_j,indiv_techin_rsi_6,indiv_techin_rsi_12,indiv_techin_rsi_24,indiv_techin_boll_upper,indiv_techin_boll_mid,indiv_techin_boll_lower,indiv_techin_cci
600036.SH,20251023,42.24,41.95,42.49,41.78,41.95,0.29,0.6913,713173.73,3004975.8,6.3201,265.1282,41.95,266.96102,42.24,268.54105,42.49,264.05378,41.78,265.1282,41.95,-0.112,-0.36,0.495,84.472,75.439,102.54,71.466,58.855,50.753,42.373,41.141,39.909,112.175
600036.SH,20251022,41.95,41.98,42.2,41.73,41.98,-0.03,-0.0715,551333.64,2311324.89,6.3201,265.3178,41.98,265.1282,41.95,266.70822,42.2,263.73777,41.73,265.3178,41.98,-0.19,-0.421,0.462,81.189,70.922,101.723,66.102,55.509,48.885,42.279,41.117,39.955,112.942
600036.SH,20251021,41.98,41.49,42.1,41.49,41.42,0.56,1.352,759931.24,3184239.23,6.3201,262.22095,41.49,265.3178,41.98,266.07621,42.1,262.22095,41.49,261.77854,41.42,-0.258,-0.479,0.443,77.14,65.788,99.845,67.191,55.941,49.069,42.243,41.107,39.971,112.046
600036.SH,20251020,41.42,41.61,41.79,41.1,41.59,-0.17,-0.4088,649477.29,2694843.44,6.3201,262.97936,41.61,261.77854,41.42,264.11698,41.79,259.75611,41.1,262.85296,41.59,-0.343,-0.535,0.384,70.472,60.112,91.194,55.887,49.183,45.379,42.296,41.119,39.942,67.476
600036.SH,20251017,41.59,41.88,42.22,41.38,41.93,-0.34,-0.8109,829827.05,3470670.3,6.3201,264.68579,41.88,262.85296,41.59,266.83462,42.22,261.52574,41.38,265.00179,41.93,-0.389,-0.583,0.387,71.582,54.932,104.882,61.223,51.376,46.356,42.501,41.175,39.849,120.575
600036.SH,20251016,41.93,41.5,41.99,41.13,41.5,0.43,1.0361,1062487.76,4427156.85,6.3201,262.28415,41.5,265.00179,41.93,265.381,41.99,259.94571,41.13,262.28415,41.5,-0.46,-0.631,0.341,69.873,46.606,116.405,72.809,55.949,48.352,42.872,41.26,39.649,136.659
600036.SH,20251015,41.5,41.25,41.57,41.01,41.26,0.24,0.5817,1062767.02,4392820.74,6.3201,260.70413,41.25,262.28415,41.5,262.72656,41.57,259.1873,41.01,260.76733,41.26,-0.579,-0.674,0.189,56.119,34.973,98.41,66.034,50.88,45.509,43.075,41.314,39.553,96.702
600036.SH,20251014,41.26,40.09,41.49,39.83,40.11,1.15,2.8671,1733826.68,7102543.6,6.3201,253.37281,40.09,260.76733,41.26,262.22095,41.49,251.72958,39.83,253.49921,40.11,-0.679,-0.697,0.037,36.05,24.401,59.349,61.583,47.808,43.856,43.261,41.38,39.5,-3.53
600036.SH,20251013,40.11,39.76,40.3,39.7,40.18,-0.07,-0.1742,1065936.17,4266014.5,6.3201,251.28718,39.76,253.49921,40.11,254.70003,40.3,250.90797,39.7,253.94162,40.18,-0.771,-0.702,-0.139,18.459,18.576,18.225,19.399,28.038,34.77,43.373,41.439,39.505,-135.113
600036.SH,20251010,40.18,40.3,40.65,40.13,40.33,-0.15,-0.3719,955049.79,3852817.64,6.3201,254.70003,40.3,253.94162,40.18,256.91207,40.65,253.62561,40.13,254.88963,40.33,-0.761,-0.684,-0.153,18.327,18.634,17.713,20.543,28.643,35.101,43.486,41.572,39.657,-109.922
600036.SH,20251009,40.33,40.21,40.44,39.82,40.41,-0.08,-0.198,972319.53,3900217.89,6.3201,254.13122,40.21,254.88963,40.33,255.58484,40.44,251.66638,39.82,255.39524,40.41,-0.744,-0.665,-0.158,18.795,18.788,18.811,22.962,29.912,35.802,43.621,41.715,39.809,-128.93
600036.SH,20250930,40.41,40.65,40.79,40.41,40.68,-0.27,-0.6637,700025.2,2836889.51,6.3201,256.91207,40.65,255.39524,40.41,257.79688,40.79,255.39524,40.41,257.10167,40.68,-0.727,-0.645,-0.163,15.874,18.784,10.055,24.23,30.574,36.171,43.705,41.843,39.982,-99.392
600036.SH,20250929,40.68,40.77,41.29,40.36,40.8,-0.12,-0.2941,835550.55,3407163.06,6.3201,257.67048,40.77,257.10167,40.68,260.95693,41.29,255.07924,40.36,257.86008,40.8,-0.703,-0.625,-0.156,20.352,20.239,20.579,28.684,32.821,37.419,43.858,41.995,40.132,-85.184
600036.SH,20250926,40.8,40.81,41.0,40.3,40.82,-0.02,-0.049,682766.67,2773964.88,6.3201,257.92328,40.81,257.86008,40.8,259.1241,41.0,254.70003,40.3,257.98648,40.82,-0.689,-0.606,-0.167,20.476,20.182,21.062,30.779,33.834,37.977,43.823,42.06,40.297,-104.129
600036.SH,20250925,40.82,41.32,41.36,40.81,41.32,-0.5,-1.2101,666948.87,2730478.55,6.3201,261.14653,41.32,257.98648,40.82,261.39934,41.36,257.92328,40.81,261.14653,41.32,-0.674,-0.585,-0.178,18.976,20.036,16.858,31.095,33.995,38.067,43.863,42.164,40.466,-93.199
600036.SH,20250924,41.32,41.5,41.89,41.29,41.55,-0.23,-0.5535,643899.51,2672303.42,6.3201,262.28415,41.5,261.14653,41.32,264.74899,41.89,260.95693,41.29,262.60016,41.55,-0.646,-0.562,-0.168,22.438,20.565,26.183,39.539,38.136,40.376,43.888,42.272,40.657,-57.568
600036.SH,20250923,41.55,40.98,41.75,40.63,40.92,0.63,1.5396,938850.81,3891395.84,6.3201,258.9977,40.98,262.60016,41.55,263.86418,41.75,256.78566,40.63,258.61849,40.92,-0.653,-0.541,-0.223,20.472,19.629,22.157,44.133,40.202,41.485,43.94,42.356,40.773,-85.896
600036.SH,20250922,40.92,41.15,41.37,40.8,41.0,-0.08,-0.1951,656110.3,2688228.05,6.3201,260.07212,41.15,258.61849,40.92,261.46254,41.37,257.86008,40.8,259.1241,41.0,-0.675,-0.513,-0.324,13.584,19.208,2.338,23.967,30.791,36.938,44.07,42.455,40.84,-132.774
600036.SH,20250919,41.0,40.8,41.53,40.55,40.83,0.17,0.4164,836563.07,3440376.83,6.3201,257.86008,40.8,259.1241,41.0,262.47375,41.53,256.28006,40.55,258.04968,40.83,-0.63,-0.473,-0.314,14.041,22.02,-1.916,24.919,31.365,37.29,44.168,42.602,41.037,-172.886
