indiv_chip_ts_code,indiv_chip_trade_date,indiv_chip_his_low,indiv_chip_his_high,indiv_chip_cost_5pct,indiv_chip_cost_15pct,indiv_chip_cost_50pct,indiv_chip_cost_85pct,indiv_chip_cost_95pct,indiv_chip_weight_avg,indiv_chip_winner_rate
600519.SH,20251023,19.3,2335.3,1351.0,1408.9,1466.8,1679.1,2084.4,1536.4,52.24
600519.SH,20251022,19.3,2335.3,1351.0,1408.9,1466.8,1679.1,2084.4,1536.63,42.01
600519.SH,20251021,19.3,2335.3,1351.0,1408.9,1466.8,1679.1,2084.4,1536.69,41.92
600519.SH,20251020,19.3,2335.3,1351.0,1408.9,1466.8,1679.1,2084.4,1536.74,41.93
600519.SH,20251017,19.3,2335.3,1351.0,1408.9,1466.8,1679.1,2084.4,1536.8,41.94
600519.SH,20251016,19.3,2335.3,1351.0,1408.9,1466.8,1679.1,2084.4,1536.76,51.67
600519.SH,20251015,19.3,2335.3,1351.0,1408.9,1466.8,1679.1,2084.4,1536.82,42.44
600519.SH,20251014,19.3,2335.3,1351.0,1408.9,1466.8,1679.1,2084.4,1536.57,42.15
600519.SH,20251013,19.3,2335.3,1331.7,1408.9,1466.8,1679.1,2084.4,1537.54,19.79
600519.SH,20251010,19.3,2335.3,1331.7,1408.9,1466.8,1679.1,2084.4,1537.99,30.93
600519.SH,20251009,19.3,2335.3,1331.7,1408.9,1466.8,1679.1,2084.4,1538.23,30.62
600519.SH,20250930,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1538.65,30.16
600519.SH,20250929,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1538.89,40.17
600519.SH,20250926,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1539.09,30.31
600519.SH,20250925,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1539.45,29.91
600519.SH,20250924,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1539.64,29.69
600519.SH,20250923,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1539.94,29.64
600519.SH,20250922,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1539.89,38.79
600519.SH,20250919,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1540.26,47.93
600519.SH,20250918,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1539.88,47.72
600519.SH,20250917,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1540.38,55.84
600519.SH,20250916,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1540.24,55.96
600519.SH,20250915,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1539.91,63.37
600519.SH,20250912,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1539.63,63.32
600519.SH,20250911,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1539.67,63.51
600519.SH,20250910,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1538.99,63.66
600519.SH,20250909,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1539.05,57.66
600519.SH,20250908,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1538.64,57.77
600519.SH,20250905,19.3,2335.3,1331.7,1408.9,1466.8,1679.1,2084.4,1538.79,50.26
600519.SH,20250904,19.3,2335.3,1331.7,1408.9,1466.8,1679.1,2084.4,1538.39,50.2
600519.SH,20250903,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1538.8,49.97
600519.SH,20250902,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1538.55,57.12
600519.SH,20250901,19.3,2335.3,1331.7,1408.9,1466.8,1679.1,2084.4,1538.86,50.37
600519.SH,20250829,19.3,2335.3,1331.7,1408.9,1466.8,1679.1,2084.4,1538.61,50.31
600519.SH,20250828,19.3,2335.3,1331.7,1408.9,1466.8,1679.1,2084.4,1538.96,33.41
600519.SH,20250827,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1539.03,42.72
600519.SH,20250826,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1539.5,49.39
600519.SH,20250825,19.3,2335.3,1331.7,1408.9,1486.1,1679.1,2084.4,1539.18,55.81
600519.SH,20250822,19.3,2335.3,1331.7,1408.9,1486.1,1698.4,2084.4,1539.21,43.47
600519.SH,20250821,19.3,2335.3,1331.7,1408.9,1486.1,1698.4,2084.4,1539.61,43.19
600519.SH,20250820,19.3,2335.3,1331.7,1408.9,1486.1,1698.4,2084.4,1539.95,42.96
600519.SH,20250819,19.3,2335.3,1331.7,1408.9,1486.1,1698.4,2084.4,1540.08,34.4
600519.SH,20250818,19.3,2335.3,1331.7,1408.9,1486.1,1698.4,2084.4,1540.44,34.12
600519.SH,20250815,19.3,2335.3,1331.7,1408.9,1486.1,1698.4,2084.4,1540.97,24.14
600519.SH,20250814,19.3,2335.3,1331.7,1408.9,1486.1,1698.4,2084.4,1541.41,24.02
600519.SH,20250813,19.3,2335.3,1331.7,1408.9,1486.1,1698.4,2084.4,1541.44,24.17
600519.SH,20250812,19.3,2335.3,1312.4,1408.9,1486.1,1698.4,2084.4,1542.48,32.53
600519.SH,20250811,19.3,2335.3,1312.4,1408.9,1486.1,1698.4,2084.4,1542.74,32.67
600519.SH,20250808,19.3,2335.3,1312.4,1408.9,1486.1,1698.4,2084.4,1542.76,24.31
600519.SH,20250807,19.3,2335.3,1312.4,1408.9,1486.1,1698.4,2084.4,1543.25,24.16
600519.SH,20250806,19.3,2335.3,1312.4,1408.9,1486.1,1698.4,2084.4,1543.54,23.93
600519.SH,20250805,19.3,2335.3,1312.4,1408.9,1486.1,1698.4,2084.4,1543.59,23.86
600519.SH,20250804,19.3,2335.3,1312.4,1408.9,1486.1,1698.4,2084.4,1543.64,23.78
600519.SH,20250801,19.3,2335.3,1312.4,1408.9,1486.1,1698.4,2084.4,1543.98,23.62
600519.SH,20250731,19.3,2335.3,1312.4,1408.9,1486.1,1698.4,2084.4,1544.18,23.36
600519.SH,20250730,19.3,2335.3,1312.4,1408.9,1486.1,1698.4,2084.4,1544.99,38.05
600519.SH,20250729,19.3,2335.3,1312.4,1408.9,1486.1,1698.4,2084.4,1545.18,30.62
600519.SH,20250728,19.3,2335.3,1312.4,1408.9,1486.1,1698.4,2084.4,1545.33,30.58
600519.SH,20250725,19.3,2335.3,1312.4,1408.9,1486.1,1698.4,2084.4,1545.5,37.25
600519.SH,20250724,19.3,2335.3,1312.4,1408.9,1486.1,1698.4,2084.4,1545.96,50.42
600519.SH,20250723,19.3,2335.3,1312.4,1389.6,1486.1,1698.4,2084.4,1545.99,43.65
600519.SH,20250722,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1545.44,37.85
600519.SH,20250721,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1545.99,31.3
600519.SH,20250718,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1546.18,31.13
600519.SH,20250717,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1546.56,24.43
600519.SH,20250716,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1546.64,24.25
600519.SH,20250715,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1546.84,24.08
600519.SH,20250714,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1547.16,23.71
600519.SH,20250711,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1547.61,23.61
600519.SH,20250710,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1548.32,23.77
600519.SH,20250709,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1548.48,23.63
600519.SH,20250708,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1548.94,23.53
600519.SH,20250707,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1549.15,23.37
600519.SH,20250704,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1549.41,23.17
600519.SH,20250703,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1549.72,23.07
600519.SH,20250702,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1550.01,22.82
600519.SH,20250701,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1550.4,15.82
600519.SH,20250630,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1550.78,22.29
600519.SH,20250627,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1551.21,15.58
600519.SH,20250626,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1551.6,21.53
600519.SH,20250625,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1552.36,15.65
600519.SH,20250624,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1552.68,20.76
600519.SH,20250623,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1553.36,15.48
600519.SH,20250620,19.3,2335.3,1312.4,1389.6,1505.4,1698.4,2084.4,1553.68,15.15
600519.SH,20250619,19.3,2335.3,1312.4,1408.9,1505.4,1698.4,2084.4,1554.53,14.97
600519.SH,20250618,19.3,2335.3,1312.4,1408.9,1505.4,1698.4,2084.4,1554.78,14.71
600519.SH,20250617,19.3,2335.3,1312.4,1408.9,1505.4,1698.4,2084.4,1555.25,14.54
600519.SH,20250616,19.3,2335.3,1312.4,1408.9,1505.4,1698.4,2084.4,1555.58,14.2
600519.SH,20250613,19.3,2335.3,1312.4,1408.9,1505.4,1698.4,2084.4,1556.53,13.66
600519.SH,20250612,19.3,2335.3,1312.4,1408.9,1505.4,1698.4,2084.4,1557.65,21.92
600519.SH,20250611,19.3,2335.3,1312.4,1408.9,1505.4,1698.4,2084.4,1558.15,28.21
600519.SH,20250610,19.3,2335.3,1312.4,1408.9,1505.4,1698.4,2084.4,1558.27,21.7
600519.SH,20250609,19.3,2335.3,1312.4,1408.9,1505.4,1698.4,2084.4,1558.73,27.67
600519.SH,20250606,19.3,2335.3,1312.4,1408.9,1524.7,1698.4,2084.4,1558.96,34.13
600519.SH,20250605,19.3,2335.3,1312.4,1408.9,1524.7,1698.4,2084.4,1559.07,34.09
600519.SH,20250604,19.3,2335.3,1312.4,1408.9,1524.7,1698.4,2084.4,1559.17,34.05
600519.SH,20250603,19.3,2335.3,1312.4,1408.9,1524.7,1698.4,2084.4,1559.28,34.01
600519.SH,20250530,19.3,2335.3,1312.4,1408.9,1524.7,1698.4,2084.4,1559.1,40.99
600519.SH,20250529,19.3,2335.3,1312.4,1408.9,1524.7,1698.4,2084.4,1559.16,49.0
600519.SH,20250528,19.3,2335.3,1312.4,1408.9,1524.7,1698.4,2084.4,1559.44,48.98
600519.SH,20250527,19.3,2335.3,1312.4,1408.9,1524.7,1698.4,2084.4,1559.27,48.9
600519.SH,20250526,19.3,2335.3,1312.4,1408.9,1524.7,1698.4,2084.4,1559.2,48.95
600519.SH,20250523,19.3,2335.3,1312.4,1408.9,1524.7,1698.4,2084.4,1558.92,56.68
600519.SH,20250522,19.3,2335.3,1312.4,1408.9,1524.7,1698.4,2084.4,1559.08,63.37
600519.SH,20250521,19.3,2335.3,1312.4,1408.9,1524.7,1698.4,2084.4,1558.68,63.34
600519.SH,20250520,19.3,2335.3,1312.4,1408.9,1524.7,1698.4,2084.4,1558.64,63.45
600519.SH,20250519,19.3,2335.3,1312.4,1408.9,1524.7,1698.4,2084.4,1558.6,63.56
600519.SH,20250516,19.3,2335.3,1312.4,1408.9,1505.4,1698.4,2084.4,1558.33,72.55
600519.SH,20250515,19.3,2335.3,1312.4,1408.9,1505.4,1698.4,2084.4,1557.69,72.69
600519.SH,20250514,19.3,2335.3,1312.4,1408.9,1505.4,1698.4,2084.4,1557.61,77.08
600519.SH,20250513,19.3,2335.3,1312.4,1408.9,1505.4,1698.4,2084.4,1557.09,64.62
600519.SH,20250512,19.3,2335.3,1312.4,1408.9,1505.4,1698.4,2084.4,1556.59,69.07
600519.SH,20250509,19.3,2335.3,1312.4,1408.9,1505.4,1698.4,2084.4,1556.6,65.04
600519.SH,20250508,19.3,2335.3,1312.4,1408.9,1505.4,1698.4,2084.4,1556.23,65.17
600519.SH,20250507,19.3,2335.3,1312.4,1408.9,1505.4,1698.4,2084.4,1556.23,59.5
