indiv_d_ts_code,indiv_d_trade_date,indiv_d_open,indiv_d_high,indiv_d_low,indiv_d_close,indiv_d_pre_close,indiv_d_change,indiv_d_pct_chg,indiv_d_vol,indiv_d_amount
600519.SH,20251023,12083.77,12198.38,12019.0,12191.57,12114.5,77.06999999999971,0.64,29322.35,4274652.09
600519.SH,20251022,12142.57,12172.89,12092.08,12114.5,12144.07,-29.56999999999971,-0.24,18194.92,2657486.636
600519.SH,20251021,12116.99,12207.85,12087.93,12144.07,12108.11,35.95999999999913,0.3,25442.67,3727984.13
600519.SH,20251020,12083.77,12204.2,12082.78,12108.11,12083.77,24.340000000000146,0.2,25949.88,3793283.759
600519.SH,20251017,12317.15,12357.84,12075.72,12083.77,12332.18,-248.40999999999985,-2.01,38085.89,5594724.9
600519.SH,20251016,12141.25,12332.51,12116.0,12332.18,12141.91,190.27000000000044,1.57,45730.15,6749162.949
600519.SH,20251015,12050.39,12150.22,12001.39,12141.91,12050.72,91.19000000000051,0.76,42785.4,6233407.482
600519.SH,20251014,11876.07,12158.52,11876.07,12050.72,11786.46,264.2600000000002,2.24,66672.33,9639484.605
600519.SH,20251013,11757.39,11816.77,11752.57,11786.46,11876.15,-89.69000000000051,-0.76,46068.8,6533147.458
600519.SH,20251010,11939.27,11958.7,11855.39,11876.15,11932.46,-56.30999999999949,-0.47,36001.44,5157459.262
600519.SH,20251009,11925.98,11954.05,11793.1,11932.46,11992.34,-59.88000000000102,-0.5,54918.12,7845448.947
600519.SH,20250930,12125.3,12131.61,11959.2,11992.34,12132.44,-140.10000000000036,-1.15,39363.62,5687474.876
600519.SH,20250929,11954.05,12208.27,11917.67,12132.44,11917.67,214.77000000000044,1.8,53684.03,7798434.586
600519.SH,20250926,11969.0,12018.25,11859.62,11917.67,11950.9,-33.22999999999956,-0.28,45120.71,6480889.597
600519.SH,20250925,11982.7,12002.47,11925.98,11950.9,11975.81,-24.909999999999854,-0.21,33869.73,4873274.661
600519.SH,20250924,11909.95,12098.56,11909.95,11975.81,12020.82,-45.01000000000022,-0.37,30743.5,4443052.872
600519.SH,20250923,12046.4,12104.54,11959.2,12020.82,12070.07,-49.25,-0.41,38663.0,5588384.388
600519.SH,20250922,12167.57,12191.49,12042.33,12070.07,12191.49,-121.42000000000007,-1.0,34947.08,5085057.536
600519.SH,20250919,12191.66,12254.03,12100.47,12191.49,12191.41,0.07999999999992724,0.0,32636.62,4784528.851
600519.SH,20250918,12391.06,12439.23,12154.37,12191.41,12399.36,-207.95000000000073,-1.68,49721.25,7347477.479
600519.SH,20250917,12457.42,12542.88,12374.53,12399.36,12457.33,-57.969999999999345,-0.47,30330.54,4534770.634
600519.SH,20250916,12582.91,12631.82,12426.02,12457.33,12582.91,-125.57999999999993,-1.0,32717.89,4928374.478
600519.SH,20250915,12589.3,12602.67,12469.96,12582.91,12590.38,-7.469999999999345,-0.06,25827.03,3901929.718
600519.SH,20250912,12673.43,12773.26,12544.95,12590.38,12652.67,-62.29000000000087,-0.49,33722.09,5132184.935
600519.SH,20250911,12640.29,12673.6,12528.09,12652.67,12640.29,12.3799999999992,0.1,37238.96,5642778.456
600519.SH,20250910,12512.81,12706.23,12424.28,12640.29,12499.02,141.27000000000044,1.13,49663.31,7541460.049
600519.SH,20250909,12499.02,12540.13,12402.85,12499.02,12467.72,31.30000000000109,0.25,35742.77,5366650.005
600519.SH,20250908,12316.31,12510.98,12270.64,12467.72,12316.31,151.40999999999985,1.23,51382.98,7682065.696
600519.SH,20250905,12216.65,12349.29,12158.52,12316.31,12230.44,85.86999999999898,0.7,37388.48,5519312.163
600519.SH,20250904,12224.96,12285.59,12129.2,12230.44,12295.97,-65.52999999999884,-0.53,47746.76,7017084.75
600519.SH,20250903,12382.75,12486.57,12175.13,12295.97,12385.25,-89.28000000000065,-0.72,45045.03,6656011.145
600519.SH,20250902,12280.27,12532.24,12274.79,12385.25,12259.01,126.23999999999978,1.03,56688.37,8470012.816
600519.SH,20250901,12309.67,12357.84,12172.64,12259.01,12291.4,-32.38999999999942,-0.26,45123.38,6658918.555
600519.SH,20250829,12067.16,12312.83,12058.86,12291.4,12009.86,281.53999999999905,2.34,62256.48,9159701.454
600519.SH,20250828,12025.39,12092.91,11948.98,12009.86,12025.64,-15.779999999998836,-0.13,39281.77,5683673.273
600519.SH,20250827,12307.01,12332.34,12025.64,12025.64,12304.77,-279.130000000001,-2.27,56006.09,8184169.113
600519.SH,20250826,12377.11,12409.58,12291.48,12304.77,12377.19,-72.42000000000007,-0.59,39602.13,5883917.0
600519.SH,20250825,12208.43,12424.28,12175.13,12377.19,12158.1,219.09000000000015,1.8,65324.55,9676719.498
600519.SH,20250822,12032.95,12158.52,11998.81,12158.1,12027.72,130.38000000000102,1.08,44970.58,6544867.368
600519.SH,20250821,12070.9,12083.69,11989.51,12027.72,12042.25,-14.530000000000655,-0.12,30890.57,4470441.662
600519.SH,20250820,11942.59,12065.5,11876.32,12042.25,11942.59,99.65999999999985,0.83,45804.66,6623095.725
600519.SH,20250819,11905.22,12014.51,11892.76,11942.59,11863.69,78.89999999999964,0.67,46371.86,6678541.001
600519.SH,20250818,11851.15,11931.3,11818.85,11863.69,11810.37,53.31999999999971,0.45,47377.98,6773477.871
600519.SH,20250815,11843.01,11865.02,11794.93,11810.37,11851.15,-40.779999999998836,-0.34,47581.65,6772436.997
600519.SH,20250814,11800.91,12021.57,11800.91,11851.15,11793.52,57.6299999999992,0.49,48129.3,6897535.33
600519.SH,20250813,11834.62,11906.71,11793.1,11793.52,11934.62,-141.10000000000036,-1.18,65527.54,9325460.101
600519.SH,20250812,12033.94,12167.41,11925.98,11934.62,12000.73,-66.10999999999876,-0.55,42019.23,6095342.036
600519.SH,20250811,11822.17,12058.78,11818.01,12000.73,11801.16,199.5699999999997,1.69,47159.07,6794034.09
600519.SH,20250808,11818.43,11847.08,11776.49,11801.16,11812.62,-11.460000000000946,-0.1,18655.28,2651478.118
