indiv_din_ts_code,indiv_din_trade_date,indiv_din_close,indiv_din_turnover_rate,indiv_din_turnover_rate_f,indiv_din_volume_ratio,indiv_din_pe,indiv_din_pe_ttm,indiv_din_pb,indiv_din_ps,indiv_din_ps_ttm,indiv_din_dv_ratio,indiv_din_dv_ttm,indiv_din_total_share,indiv_din_float_share,indiv_din_free_share,indiv_din_total_mv,indiv_din_circ_mv
600519.SH,20251023,1467.98,0.2342,0.5379,0.96,21.3191,20.4403,7.9017,10.7567,10.3069,3.7419,3.518,125227.0215,125227.0215,54514.113,183830763.0216,183830763.0216
600519.SH,20251022,1458.7,0.1453,0.3338,0.51,21.1843,20.3111,7.8518,10.6887,10.2417,3.7657,3.5404,125227.0215,125227.0215,54514.113,182668656.2621,182668656.2621
600519.SH,20251021,1462.26,0.2032,0.4667,0.58,21.236,20.3606,7.8709,10.7148,10.2667,3.7565,3.5318,125227.0215,125227.0215,54514.113,183114464.4586,183114464.4586
600519.SH,20251020,1457.93,0.2072,0.476,0.54,21.1732,20.3004,7.8476,10.683,10.2363,3.7677,3.5423,125227.0215,125227.0215,54514.113,182572231.4555,182572231.4555
600519.SH,20251017,1455.0,0.3041,0.6986,0.8,21.1306,20.2596,7.8319,10.6616,10.2157,3.7752,3.5494,125227.0215,125227.0215,54514.113,182205316.2825,182205316.2825
600519.SH,20251016,1484.91,0.3652,0.8389,0.93,21.565,20.676,7.9928,10.8807,10.4257,3.6992,3.4779,125227.0215,125227.0215,54514.113,185950856.4956,185950856.4956
600519.SH,20251015,1462.0,0.3417,0.7848,0.88,21.2323,20.357,7.8695,10.7129,10.2649,3.7572,3.5324,125227.0215,125227.0215,54514.113,183081905.433,183081905.433
600519.SH,20251014,1451.02,0.5324,1.223,1.45,21.0728,20.2041,7.8104,10.6324,10.1878,3.7856,3.5591,125227.0215,125227.0215,54514.113,181706912.7369,181706912.7369
600519.SH,20251013,1419.2,0.3679,0.8451,1.01,20.6107,19.7611,7.6391,10.3992,9.9644,3.8705,3.6389,125227.0215,125227.0215,54514.113,177722188.9128,177722188.9128
600519.SH,20251010,1430.0,0.2875,0.6604,0.79,20.7675,19.9115,7.6973,10.4784,10.0402,3.8412,3.6114,125227.0215,125227.0215,54514.113,179074640.745,179074640.745
600519.SH,20251009,1436.78,0.4385,1.0074,1.35,20.866,20.0059,7.7338,10.5281,10.0878,3.8231,3.5944,125227.0215,125227.0215,54514.113,179923679.9508,179923679.9508
600519.SH,20250930,1443.99,0.3143,0.7221,0.97,20.9707,20.1063,7.7726,10.5809,10.1384,3.804,3.5765,125227.0215,125227.0215,54514.113,180826566.7758,180826566.7758
600519.SH,20250929,1460.86,0.4287,0.9848,1.46,21.2157,20.3412,7.8634,10.7045,10.2569,3.7601,3.5352,125227.0215,125227.0215,54514.113,182939146.6285,182939146.6285
600519.SH,20250926,1435.0,0.3603,0.8277,1.32,20.8402,19.9811,7.7242,10.515,10.0753,3.8279,3.5989,125227.0215,125227.0215,54514.113,179700775.8525,179700775.8525
600519.SH,20250925,1439.0,0.2705,0.6213,0.91,20.8982,20.0368,7.7457,10.5443,10.1034,3.8172,3.5889,125227.0215,125227.0215,54514.113,180201683.9385,180201683.9385
600519.SH,20250924,1442.0,0.2455,0.564,0.83,20.9418,20.0785,7.7619,10.5663,10.1245,3.8093,3.5814,125227.0215,125227.0215,54514.113,180577365.003,180577365.003
600519.SH,20250923,1447.42,0.3087,0.7092,1.07,21.0205,20.154,7.7911,10.606,10.1625,3.795,3.568,125227.0215,125227.0215,54514.113,181256095.4595,181256095.4595
600519.SH,20250922,1453.35,0.2791,0.6411,1.02,21.1066,20.2366,7.823,10.6495,10.2041,3.7795,3.5534,125227.0215,125227.0215,54514.113,181998691.697,181998691.697
600519.SH,20250919,1467.97,0.2606,0.5987,0.95,21.319,20.4402,7.9017,10.7566,10.3068,3.7419,3.518,125227.0215,125227.0215,54514.113,183829510.7514,183829510.7514
600519.SH,20250918,1467.96,0.397,0.9121,1.56,21.3188,20.44,7.9016,10.7565,10.3067,3.7419,3.5181,125227.0215,125227.0215,54514.113,183828258.4811,183828258.4811
600519.SH,20250917,1493.0,0.2422,0.5564,0.85,21.6825,20.7887,8.0364,10.94,10.4825,3.6792,3.4591,125227.0215,125227.0215,54514.113,186963943.0995,186963943.0995
600519.SH,20250916,1499.98,0.2613,0.6002,0.9,21.7838,20.8859,8.074,10.9912,10.5315,3.662,3.443,125227.0215,125227.0215,54514.113,187838027.7096,187838027.7096
600519.SH,20250915,1515.1,0.2062,0.4738,0.62,22.0034,21.0964,8.1554,11.102,10.6377,3.6255,3.4086,125227.0215,125227.0215,54514.113,189731460.2747,189731460.2747
600519.SH,20250912,1516.0,0.2693,0.6186,0.8,22.0165,21.1089,8.1602,11.1085,10.644,3.6233,3.4066,125227.0215,125227.0215,54514.113,189844164.594,189844164.594
600519.SH,20250911,1523.5,0.2974,0.6831,0.84,22.1254,21.2134,8.2006,11.1635,10.6967,3.6055,3.3898,125227.0215,125227.0215,54514.113,190783367.2553,190783367.2553
600519.SH,20250910,1522.01,0.3966,0.911,1.14,22.1038,21.1926,8.1925,11.1526,10.6862,3.609,3.3931,125227.0215,125227.0215,54514.113,190596778.9932,190596778.9932
600519.SH,20250909,1505.0,0.2854,0.6557,0.75,21.8567,20.9558,8.101,11.0279,10.5668,3.6498,3.4315,125227.0215,125227.0215,54514.113,188466667.3575,188466667.3575
600519.SH,20250908,1501.23,0.4103,0.9426,1.11,21.802,20.9033,8.0807,11.0003,10.5403,3.659,3.4401,125227.0215,125227.0215,54514.113,187994561.4864,187994561.4864
600519.SH,20250905,1483.0,0.2986,0.6858,0.73,21.5372,20.6494,7.9826,10.8667,10.4123,3.704,3.4824,125227.0215,125227.0215,54514.113,185711672.8845,185711672.8845
600519.SH,20250904,1472.66,0.3813,0.8759,0.96,21.3871,20.5055,7.9269,10.791,10.3397,3.73,3.5068,125227.0215,125227.0215,54514.113,184416825.4822,184416825.4822
600519.SH,20250903,1480.55,0.3597,0.8263,0.87,21.5017,20.6153,7.9694,10.8488,10.3951,3.7101,3.4881,125227.0215,125227.0215,54514.113,185404866.6818,185404866.6818
600519.SH,20250902,1491.3,0.4527,1.0399,1.17,21.6578,20.765,8.0272,10.9276,10.4706,3.6833,3.463,125227.0215,125227.0215,54514.113,186751057.163,186751057.163
600519.SH,20250901,1476.1,0.3603,0.8276,0.86,21.437,20.5534,7.9454,10.8162,10.3639,3.7213,3.4987,125227.0215,125227.0215,54520.8951,184847606.4362,184847606.4362
600519.SH,20250829,1480.0,0.4956,1.1337,1.27,21.5611,20.6723,7.7905,10.8788,10.4239,3.6999,3.4785,125619.78,125619.78,54913.6536,185917274.4,185917274.4
600519.SH,20250828,1446.1,0.3127,0.7153,0.83,21.0672,20.1988,7.612,10.6296,10.1851,3.7866,3.5601,125619.78,125619.78,54913.6536,181658763.858,181658763.858
600519.SH,20250827,1448.0,0.4458,1.0199,1.24,21.0949,20.2253,7.622,10.6436,10.1985,3.7816,3.5554,125619.78,125619.78,54913.6536,181897441.44,181897441.44
600519.SH,20250826,1481.61,0.3153,0.7212,0.85,21.5845,20.6948,7.799,10.8906,10.4352,3.6958,3.4747,125619.78,125619.78,54913.6536,186119522.2458,186119522.2458
600519.SH,20250825,1490.33,0.52,1.1896,1.52,21.7116,20.8166,7.8449,10.9547,10.4966,3.6742,3.4544,125619.78,125619.78,54913.6536,187214926.7274,187214926.7274
600519.SH,20250822,1463.95,0.358,0.8189,1.03,21.3273,20.4481,7.706,10.7608,10.3108,3.7404,3.5167,125619.78,125619.78,54913.6536,183901076.931,183901076.931
600519.SH,20250821,1448.25,0.2459,0.5625,0.66,21.0985,20.2288,7.6234,10.6454,10.2002,3.781,3.5548,125619.78,125619.78,54913.6536,181928846.385,181928846.385
600519.SH,20250820,1450.0,0.3646,0.8341,0.9,21.124,20.2533,7.6326,10.6583,10.2126,3.7764,3.5505,125619.78,125619.78,54913.6536,182148681.0,182148681.0
600519.SH,20250819,1438.0,0.3691,0.8445,0.93,20.9492,20.0856,7.5694,10.57,10.128,3.8079,3.5801,125619.78,125619.78,54913.6536,180641243.64,180641243.64
600519.SH,20250818,1428.5,0.3772,0.8628,0.95,20.8108,19.953,7.5194,10.5002,10.0611,3.8333,3.6039,125619.78,125619.78,54913.6536,179447855.73,179447855.73
600519.SH,20250815,1422.08,0.3788,0.8665,1.07,20.7173,19.8633,7.4856,10.453,10.0159,3.8506,3.6202,125619.78,125619.78,54913.6536,178641376.7424,178641376.7424
600519.SH,20250814,1426.99,0.3831,0.8765,1.2,20.7888,19.9319,7.5115,10.4891,10.0505,3.8373,3.6077,125619.78,125619.78,54913.6536,179258169.8622,179258169.8622
600519.SH,20250813,1420.05,0.5216,1.1933,2.05,20.6877,19.8349,7.4749,10.4381,10.0016,3.8561,3.6254,125619.78,125619.78,54913.6536,178386368.589,178386368.589
600519.SH,20250812,1437.04,0.3345,0.7652,1.47,20.9352,20.2809,8.0702,10.563,10.2729,3.8105,3.5825,125619.78,125619.78,54913.6536,180520648.6512,180520648.6512
600519.SH,20250811,1445.0,0.3754,0.8588,2.06,21.0512,20.3932,8.1149,10.6215,10.3298,3.7895,3.5628,125619.78,125619.78,54913.6536,181520582.1,181520582.1
600519.SH,20250808,1420.97,0.1485,0.3397,0.74,20.7011,20.0541,7.98,10.4449,10.1581,3.8536,3.623,125619.78,125619.78,54913.6536,178501938.7866,178501938.7866
600519.SH,20250807,1422.35,0.2229,0.5099,0.94,20.7212,20.0735,7.9877,10.455,10.1679,3.8498,3.6195,125619.78,125619.78,54913.6536,178675294.083,178675294.083
600519.SH,20250806,1423.88,0.1887,0.4316,0.75,20.7435,20.0951,7.9963,10.4663,10.1789,3.8457,3.6156,125619.78,125619.78,54913.6536,178867492.3464,178867492.3464
600519.SH,20250805,1427.74,0.2017,0.4615,0.8,20.7997,20.1496,8.018,10.4946,10.2064,3.8353,3.6059,125619.78,125619.78,54913.6536,179352384.6972,179352384.6972
