indiv_fin_ts_code,indiv_fin_ann_date,indiv_fin_end_date,indiv_fin_eps,indiv_fin_dt_eps,indiv_fin_total_revenue_ps,indiv_fin_revenue_ps,indiv_fin_capital_rese_ps,indiv_fin_surplus_rese_ps,indiv_fin_undist_profit_ps,indiv_fin_extra_item,indiv_fin_profit_dedt,indiv_fin_gross_margin,indiv_fin_current_ratio,indiv_fin_quick_ratio,indiv_fin_cash_ratio,indiv_fin_ar_turn,indiv_fin_ca_turn,indiv_fin_fa_turn,indiv_fin_assets_turn,indiv_fin_op_income,indiv_fin_ebit,indiv_fin_ebitda,indiv_fin_fcff,indiv_fin_fcfe,indiv_fin_current_exint,indiv_fin_noncurrent_exint,indiv_fin_interestdebt,indiv_fin_netdebt,indiv_fin_tangible_asset,indiv_fin_working_capital,indiv_fin_networking_capital,indiv_fin_invest_capital,indiv_fin_retained_earnings,indiv_fin_diluted2_eps,indiv_fin_bps,indiv_fin_ocfps,indiv_fin_retainedps,indiv_fin_cfps,indiv_fin_ebit_ps,indiv_fin_fcff_ps,indiv_fin_fcfe_ps,indiv_fin_netprofit_margin,indiv_fin_grossprofit_margin,indiv_fin_cogs_of_sales,indiv_fin_expense_of_sales,indiv_fin_profit_to_gr,indiv_fin_saleexp_to_gr,indiv_fin_adminexp_of_gr,indiv_fin_finaexp_of_gr,indiv_fin_impai_ttm,indiv_fin_gc_of_gr,indiv_fin_op_of_gr,indiv_fin_ebit_of_gr,indiv_fin_roe,indiv_fin_roe_waa,indiv_fin_roe_dt,indiv_fin_roa,indiv_fin_npta,indiv_fin_roic,indiv_fin_roe_yearly,indiv_fin_roa2_yearly,indiv_fin_debt_to_assets,indiv_fin_assets_to_eqt,indiv_fin_dp_assets_to_eqt,indiv_fin_ca_to_assets,indiv_fin_nca_to_assets,indiv_fin_tbassets_to_totalassets,indiv_fin_int_to_talcap,indiv_fin_eqt_to_talcapital,indiv_fin_currentdebt_to_debt,indiv_fin_longdeb_to_debt,indiv_fin_ocf_to_shortdebt,indiv_fin_debt_to_eqt,indiv_fin_eqt_to_debt,indiv_fin_eqt_to_interestdebt,indiv_fin_tangibleasset_to_debt,indiv_fin_tangasset_to_intdebt,indiv_fin_tangibleasset_to_netdebt,indiv_fin_ocf_to_debt,indiv_fin_turn_days,indiv_fin_roa_yearly,indiv_fin_roa_dp,indiv_fin_fixed_assets,indiv_fin_profit_to_op,indiv_fin_q_saleexp_to_gr,indiv_fin_q_gc_to_gr,indiv_fin_q_roe,indiv_fin_q_dt_roe,indiv_fin_q_npta,indiv_fin_q_ocf_to_sales,indiv_fin_basic_eps_yoy,indiv_fin_dt_eps_yoy,indiv_fin_cfps_yoy,indiv_fin_op_yoy,indiv_fin_ebt_yoy,indiv_fin_netprofit_yoy,indiv_fin_dt_netprofit_yoy,indiv_fin_ocf_yoy,indiv_fin_roe_yoy,indiv_fin_bps_yoy,indiv_fin_assets_yoy,indiv_fin_eqt_yoy,indiv_fin_tr_yoy,indiv_fin_or_yoy,indiv_fin_q_sales_yoy,indiv_fin_q_op_qoq,indiv_fin_equity_yoy
600519.SH,20250813,20250630,36.18,36.18,72.5155,71.1587,1.0945,38.6116,152.5645,12714674.28,45390247623.82,81611863332.91,5.7297,4.4466,1.2732,3140.0253,0.3664,4.1758,0.3082,62744126269.39,62288797693.55,63405783413.54,30810623748.9971,30810623748.9971,22153413821.4,66154730.27,20902634281.09,-30742246435.84,223991474599.36,202635543278.82,171680102191.14,270038220543.84,240155009245.35,36.1432,189.9753,10.4435,191.1761,-21.561,49.5852,24.5269,24.5269,52.5641,91.2993,8.7007,7.319,51.5806,3.5792,4.1371,-0.5342,,31.1214,68.9059,68.3788,19.2486,17.89,19.2432,21.0719,15.8953,17.4094,38.4972,42.1438,14.7549,1.1731,1.2532,83.9938,16.0062,76.6417,7.7406,88.3751,99.3522,0.6478,0.3062,0.1731,5.5342,11.4171,5.1943,10.7159,,0.3042,1264.9905,31.7906,15.3595,24527772272.64,68.9158,4.4518,35.116,7.4669,7.4608,6.355,11.1112,9.0087,9.0087,-64.1768,9.0668,9.0307,8.8915,8.93,-64.1769,-0.2666,2.3769,-2.2368,2.3768,9.1582,9.1032,7.2823,-30.5218,9.1826
600519.SH,20250430,20250331,21.38,21.38,40.9517,40.281,1.0945,37.1246,166.8805,-2409464.14,26849883702.9,46539527335.35,6.0749,4.8258,1.2398,2961.4146,0.1985,2.3696,0.1683,37017402166.34,36747242462.5,,-8150183995.5956,-8150183995.5956,28721600294.42,66555097.25,15390206832.99,-36809033586.28,244164512596.59,222636536678.69,185585873525.85,283580542003.38,256270682923.2,21.372,205.6665,7.0126,204.005,5.2367,29.2528,-6.488,-6.488,54.8895,91.9736,8.0264,6.2431,53.9906,2.9067,3.7834,-0.5492,,28.0425,71.9948,71.4323,10.9255,10.92,10.9265,12.0224,9.0869,10.0384,43.702,48.0896,14.143,1.1647,1.2439,85.318,14.682,78.1655,5.4271,91.1056,99.3024,0.6976,0.2008,0.1647,5.8481,16.7872,5.5268,15.8649,,0.1994,1209.7078,36.3476,8.7835,24354388249.49,71.9848,2.9067,28.0425,10.9255,10.9265,9.0869,17.4091,11.5866,11.5866,-4.1169,11.6995,11.629,11.5611,11.64,-4.1168,3.5182,10.8328,4.4905,10.8328,10.6674,10.5415,10.5415,3.7677,7.7695
600519.SH,20250430,20250331,21.38,21.38,40.9517,40.281,1.0945,37.1246,166.8805,-2409464.14,26849883702.9,46539527335.35,6.0749,4.8258,1.2398,2961.4146,0.1985,2.3696,0.1683,37017402166.34,36747242462.5,,,,28721600294.42,66555097.25,15390206832.99,-36809033586.28,244164512596.59,222636536678.69,185585873525.85,283580542003.38,256270682923.2,21.372,205.6665,7.0126,204.005,5.2367,29.2528,,,54.8895,91.9736,8.0264,6.2431,53.9906,2.9067,3.7834,-0.5492,,28.0425,71.9948,71.4323,10.9255,10.92,10.9265,12.0224,9.0869,10.0384,43.702,48.0896,14.143,1.1647,1.2439,85.318,14.682,78.1655,5.4271,91.1056,99.3024,0.6976,0.2008,0.1647,5.8481,16.7872,5.5268,15.8649,,0.1994,1209.7078,36.3476,8.7835,24354388249.49,71.9848,2.9067,28.0425,10.9255,10.9265,9.0869,17.4091,11.5866,11.5866,-4.1169,11.6995,11.629,11.5611,11.64,-4.1168,3.5182,10.8328,4.4905,10.8328,10.6674,10.5415,10.5415,3.7677,7.7695
600519.SH,20250403,20241231,68.64,68.64,138.6279,136.0448,1.0945,37.1246,145.5085,-12759555.8,86240905977.42,157109669908.36,4.4541,3.4925,1.0896,4307.6072,0.7303,8.3361,0.6093,119596850069.65,118176061555.37,120261081170.49,56965618673.6519,56965618673.6519,33301180685.79,103367763.38,23528716348.93,-35767106607.96,218485142871.37,195210684017.7,159129670993.98,265540031469.53,229423208684.44,68.6422,185.5647,73.606,182.633,15.6105,94.0744,45.3477,45.3477,52.2734,91.9312,8.0688,8.0182,51.2993,3.2383,5.4748,-0.8443,,31.323,68.7296,67.8611,38.4283,36.02,38.434,41.346,31.2554,35.1877,38.4283,41.346,19.0448,1.2353,1.2738,84.2051,15.7949,73.0855,8.8607,87.7856,99.2671,0.7329,1.6361,0.2353,4.0944,9.9073,3.8376,9.2859,,1.6241,1315.3923,31.2554,30.1685,24028691852.02,68.7009,2.752,30.0941,10.79,10.8162,8.9816,95.8488,15.3807,15.3807,38.8483,15.4085,15.4116,15.38,15.37,38.8484,6.749,8.0853,9.6241,8.0853,15.664,15.712,12.8255,34.9623,8.0853
600519.SH,20241026,20240930,48.42,48.42,98.0121,96.1442,1.0945,32.7333,153.5615,48910663.75,60778641454.76,110548054480.35,6.1569,4.9116,1.5884,3426.0248,0.5312,6.1336,0.4401,83929805774.48,82885580898.12,,26747858200.1295,26747858200.1295,26240977820.45,74818111.11,12766762787.96,-47317982826.31,222817444084.8,199695686812.81,152093853927.21,260454927026.13,234023130240.93,48.422,189.2293,35.3618,186.2948,3.8422,65.9813,21.2927,21.2927,52.1887,91.5314,8.4686,7.4272,51.1941,3.4398,4.7984,-0.9526,,31.8323,68.2221,67.3196,26.833,26.09,26.8115,29.63,22.5325,25.0404,35.7773,39.5067,13.6285,1.1578,1.234,83.1394,16.8606,77.6988,4.9017,91.267,99.0823,0.9177,1.1471,0.1578,6.0822,18.6194,5.7012,17.4529,,1.1366,1249.5004,30.0433,21.7447,23120900028.54,68.2644,4.0777,33.3705,8.386,8.3757,7.016,20.0786,15.0392,15.0392,-11.1606,14.7944,14.779,15.0376,15.08,-11.1608,5.4068,10.2198,5.1599,10.2198,16.9078,16.9537,15.2937,8.4127,9.1368
600519.SH,20241026,20240930,48.42,48.42,98.0121,96.1442,1.0945,32.7333,153.5615,48910663.75,60778641454.76,110548054480.35,6.1569,4.9116,1.5884,3426.0248,0.5312,6.1336,0.4401,83929805774.48,82885580898.12,,,,26240977820.45,74818111.11,12766762787.96,-47317982826.31,222817444084.8,199695686812.81,152093853927.21,260454927026.13,234023130240.93,48.422,189.2293,35.3618,186.2948,3.8422,65.9813,,,52.1887,91.5314,8.4686,7.4272,51.1941,3.4398,4.7984,-0.9526,,31.8323,68.2221,67.3196,26.833,26.09,26.8115,29.63,22.5325,25.0404,35.7773,39.5067,13.6285,1.1578,1.234,83.1394,16.8606,77.6988,4.9017,91.267,99.0823,0.9177,1.1471,0.1578,6.0822,18.6194,5.7012,17.4529,,1.1366,1249.5004,30.0433,21.7447,23120900028.54,68.2644,4.0777,33.3705,8.386,8.3757,7.016,20.0786,15.0392,15.0392,-11.1606,14.7944,14.779,15.0376,15.08,-11.1608,5.4068,10.2198,5.1599,10.2198,16.9078,16.9537,15.2937,8.4127,9.1368
600519.SH,20240809,20240630,33.19,33.19,66.4315,65.2214,1.0945,32.7333,138.3314,25513163.38,41670097819.99,75180098416.56,4.5714,3.6312,1.2017,2654.4084,0.3649,4.1997,0.3024,57496981761.48,56688446207.67,57689521034.55,28149788378.9891,28149788378.9891,27208660785.68,78156556.52,23875634175.15,-32964715355.67,204561912159.39,181450158432.96,148208029780.93,251920443824.43,214891189105.79,33.1919,173.9978,29.1529,171.0648,-4.0546,45.127,22.4087,22.4087,52.6991,91.7603,8.2397,6.8972,51.7391,3.1365,4.7075,-1.0724,,31.101,68.9636,67.9301,19.2038,17.63,19.192,20.5428,15.6464,17.4243,38.4076,41.0856,18.3242,1.2244,1.271,83.1845,16.8155,73.2653,9.4775,86.7637,99.305,0.695,0.7208,0.2244,4.2722,9.1548,3.9983,8.5678,,0.7158,1256.1739,31.2928,15.1097,22397432058.5,68.9964,3.9953,34.0782,7.6937,7.6886,6.479,75.879,15.8869,15.8869,20.5173,15.3516,15.3319,15.8842,15.92,20.5174,6.5215,1.3479,2.3864,1.3479,17.558,17.7575,17.3109,-26.4307,8.7895
600519.SH,20240427,20240331,19.16,19.16,37.0043,36.4397,1.0945,31.0451,156.861,13791188.46,24051471185.69,42394224704.27,6.481,5.2018,2.1364,685.7854,0.201,2.3566,0.1665,33128059588.42,32675682545.38,,7904693045.9507,7904693045.9507,28189001083.52,80835441.75,8717938192.58,-65479188198.85,226356536308.51,200750322369.33,134990868909.77,257254706743.11,236047203769.37,19.1572,190.8392,7.3137,187.9061,6.6936,26.0116,6.2926,6.2926,54.3573,92.6133,7.3867,5.9949,53.528,2.4537,4.497,-1.0472,,28.7335,71.3295,70.2934,10.5688,10.57,10.5628,11.707,8.9148,9.9373,42.2752,46.828,12.9543,1.1488,1.2258,83.1372,16.8628,79.2774,3.3888,93.1885,99.0237,0.9763,0.2508,0.1488,6.4814,27.4987,6.1198,25.9645,,0.2484,1241.5105,35.6592,8.6221,22358799504.18,71.3647,2.4537,28.7335,10.5688,10.5628,8.9148,20.0706,15.7704,15.7704,75.1742,15.5876,15.5872,15.7268,15.75,75.1721,5.3692,11.1575,4.7029,11.1575,18.0436,18.1127,18.1127,8.5802,9.8298
600519.SH,20240403,20231231,59.49,59.49,119.854,117.5719,1.0945,31.0451,137.7038,-18492874.77,74752564425.52,135826331142.36,4.6239,3.6704,1.4287,3632.8274,0.6816,7.5941,0.5713,103637312141.17,101732876397.18,103670292704.18,77775322924.6562,77775322924.6562,36606063711.77,78943062.19,12358184023.47,-56711952352.65,202072342382.86,176474906320.08,119496317733.39,236014653318.29,211981941395.22,59.4923,171.6836,53.0118,168.7489,-1.6069,80.9848,61.9133,61.9133,52.488,91.9649,8.0351,8.6299,51.4886,3.0875,6.5666,-1.1886,,31.1656,68.8818,67.5695,36.1755,34.19,36.1844,38.6036,29.4163,33.4928,36.1755,38.6036,17.9843,1.2193,1.2756,82.5716,17.4284,74.1007,5.2362,91.3793,99.2954,0.7046,1.3675,0.2193,4.3975,17.4515,4.1203,16.3513,,1.3578,1293.2025,29.4163,28.3586,22050883901.75,68.8512,3.5052,32.5604,10.0849,10.1214,8.4874,37.3464,19.1468,19.1468,81.4603,18.0123,18.1993,19.1599,19.05,81.4599,9.1105,9.1956,7.1508,9.2103,18.0366,19.0119,20.2645,31.1751,9.2103
600519.SH,20231021,20230930,42.09,42.09,83.837,82.2071,1.0945,27.0642,143.3907,60576307.26,52815640756.86,94704796535.06,5.9588,4.8408,2.0278,1357.4427,0.4841,5.449,0.4079,73124643313.92,71798037548.34,,53384665935.0082,53384665935.0082,27075985197.99,80437576.49,9901202237.58,-60739807777.14,204112264113.58,181808935674.63,120755861901.7,234920001996.99,214125002075.39,42.0923,173.3872,39.8042,170.4548,5.5417,57.155,42.497,42.497,53.0919,91.7075,8.2925,7.3256,52.0597,2.9081,5.5401,-1.265,,30.5664,69.4781,68.174,25.4632,24.82,25.434,27.8049,21.2327,23.7234,33.9509,37.0732,14.14,1.1647,1.2435,83.3623,16.6377,77.8827,4.2147,92.7161,98.9376,1.0624,1.3638,0.1647,5.8776,21.9982,5.508,20.6149,,1.3493,1258.3536,28.3103,20.4771,21853244578.77,69.5305,3.7181,32.2362,8.0701,8.0569,6.9469,58.2175,19.1002,19.1002,431.6371,18.0917,18.267,19.0911,18.97,431.6344,13.022,10.2791,2.9766,10.294,17.2967,18.481,14.0437,9.7796,5.3698
