indiv_margin_trade_date,indiv_margin_ts_code,indiv_margin_rzye,indiv_margin_rqye,indiv_margin_rzmre,indiv_margin_rqyl,indiv_margin_rzche,indiv_margin_rqchl,indiv_margin_rqmcl,indiv_margin_rzrqye
20251023,600519.SH,17470196911.0,107977268.9,378334556.0,73555.0,395574259.0,2700.0,5700.0,17578174179.9
20251022,600519.SH,17487436614.0,102918578.5,195846100.0,70555.0,225406327.0,3000.0,2800.0,17590355192.5
20251021,600519.SH,17516996841.0,103462206.3,329068870.0,70755.0,423791364.0,2500.0,2800.0,17620459047.3
20251020,600519.SH,17611719335.0,102718458.15,365843097.0,70455.0,350766810.0,3150.0,2700.0,17714437793.15
20251017,600519.SH,17596643048.0,103166775.0,570115479.0,70905.0,659423875.0,7000.0,3600.0,17699809823.0
20251016,600519.SH,17685951444.0,110336237.55,717002459.0,74305.0,852265561.0,3700.0,7500.0,17796287681.55
20251015,600519.SH,17821214546.0,103078310.0,661716349.0,70505.0,987001801.0,4000.0,5800.0,17924292856.0
20251014,600519.SH,18146499998.0,99692329.1,976251755.0,68705.0,1109370908.0,5100.0,22750.0,18246192327.1
20251013,600519.SH,18279619151.0,72457256.0,545924984.0,51055.0,486073536.0,2800.0,1100.0,18352076407.0
20251010,600519.SH,18219767703.0,75439650.0,579919437.0,52755.0,414819370.0,14300.0,2300.0,18295207353.0
20251009,600519.SH,18054979631.0,93038688.9,800469633.0,64755.0,540529966.0,1900.0,16000.0,18148018319.9
20250930,600519.SH,17795039964.0,73145313.45,608279445.0,50655.0,471688419.0,5200.0,1300.0,17868185277.45
20250929,600519.SH,17658448938.0,79697217.3,562225374.0,54555.0,717597813.0,4000.0,4800.0,17738146155.3
20250926,600519.SH,17813821377.0,77138425.0,590387685.0,53755.0,461397200.0,3100.0,2400.0,17890959802.0
20250925,600519.SH,17684830892.0,78360745.0,562570080.0,54455.0,397268780.0,2200.0,3000.0,17763191637.0
20250924,600519.SH,17519529592.0,77370510.0,423981777.0,53655.0,304323028.0,1600.0,1800.0,17596900102.0
20250923,600519.SH,17399870843.0,77371836.1,499086671.0,53455.0,478908388.0,2400.0,1400.0,17477242679.1
20250922,600519.SH,17379692560.0,79142174.25,533947212.0,54455.0,376101277.0,2800.0,1500.0,17458834734.25
20250919,600519.SH,17221846625.0,81846667.35,483021391.0,55755.0,378724869.0,3400.0,2500.0,17303693292.35
20250918,600519.SH,17117550103.0,83167273.8,797482238.0,56655.0,538771725.0,13700.0,2600.0,17200717376.8
20250917,600519.SH,16858839590.0,101158215.0,382372399.0,67755.0,432877524.0,5800.0,2400.0,16959997805.0
20250916,600519.SH,16909344715.0,106731076.9,732270498.0,71155.0,349190471.0,15400.0,3900.0,17016075791.9
20250915,600519.SH,16526264688.0,125230590.5,341075472.0,82655.0,331854506.0,3000.0,11000.0,16651495278.5
20250912,600519.SH,16517043722.0,113176980.0,464701321.0,74655.0,458650052.0,3600.0,12100.0,16630220702.0
20250911,600519.SH,16510992453.0,100787142.5,546499883.0,66155.0,661484040.0,11500.0,5700.0,16611779595.5
20250910,600519.SH,16625976610.0,109516229.55,758774186.0,71955.0,631041110.0,5400.0,10800.0,16735492839.55
20250909,600519.SH,16498243534.0,100165275.0,407611289.0,66555.0,514923966.0,700.0,7100.0,16598408809.0
20250908,600519.SH,16605556211.0,90306490.65,471884540.0,60155.0,563245195.0,5300.0,7100.0,16695862701.65
20250905,600519.SH,16696916866.0,86540465.0,295596266.0,58355.0,520910242.0,6800.0,4200.0,16783457331.0
20250904,600519.SH,16922230842.0,89765990.3,386076143.0,60955.0,501933354.0,6900.0,7400.0,17011996832.3
20250903,600519.SH,17038088053.0,89506650.25,612229738.0,60455.0,449162271.0,18900.0,4500.0,17127594703.25
20250902,600519.SH,16875020586.0,111631261.5,620764251.0,74855.0,709496901.0,2500.0,20100.0,16986651847.5
20250901,600519.SH,16963753236.0,84514105.5,611848799.0,57255.0,761879520.0,6000.0,4200.0,17048267341.5
20250829,600519.SH,17113783957.0,87401400.0,830705516.0,59055.0,899534033.0,4900.0,9000.0,17201185357.0
20250828,600519.SH,17182612474.0,79470425.5,567482476.0,54955.0,474426806.0,8500.0,3100.0,17262082899.5
