indiv_sh_ts_code,indiv_sh_ann_date,indiv_sh_end_date,indiv_sh_holder_num
600519.SH,20250813,20250630,220658
600519.SH,20250403,20250331,192430
600519.SH,20250430,20250331,192430
600519.SH,20250403,20241231,207894
600519.SH,20241026,20240930,201582
600519.SH,20240809,20240630,199209
600519.SH,20240403,20240331,161009
600519.SH,20240427,20240331,161009
600519.SH,20240403,20231231,161640
600519.SH,20231021,20230930,150025
600519.SH,20230803,20230630,161750
600519.SH,20230426,20230331,156190
600519.SH,20230331,20230228,159541
600519.SH,20230331,20221231,167516
